,Index,Hypothesis,Premise,Type,Explanation,Label,SarcasmSimilarity,Source
12,935,I was immensely pleased when my flight got delayed and the airline refused to apologize and provide alternative transportation,My flight got delayed and the airline would not apologize and provide altenative,Sarcasm,Flight delays are never a good thing and so the airline not apologizing and not providing alternative transportation was really terrible.,Contradiction,SIM,FLUTE
13,6228,Kookai : It 's not all plain sailing on the journey from rags to riches,Kookai : It 's not all plain sailing on the journey from poor to rich .,Idiom,,Entailment,,IMPLI
14,2295,I warned you I'd be a big baby.,I warned you I would act immaturely and have a meltdown,Idiom,"To be a big baby is to be prone to immature behavior, and in this sentence the speaker is warning that they will act immaturely.",Entailment,UNQ,FLUTE
15,4226,We dug up some interesting facts.,We have researched hard and then eventually retrieved some interesting facts.,Metaphor,"Dug up means to research or look for something carefully, thus, in this case, the speaker and their team looked hard for facts and eventually found some that were interesting.",Entailment,UNQ,FLUTE
16,496,I'm so glad that my roommate will not clean anything so it's always super-neat,My roommate will not clean anything.,Sarcasm,"If a roommate never cleans, then the place would be dirty and not neat at all and so the speaker is being sarcastic when they say they are glad about it.",Contradiction,SIM,FLUTE
17,1296,I felt so happy when I discovered a worm inside the apple I was eating,I bit into an apple and found a worm and it was so gross. ,Sarcasm,"Apples are a healthy and often eaten food, so finding a worm inside it would make anyone feel disgusted and sick instead of happy.",Contradiction,SIM,FLUTE
18,3161,Sachin's truck drinks gasoline.,Sachin's truck needs petrol to run.,Metaphor,To say that something drinks a substance is to say that it needs that substance to function - here it is the gasoline/petrol.,Entailment,UNQ,FLUTE
19,2308,"They mention the two job interviews, and I throw a curve by explaining I'm not ready for employment.","They mentioned the two job interviews, and I confuse them by explaining I'm not ready for employment.",Idiom,"To throw a curve means to do something unexpected that surprises or confuses someone, and in this context the speaker is surprising the others by saying they're not ready for employment.",Entailment,UNQ,FLUTE
20,1464,I got a big kick out of it when I saw my neighbor let his dog poop on my lawn.,I caught my neighbor letting his dog poop on my lawn.,Sarcasm,Most people would not find it amusing to see their neighbor's dog poop on their lawn and instead would be angry and frustrated.,Contradiction,SIM,FLUTE
21,122,I love how my neighbors are still shooting off fireworks a month after the 4th of July,My neighbors are still shooting off fireworks a month after the 4th of July,Sarcasm,The fourth of July is the Independence day of the United States and so shooting fireworks off after a month since then goes against the spirit of the holiday and is nothing to be loved.,Contradiction,SIM,FLUTE
22,4987,Her happiness was a rising sun,Her happiness was clear to be seen.,Metaphor,,,,FIGQA
23,8246,"Durance himself may manage something once in a while, but there is no one who can help him achieve those masterpieces in the way that Jourdain did.","Durance himself may manage something sometimes, but there is no one who can help him achieve those masterpieces in the way that Jourdain did.",Idiom,,Entailment,,IMPLI
24,5918,Most travel agencies offer a travel insurance that covers you and your travel companions if you should have to cancel for a medical or personal emergency.,Most travel agencies offer a travel insurance that pays for you and your travel companions if you should have to cancel for a medical or personal emergency.,Metaphor,,Entailment,,IMPLI
25,1201,It's always a huge convenience when my friends are late to our pre-planned gatherings.,My friends are late to plans all the time.,Sarcasm,Being late to a pre-planned gathering is never convenient because it means that people have to wait for the latecomers and hence it is frustrating for everyone involved.,Contradiction,SIM,FLUTE
26,2604,A two hour fire had the beef roasted to a turn.,A two hour fire had the beef roasted to perfection.,Idiom,"To roast to a turn means to roast for exactly the right amount of time, which in this context was two hours.",Entailment,UNQ,FLUTE
27,169,I was just delighted when the airplane started to shake because of the wonderful turbulence,I took a flight last week and there was awful turbulence.,Sarcasm,"Turbulence on an airplane is often very scary and can cause panic, so someone who describes it as wonderful is not being truthful.",Contradiction,SIM,FLUTE
28,3224,The weeks crawled by until we could meet again.,The weeks passed slowly until we could meet again.,Metaphor,"Crawling is a slow movement, often used to describe the passage of time, here, in this case, the metaphor is used to describe how slowly the weeks passed by until the they could meet again.",Entailment,UNQ,FLUTE
29,6218,"They keep a low profile here , but this person and her colleagues have been chosen to perform some of the most important jobs on the station , though they 're never seen .","They stay out of public notice here , but this person and her colleagues have been chosen to perform some of the most important jobs on the station , though they 're never seen .",Idiom,,Entailment,,IMPLI
30,5448,Kommersant correspondent Morits Gatmann observed how the conversation on Russian-German relations turned into a heated argument over the war in the Caucasus.,Kommersant correspondent Morits Gatmann observed how the conversation on Russian-German relations changed into a heated argument over the war in the Caucasus.,Metaphor,,Entailment,,IMPLI
31,2073,I was really young when I started stealing money from my dad's wallet and I feel proud about it now,I used to steal money from my dad's wallet as a kid.,Sarcasm,"Stealing is wrong and nothing to feel proud about and it cannot be justified at any point by the age of the person doing it, even if they were young.",Contradiction,SIM,FLUTE
32,6504,He is as funny as a barrel of monkeys.,,Simile,,,,Kaggle
33,0,"I was gone for only a few days and my considerate adult son just let the sink fill up with dirty dishes, making me feel really happy","I was gone for only a few days and my inconsiderate adult son just let the sink fill up with dirty dishes, making me feel so disappointed",Sarcasm,Most people would not consider leaving dirty dishes in the sink for days as a considerate thing to do and so the son's actions cannot make the speaker feel happy.,Contradiction,UNQ,FLUTE
34,3338,"Emma, we need to go straight to the cops.","Emma, we need to move forward to the cops.",Idiom,"To go straight means to move forward, and in this sentence they need to move forward to the cops.",Entailment,UNQ,FLUTE
35,5009,the robot had the weight of a being made of titanium and steel,The robot weighed a lot,Metaphor,,,,FIGQA
36,4329,Water flooded out of the can into the backpack.,Water leaked out of the can into the backpack.,Metaphor,"The can was full of water, and it flooded out, means it leaked out in the backpack.",Entailment,UNQ,FLUTE
37,8083,ENGLAND'S winter cricket tour to India received the green light yesterday despite the recent fierce rioting on the sub - continent between rival Muslim and Hindu factions.,ENGLAND'S winter cricket tour to India received the permission yesterday despite the recent fierce rioting on the sub - continent between rival Muslim and Hindu factions.,Idiom,,Entailment,,IMPLI
38,2032,I feel really like I'm walking on sunshine that my girlfriend of 10 years broke up with me yesterday,My girlfriend of 10 years broke up with me yesterday.,Sarcasm,Being broken up with by someone who you've been in a relationship with for a long time is often devastating and so feeling like you're walking on sunshine is not accurate or justified.,Contradiction,SIM,FLUTE
39,8440,MAKING A SPLASH: Butlin's Somerwest centre,attracting attention: Butlin's Somerwest centre,Idiom,,Entailment,,IMPLI
40,3705,"We have put you to the trial ,",We have made you undergo the trial.,Metaphor,putting someone to the trial means to test them,Entailment,UNQ,FLUTE
41,6457,Daley Thompson is launching a new career in the fast lane at the Silverstone Race Track .,Daley Thompson is launching a new career in an exciting position at the Silverstone Race Track .,Idiom,,Entailment,,IMPLI
42,6238,"In the first half , Petersfield had weathered a varied storm with a mixture of luck and determination .","In the first half , Petersfield had got through a variety of difficulties with a mixture of luck and determination .",Idiom,,Entailment,,IMPLI
43,6431,Nor is the Thames / BBC project likely to be beset by the teething troubles which plagued the pioneer satellite broadcasters .,Nor is the Thames / BBC project likely to be beset by the small problems which plagued the pioneer satellite broadcasters .,Idiom,,Entailment,,IMPLI
44,3640,The pounding on the door was more assertive now.,The banging on the door was way too assertive now .,Metaphor,The pounding on the door is getting louder and it sounds like someone is banging on the door.,Entailment,UNQ,FLUTE
45,5469,It is important to note that a landlordâs insurance does NOT cover your personal belongings.,It is important to note that a landlordâs insurance does NOT pays for your personal belongings.,Metaphor,,Entailment,,IMPLI
46,739,I was so pleased when I found my work papers urinated on by my dog.,My dog urinated on my work papers,Sarcasm,Finding work papers urinated on by a dog is a very distressing experience and not something pleasant.,Contradiction,UNQ,FLUTE
47,7156,Your arms are like jelly.,,Simile,,,,AB
48,908,Pleased with how I put so much effort into this project only to realize my job doesn't care if it gets done or not,I worked on this project for so long but it turns out my job doesn't even want it done anymore.,Sarcasm,Pouring a lot of effort into a project and then not having it appreciated or taken into consideration by the job is very discouraging and shows that the job doesn't care about the employee's efforts.,Contradiction,SIM,FLUTE
49,3955,Everything at sixes and sevens.,We were in complete chaos and disorder.,Idiom,"To be at sixes and sevens means to be frazzled or disorganized, which is what the sentence describes.",Entailment,UNQ,FLUTE
50,7563,Your presence is like you're not even there.,,Simile,,,,AB
51,4333,"I am pleased to offer my good offices to you and your king,vasant rao continued, in the name of his highness, the prince.","I am pleased to offer my help and support to you and your king, Vasant Rao continued, in the name of his highness, the prince.",Idiom,"To offer good offices is to offer help and support, which is what Vasant Rao is doing in this context.",Entailment,UNQ,FLUTE
52,2096,My dog barks at every noise he hears and it's really feels very relaxing,My dog wont stop barking at every little noise.,Sarcasm,The constant barking of a dog can be really irritating and it is not relaxing at all.,Contradiction,SIM,FLUTE
53,264,I'm so glad my boss just took that project I have been working hard on away from me for no good reason!,My boss suddenly just took that project I was working hard on away from me for no good reason!,Sarcasm," The boss taking a project away from an employee without any explanation can be very frustrating and discouraging, so it is not a good thing to be glad about.",Contradiction,SIM,FLUTE
54,7445,Your skin is like rubber.,,Simile,,,,AB
55,5612,There is no insurance that covers any damage that is caused to the rented car either during the ship transportation or during the stay at the port.,There is no insurance that pays for any damage that is caused to the rented car either during the ship transportation or during the stay at the port.,Metaphor,,Entailment,,IMPLI
56,5931,papasan chair cushion stool swivel chair rocking chair swivel rocker frame planet garden insurance swivel chair cushion covers stool round chair,papasan chair cushion stool swivel chair rocking chair swivel rocker frame planet garden insurance swivel chair cushion pays for stool round chair,Metaphor,,Entailment,,IMPLI
57,148,"I felt really proud as parent for forgetting to pick up my daughter from the girl scout meeting on time, making her the last girl to be waiting.","I felt ashamed as a parent for forgetting to pick up my daughter from the girl scout meeting on time, making her the last girl to be waiting.",Sarcasm,Parents are usually very responsible for their children and so forgetting to pick up their daughter from a meeting on time would make them feel guilty and not proud.,Contradiction,UNQ,FLUTE
58,211,I'm overjoyed that my dog destroyed more than a few pieces of furniture while I was at work and now I have to replace all of them!,I'm upset that my dog destroyed more than a few pieces of furniture while I was at work and now I have to replace all of them.,Sarcasm,Most people would not be overjoyed to spend more money to replace furniture that their dog has destroyed and instead would be frustrated or angry.,Contradiction,UNQ,FLUTE
59,3422,But for now it stretched out before me like a sky full of stars,"For now, it stretched out before me infinitely.",Simile,A sky full of stars is usually taken to be a metaphor for something that is infinite.,Entailment,UNQ,FLUTE
60,1256,I'm super stoked that someone ate the cake that I was looking forward to eating when I got home.,I was looking forward to eating cake when I got home but turns out someone ate it.,Sarcasm,The cake is a dessert which is often eaten as a celebratory treat and so someone eating it before the person who was looking forward to eating it shows a lack of consideration.,Contradiction,SIM,FLUTE
61,8263,out and about more,moving around more,Idiom,,Entailment,,IMPLI
62,2636,He would smash into it at full tilt.,He would smash into it as fast as he could.,Idiom,"To be at full tilt means to be going as fast as possible, so he would smash into it as fast as he could.",Entailment,UNQ,FLUTE
63,7911,You are as modern as the queen. ,,Simile,,,,AB
64,7094,You walk like you have three legs and four pockets full of rubble.,,Simile,,,,AB
65,2897,"If you still feel the same away about him when the time comes to sign the lease, then take the plunge.”","If you still feel the same way about him when the time comes to sign the lease, then go ahead with it and take the risk.",Idiom,"To take the plunge means to commit oneself to a course of action that is momentous or challenging, which is what she is suggesting to do by go ahead with it and taking the risk.",Entailment,UNQ,FLUTE
66,3526,Sometimes my brother was too clever by half.,Sometimes my brother was so clever that it was irritating.,Idiom,"To be too clever by half means to be too contrived or arrogant in one's cleverness or intelligence, and this context is saying that sometimes his brother was too clever for his own good.",Entailment,UNQ,FLUTE
67,4825,This car is as fast as a clogged toilet drains.,The car is very slow,Metaphor,,,,FIGQA
68,3809,The album sale went from some kind of spontaneous combustion to a slow burn.,The album sale went from some kind of spontaneous combustion to a slow and gradual development.,Idiom,"A slow burn is a gradual development, so the album sale went from a spontaneous combustion to a gradual development.",Entailment,UNQ,FLUTE
69,3956,"day in, day out, I work hard to put food on the table, and then I cop this from the missus.","Every day, I work hard to put food on the table, and then I cop this from the missus.",Idiom,"The idiom day in, day out is used to describe something that happens routinely or regularly, which in this sentence is the hard work that the speaker does every day.",Entailment,UNQ,FLUTE
70,4262,"Staying here in this room made her feel like a sitting duck, begging to get shot at.","Staying here in this room made her feel like a target that was not moving and an easy prey, begging to get shot at.",Idiom,"A sitting duck is something that is unprotected and vulnerable to an easy attack, which is how she felt while staying in the room.",Entailment,UNQ,FLUTE
71,5449,Please state the reason for your cancellation as it may be covered by your insurance policy.,Please state the reason for your cancellation as it may be payed for by your insurance policy.,Metaphor,,Entailment,,IMPLI
72,5456,"Enjoy seven nights at one of our favourite resorts before catching a short flight to another jewel in the Indian Ocean, the Seychelles.","Enjoy seven nights at one of our favourite resorts before boarding a short flight to another jewel in the Indian Ocean, the Seychelles.",Metaphor,,Entailment,,IMPLI
73,5328,The class was hard as butter,The class was easy,Metaphor,,,,FIGQA
74,448,The fact that my car broke down and I missed my promotion meeting made me feel like the world was my oyster.,My car broke down when I was traveling to work and I missed a very important meeting regarding my promotion.,Sarcasm,A car breaking down can be a huge inconvenience and so missing an important meeting like a promotion meeting would lead to someone feeling upset and not fortunate.,Contradiction,SIM,FLUTE
75,2775,It felt a little like a first date,"It felt slightly uncomfortable, something is going to happen, but no-one knows exactly what it might be.",Simile,A first date is often slightly uncomfortable because both parties are still getting to know each other and are unsure of what to expect.,Entailment,UNQ,FLUTE
76,4794,The gun was as dangerous as a lion,The gun was dangerous,Metaphor,,,,FIGQA
77,571,I am so cheerful that my landlord is selling the house and making me move,I am so mad my landlord is selling the house so I have to move.,Sarcasm,"Most people do not enjoy moving and find it to be a hassle, so someone who is cheerful about it is definitely not being truthful.",Contradiction,SIM,FLUTE
78,5001,Shes as smart as a doorknob,Shes very stupid.,Metaphor,,,,FIGQA
79,5348,The cereal was as soggy as a man who spent an hour in a hot tub,The cereal was pretty soggy,Metaphor,,,,FIGQA
80,288,Got pulled over because I ran a red light and now I feel like a total genius.,I ran a red light yesterday and got stopped by the cops; something very traumatizing.,Sarcasm,Someone who gets pulled over for running a red light is not a genius because they broke the law and will likely have to pay a fine.,Contradiction,SIM,FLUTE
81,4044,Hitler skittered off like a dog with its tail between its legs.,Hitler skittered off slowly,Simile,"A dog with its tail between its legs is scared, so this simile is saying that Hitler was scared and skittered off slowly.",Entailment,UNQ,FLUTE
82,2810,His nose was like a branch jutting from a tree.,His nose was rather narrow,Simile,"A branch jutting from a tree is quite thin, so the simile is indicating that the person's nose is quite thin as well.",Entailment,UNQ,FLUTE
83,5625,Mission trips can be an adventure filled with excitement and also scary at the same time.,Mission trips can be an adventure was experienced in with excitement and also scary at the same time.,Metaphor,,Entailment,,IMPLI
84,733,I was so pleased with my son when he decided to drop his pants and pee in our front yard when the neighbors were out the other day.,I was shamed when my son decided to drop his pants and pee in our front yard when the neighbors were out the other day.,Sarcasm,"Most people would not be pleased but ashamed if their son decided to urinate in public where other people could see, as it is considered inappropriate and rude behaviour.",Contradiction,SIM,FLUTE
85,392,I felt really proud about not confessing all my sins to the priest at church,I felt really awful about not confessing all my sins to the priest at church,Sarcasm,"Confessing sins to a priest is often considered to be a good thing because it clears the conscience and makes someone feel lighter, so not doing that would imply that the person does not feel proud about it.",Contradiction,UNQ,FLUTE
86,3595,Form the young child's character.,Develop the young child's character.,Metaphor,"When you form something, you give it shape or develop it, in this case, the character of the young child is being given shape or developed.",Entailment,UNQ,FLUTE
87,4173,"He had a wide smile, but his eyes were cold, yet like a piercing breeze.","His smile was wide, but his eyes were cold and intense.",Simile,"A piercing breeze is a gust of wind that is cold and intense, implying the coldness of his eyes was intense.",Entailment,UNQ,FLUTE
88,7387,Your clothes make you look like you don't care.,,Simile,,,,AB
89,798,I didn't care one bit that my fiance just broke off the engagement and dumped me.,I thought I was going to get married but my fiance just broke off the engagement. ,Sarcasm,"Most people care a great deal when their fiance breaks off an engagement, so someone who claims to not have cared at all is being sarcastic.",Contradiction,SIM,FLUTE
90,1024,I was so glad to see that the bugs had eaten my dandelions in the garden,Yesterday I saw that bugs had eaten my dandelions in the garden.,Sarcasm,Dandelions are often seen as weeds but some people still enjoy having them in their garden and so someone being glad that the bugs ate them is absurd.,Contradiction,SIM,FLUTE
91,7542,This dress makes you look like a new woman.,,Simile,,,,AB
92,3945,Each stride he took was like a tennis court.,Each stride he took was long,Simile,"A tennis court is a large expanse of space, so each stride he took must have been long.",Entailment,UNQ,FLUTE
93,7626,You are as hungry as twenty people.,,Simile,,,,AB
94,1803,"I was eagerly waiting for my package and when the mailman drove by my house without delivering it, I was really happy.",I was waiting for a package and I watched the mailman drive by my house without delivering it.,Sarcasm,Waiting for a package and not getting it delivered can be really frustrating and not something to be thrilled about.,Contradiction,SIM,FLUTE
95,5941,This was an experiment to see whether the development of the HTML rendering API and the wider acceptance of CSS had reduced or eliminated the need for templates.,This was an experiment to have whether the development of the HTML rendering API and the wider acceptance of CSS had reduced or eliminated the need for templates.,Metaphor,,Entailment,,IMPLI
96,2698,It told them that they truly had no idea what they were dealing with and it was best to leave well alone.,It told them that they really didn't know what they were dealing with and it was best to stay away from it.,Idiom,"To leave well alone means to stay away from something so as to avoid unintentionally causing problems, which is what it told them to do.",Entailment,UNQ,FLUTE
97,2379,His mother had no doubt noticed; she looked like a turkey on thanksgiving.,His mother was definitely nervous - she had probably noticed.,Simile,"A turkey on thanksgiving is a symbol of nervousness and anxiety because it is going to be roasted, so the simile is indicating that his mother is nervous and probably noticed.",Entailment,UNQ,FLUTE
98,7714,You dance like you lived in the 50's.,,Simile,,,,AB
99,5464,To set and maintain the highest standards of care by continuously improving and evolving our services in order to best meet and exceed our patientsâ needs.,To set and maintain the highest standards of care by continuously improving and evolving our services in order to best fulfill and exceed our patientsâ needs.,Metaphor,,Entailment,,IMPLI
100,185,My thoughtful best friend abandoned me at the bar with a random dude while I was hammered instead of getting me home,My best friend left me alone at the bar with a random stranger while I was drunk instead of getting me home,Sarcasm,"It is not a good feeling when someone who is supposed to be a best friend abandons you at a bar, especially when you are drunk and cannot take care of yourself.",Contradiction,SIM,FLUTE
101,3902,"Or, this Banana Republic country","Or, this corrupt government-led country ",Idiom,"A Banana Republic is a small country whose economy depends on a single commodity and is often corrupt, which is why it would make sense for the lbd to be led by a corrupt government.",Entailment,UNQ,FLUTE
102,1617,I love that I drank my spit along with the leftover coffee this morning,I abhor that I drank my spit along with the leftover coffee this morning,Sarcasm,Drinking someone's spit along with coffee is a disgusting act and hence the person should not love it.,Contradiction,UNQ,FLUTE
103,2299,"His skin was very white and he had that hideous disease of no hair-no eyebrows and no eyelashes, and none on a head that was like a billiard ball.","His skin was very white and he had that hideous disease of no hair-no eyebrows and no eyelashes, and none on a head that was polished.",Simile,"A billiard ball is a smooth, polished object, so the person's head must be similarly polished and smooth if it is like a billiard ball.",Entailment,UNQ,FLUTE
104,1421,I was happy to see parents not monitoring their kids in the supermarket this week,I was unhappy to see parents not monitoring their kids in the supermarket this week,Sarcasm,"Most parents are protective of their children and do not want them to wander off on their own in a supermarket, so seeing parents not monitoring their kids implies that the kids are in a dangerous situation.",Contradiction,UNQ,FLUTE
105,7450,You sing like a skunk.,,Simile,,,,AB
106,4586,"All the meadows  wave  with blossoms ,",All the meadows move back and forth repeatedly with blossoms,Metaphor,,Entailment,,IMPLI
107,2481,I oblige the reversal with tit for tatianna.,I do something to upset or harm tatianna in order to get revenge because she did the same thing to me first.,Idiom,"Tit for tat is an act of revenge, so by obliging the reversal, the speaker is getting revenge on Tatianna.",Entailment,UNQ,FLUTE
108,3762,"It balanced on two asymmetrical legs and had a pair of long arms, but it was like a haphazard scarecrow .","Even though it had two legs and arms like a human, it was only vaguely humanoid.",Simile,"A scarecrow is a crude imitation of a human, made from sticks and rags.",Entailment,UNQ,FLUTE
109,6590,My mistress eyes are nothing like the sun,,Simile,,,,Kaggle
110,6229,Belfast Telegraph Plan 82 could fit the bill because it covers 20 selections with a fine guarantee of at least seven 1 - 1 draws together if eight of your 20 selections end as 1 - 1 draws .,Belfast Telegraph Plan 82 could be suitable because it covers 20 selections with a fine guarantee of at least seven 1 - 1 draws together if eight of your 20 selections end as 1 - 1 draws .,Idiom,,Entailment,,IMPLI
111,2623,The roaring on the door was more assertive now.,The knocking on the door was really persuasive and persistent.,Metaphor,The roaring on the door means the knocking is louder and more insistent.,Entailment,UNQ,FLUTE
112,1483,"I was really hopeful about getting the loan to buy my dream house, but luckily the bank rejected me",I applied for a loan to buy a house from the bank but didn't get it.,Sarcasm,Applying for a loan and then getting rejected is not a favorable outcome because it means that the person will not be able to buy their dream house and cannot be considered as a sign of good luck.,Contradiction,SIM,FLUTE
113,6451,"Robbie longed to ask , but did n't dare tempt fate .","Robbie longed to ask , but did n't dare do something dangerous.",Idiom,,Entailment,,IMPLI
114,1857,I was so excited when I found out I had to pay a late fee on my car taxes because I waited too long to pay them,I had to pay a late fee on my car taxes because I procrastinated in paying them on time.,Sarcasm,The feeling of having to pay a late fee on something is not a good one and so someone being excited about it cannot be real.,Contradiction,SIM,FLUTE
115,2374,"The old woman turned her head, and tessa saw that her skin was like a parrot's feathers",Tessa saw that the old woman's skin was green when she turned her head.,Simile,"Parrots have green feathers, so the simile is saying that the woman's skin is green.",Entailment,UNQ,FLUTE
116,4070,His political ideas color his lectures.,The professor always includes his political ideas in his lectures.,Metaphor,To say that something colors something else means that it has an effect on it.,Entailment,UNQ,FLUTE
117,1145,The fact that my storage unit burned down over the weekend makes me feel like the world loves me,I found out that my storage unit burned down over the weekend.,Sarcasm,A storage unit is where people keep their belongings safe and secure and the fact that it burned down over the weekend implies a lot of inconvenience and loss which cannot be a good feeling,Contradiction,SIM,FLUTE
118,7817,Your clothes make me want to laugh. ,,Simile,,,,AB
119,4151,Now she seemed like a buzzing fly at a picnic,Now she seemed insignificant't,Simile,"A fly is a small, insignificant creature that buzzes around and is generally considered a nuisance.",Entailment,UNQ,FLUTE
120,7124,Your manners are like they would offend a caveman.,,Simile,,,,AB
121,4839,the flower is as beautiful as frankenstein's monster,The flower is ugly,Metaphor,,,,FIGQA
122,3147,Water galloped down all over the floor.,Floors were flooded with water.,Metaphor,Galloped means to move quickly or run and usually flooded with water means that the water flowed at a very high speed.,Entailment,UNQ,FLUTE
123,2680,"And truth exalted, and righted wrong.","Here, I told the truth but was wrongfully accused .",Metaphor,"And truth exalted, and righted wrong means that even though I was telling the truth, I was still accused.",Entailment,UNQ,FLUTE
124,3444,It was like a melted popsicle on a warm day.,It was red and sticky,Simile,"A melted popsicle is red and sticky, and it is also a liquid, so it can easily be poured or spill.",Entailment,UNQ,FLUTE
125,8396,It goes without saying that they were delighted with their progress and that their morale got an unexpected boost as a result.,It is obvious that they were delighted with their progress and that their morale got an unexpected boost as a result.,Idiom,,Entailment,,IMPLI
126,5722,"While traveling on board of one of our vehicles, every passenger is covered by an insurance policy, which in Italy is mandatory.","While traveling on board of one of our vehicles, every passenger is pays for by an insurance policy, which in Italy is mandatory.",Metaphor,,Entailment,,IMPLI
127,2134,I was very lucky to survive being hit by a drunk driver last year and I am still excited of the possibility of it happening again,I felt a bit terrified when I was hit by a drunk driver last year but I am very grateful to be alive to today,Sarcasm,Being hit by a drunk driver can often lead to serious injuries or death and so it is impossible for anyone to be excited about the possibility of it happening again.,Contradiction,SIM,FLUTE
128,7314,Your sunburn makes you look like a beetroot.,,Simile,,,,AB
129,5789,"The sad part is if Roger had simply enrolled in a Medicare Supplement when he first went on Medicare two years ago, all of his health care costs would have been covered the rest of his life by paying a affordable monthly premium of a little more than $100 per month.","The sad part is if Roger had simply enrolled in a Medicare Supplement when he first went on Medicare two years ago, all of his health care costs would have been payed for the rest of his life by paying a affordable monthly premium of a little more than $100 per month.",Metaphor,,Entailment,,IMPLI
130,5734,"Chinook Centre has a pretty nice food court and some attached restaurants such as Joey Chinook, Tin Tin Dim Sum, State and Main and Globefish Japanese Bistro.","Chinook Centre has a pretty nice food court and some added restaurants such as Joey Chinook, Tin Tin Dim Sum, State and Main and Globefish Japanese Bistro.",Metaphor,,Entailment,,IMPLI
131,2576,His voice filled up the house.,His voice transmitted up the house.,Metaphor,"To fill up something means to occupy all of the space in it, likewise, transmit something means to send it out, over all the space.",Entailment,UNQ,FLUTE
132,1864,The fact that the Sriracha sauce bottle at the restaurant looked like it was from the Middle Ages made me want to give it five stars on YELP,I ate at a restaurant this morning and the Sriracha bottle looked like it was 1000 years old.,Sarcasm,"The sauce bottle being from the Middle Ages implies that it is old, outdated, ugly and not in good condition, so giving it five stars on YELP would be absurd.",Contradiction,SIM,FLUTE
133,6455,"The result is that ordinary motorists can now get the cars of their dreams for a song , and they could even end up being a good little earner .","The result is that ordinary motorists can now get the cars of their dreams very cheaply , and they could even end up being a good little earner .",Idiom,,Entailment,,IMPLI
134,3313,The novel sprouts with a murder.,Murder begins the novel.,Metaphor,By sprout it means that the novel begins with a murder.,Entailment,UNQ,FLUTE
135,2164,I am happy that my neighbor's party is still going on and I need to wake up early tomorrow,My neighbor's party is still going on and I need to wake up early tomorrow.,Sarcasm,A party going on late into the night can be very disruptive and annoying for people who need to wake up early the next day and hence the person is not happy at all but actually irritated.,Contradiction,SIM,FLUTE
136,5012,The land is a rock garden.,The land is bumpy.,Metaphor,,,,FIGQA
137,8163,"Dr. Marsh once again reiterated the cold, hard fact of life that cash throughout the Premier League is extremely tight with Everton, in tandem with a host of clubs, feeling the pinch of the recession.","Dr. Marsh once again reiterated the cold, hard fact of life that cash throughout the Premier League is extremely tight with Everton, in tandem with a host of clubs, suffering a hardship of the recession.",Idiom,,Entailment,,IMPLI
138,6499,GRAHAM TAYLOR searches desperately for someone to get a grip of England 's midfield and you wonder if it is too late — at 28 — for Stewart Robson .,GRAHAM TAYLOR searches desperately for someone to control England 's midfield and you wonder if it is too late — at 28 — for Stewart Robson .,Idiom,,Entailment,,IMPLI
