,Unnamed: 0.1,Unnamed: 0,Hypothesis,Type,GPT-3,BERT,ROBERTA,Ensemble
58,58,9,I was having the most wonderful time of my life when the man who looked homeless was chasing me down the alley.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
59,59,474,I 've been too close up against it .,Idiom,Idiom,Metaphor,Idiom,Idiom
60,60,98,His spiral is that of a cotton ball,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
61,61,599,That movie was as disturbing as puppies,Simile,Metaphor,Metaphor,Metaphor,Metaphor
62,62,533,I asked for your help and you disappeared from radar.,Metaphor,Metaphor,Metaphor,Idiom,Metaphor
63,63,279,I was thrilled when I left the hair salon and my new hair color was not what I asked for,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
64,64,567,I'm glad I made a fool of myself by tripping over the rug in the lobby at work.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
65,65,780,The judge is as honest as Pinocchio,Simile,Metaphor,Metaphor,Metaphor,Metaphor
66,66,414,From its blue vase the rose of evening drops.,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
67,67,782,snow is milk,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
68,68,574,My mood suddenly became so happy when I got my car back and found out that it was filled with used diapers.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
69,69,222,"The road and railway from Mallaig go south hand in hand along the coast to Keppoch , famed for its glorious seascapes , and Arisaig , a small village beloved of discerning holidaymakers who find there tranquillity in alliance with an enchanting coast .",Idiom,Idiom,Idiom,Idiom,Idiom
70,70,340,I felt proud when I cheated on my keto diet by eating sugar the other day.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
71,71,401,"Ironically, my reading assignment for the weekend was gone with the wind.",Idiom,Idiom,Idiom,Idiom,Idiom
72,72,85,Installing the part was as easy as understanding relativity,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
73,73,408,Jane knew these dicsussions were the seeds of a potential conflict.,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
74,74,332,"I know that woman too well to ever want to lay a finger on her, okay?",Idiom,Idiom,Idiom,Sarcasm,Idiom
75,75,746,I was overjoyed when I thought I saw an intruder in my room last week,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
76,76,65,I jumped for joy when I received a letter from the IRS saying I owed taxes from 3 years ago,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
77,77,43,Your voice sounds like it's going to give up soon.,Simile,Simile,Simile,Simile,Simile
78,78,89,"I held my breath, waiting for what my gaze would fall upon, and I almost shrieked as I stared at his head, bald like a lamp post.",Simile,Simile,Simile,Simile,Simile
79,79,211,"""Cross my heart, buddy; I'm telling you the whole truth,"" Melanie swore.",Idiom,Idiom,Idiom,Idiom,Idiom
80,80,223,His status was as high as a bathroom attendant,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
81,81,150,The cake was as moist as the desert,Simile,Metaphor,Simile,Metaphor,Metaphor
82,82,103,"The demons were closing in, but I was like an old man on a park bench, feeding pigeons on a warm summer afternoon.",Simile,Simile,Simile,Simile,Simile
83,83,381,I love how my ex-boyfriend is incapable of moving on and finding someone new,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
84,84,651,Your voice is like a trombone.,Simile,Simile,Simile,Simile,Simile
85,85,38,"cherek,"" I replied in a pained tone, 'that path's like a broken-backed snake",Simile,Simile,Simile,Simile,Simile
86,86,51,The war devoured so many lives.,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
87,87,315,"Granddad george made an off the cuff remark about meeting grandfather hines, so when we were at home I told him and he said it could happen.",Idiom,Idiom,Idiom,Idiom,Idiom
88,88,552,I found a beautiful surprise in my bathroom in the form of a spider and sprinted out of there faster than Usain Bolt!,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
89,89,496,How wonderful of my son to steal $600 from me!,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
90,90,701,Each blade of grass was a bayonet pointed firmly at our bare feet.,Metaphor,Metaphor,Metaphor,Idiom,Metaphor
91,91,756,Harmless  fell  the blows he dealt it,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
92,92,465,Love how rats calm me down and make me feel like I am in heaven.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
93,93,730,The Prime Minister 's hard - nosed stance to further challenges held the line with growls of loyalist support .,Idiom,Idiom,Idiom,Idiom,Idiom
94,94,580,The residents of this village adhered to catholicism.,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
95,95,433,The wind howled like a pack of wolves.,Simile,Simile,Simile,Simile,Simile
96,96,762,"A BUSKER who stole 32 credit cards from the son of crooked Robert Maxwell is on the run from police, a court heard yesterday.",Idiom,Idiom,Idiom,Idiom,Idiom
97,97,471,"Seeing the old juke box was like visiting a nasty, useless junkyard",Metaphor,Simile,Simile,Simile,Simile
98,98,69,He looked about as inconspicuous as a tarantula on a slice of angel food.,Simile,Simile,Simile,Simile,Simile
99,99,534," Call off the dogs, I have three names for you, and two facts . '",Idiom,Idiom,Idiom,Idiom,Idiom
100,100,754,Your input is like someone who didn’t study properly for a test.,Simile,Simile,Simile,Simile,Simile
101,101,278,He is as smart as my doctor,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
102,102,91,"And dance as dust before the sun, light of foot and unconfined.",Simile,Simile,Simile,Idiom,Simile
103,103,738,English earls were small beer by comparison to the margraves.,Idiom,Idiom,Idiom,Metaphor,Idiom
104,104,675,It also needs a hardworking support team behind the scenes.,Idiom,Idiom,Idiom,Idiom,Idiom
105,105,446,"‘ We must avoid jumping to conclusions,’ replied Thiercelin cautiously.",Idiom,Idiom,Idiom,Idiom,Idiom
106,106,120,I am not worried at all that the fuel might not be enough to take me to the next gas station before I run out.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
107,107,305,Even the cleaning she had done wasn't up to scratch according to the boys who worked alongside her.,Idiom,Idiom,Idiom,Idiom,Idiom
108,108,193,The sun beat down on us like a relentless hammer.,Simile,Simile,Simile,Simile,Simile
109,109,231,Your comments are like having a fever in the middle of a heatwave.,Simile,Simile,Simile,Simile,Simile
110,110,206,"Several thousand years in the future, humans evolved to be like fleshed automatons.",Simile,Simile,Simile,Simile,Simile
111,111,769,There are strange birds like blots against a sky.,Simile,Simile,Simile,Simile,Simile
112,112,133,"And while they were biding their time over a game of backgammon down in the café, William used to wander through the silent, cluttered rooms where their investment languished, gathering dust.",Idiom,Idiom,Idiom,Idiom,Idiom
113,113,171,"I burn the midnight oil, see?",Idiom,Idiom,Idiom,Idiom,Idiom
114,114,0,"Let us  pass  the night together ,",Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
115,115,404,Your driving style reminds me of a monkey at the wheel.,Simile,Simile,Simile,Simile,Simile
116,116,784,You’ve just made a breakthrough in AI that meant that our species became like landlines in the twenty-first century.,Simile,Simile,Simile,Idiom,Simile
117,117,779,"I wanted her to participate in the creation, authenticating it by give and take.",Idiom,Idiom,Idiom,Idiom,Idiom
118,118,664,"Clouds of every many dimensions bring graphic relief to a clear blue sky as they fan out over Sedona's southern monuments including Bell Rock, and Courthouse Butte.",Metaphor,Metaphor,Metaphor,Idiom,Metaphor
119,119,307,Everyone agreed that the political newcomer gave the congressman a bloody nose during their first televised debate.,Idiom,Idiom,Idiom,Metaphor,Idiom
120,120,819,There's no time like the present right?,Idiom,Idiom,Idiom,Idiom,Idiom
121,121,800,Ahab was a pyramid but I kept kicking at him.,Metaphor,Metaphor,Metaphor,Idiom,Metaphor
122,122,508,Your nose is like you've lied too much.,Simile,Simile,Simile,Simile,Simile
123,123,200,The government digested the entire law into a code.,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
124,124,577,I swear I love how my pet bird makes noises and create such a ruckus that it makes my eardrums bleed.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
125,125,828,"Come on , stop playing silly buggers , you 're putting the wind right up me.’",Idiom,Idiom,Idiom,Idiom,Idiom
126,126,207,And it goes without saying that Wild is a Lisztian of the finest order.,Idiom,Idiom,Idiom,Idiom,Idiom
127,127,21,And in her old bounds axed her despair.,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
128,128,721,The river is flowing like a rocket.,Metaphor,Simile,Simile,Simile,Simile
129,129,644,Your hair looks like a cloudy day.,Simile,Simile,Simile,Simile,Simile
130,130,432,Your approach is like that of statue that has been blown over.,Simile,Simile,Simile,Simile,Simile
131,131,744,"She's big, but she's not very brave-and on the ground she's like a pig on a frozen pond.",Simile,Simile,Simile,Simile,Simile
132,132,691,"His skin felt like a doves feathers and his little face was round, set by a golden crown of curls.",Simile,Simile,Simile,Simile,Simile
133,133,558,I am excited about how much it will cost to repair the damage I did to my car yesterday,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
134,134,101,Your arms are like a determined police officer directing traffic.,Simile,Simile,Simile,Simile,Simile
135,135,35,The bottle is as clear as an ice cube,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
136,136,345,"I guess we 'll have to go back to the drawing board,Martha said",Idiom,Idiom,Idiom,Idiom,Idiom
137,137,243,"My friend never showed up to drive me to the airport and as a result of his thoughtfulness, I missed my flight",Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
138,138,6,I absolutely love being bald and not at all feel the need for some nice hair.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
139,139,750,You are acting like an angry beaver.,Simile,Simile,Simile,Simile,Simile
140,140,27,"In the United States, three major research laboratories are working on HDTV around the clock.",Idiom,Idiom,Idiom,Idiom,Idiom
141,141,16,Your words are like a child's.,Simile,Simile,Simile,Simile,Simile
142,142,187,But today she walked free from the High Court in Edinburgh after being given community service.,Idiom,Idiom,Idiom,Idiom,Idiom
143,143,77,I feel overjoyed that I nodded off at my desk yesterday,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
144,144,393,I love it when people blast their music during the week at 3am and disrupt my sleep,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
145,145,225,"One of the common symptom being seen during PHP development is White Screen of Death, a blank screen instead of expected page.",Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
146,146,438,My wonderful brother wouldn't stop following me around and I was this close to gifting him with a punch.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
147,147,441,Your presence is like that of a wasp.,Simile,Simile,Simile,Simile,Simile
148,148,454,we can lean on this man,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
149,149,645,My eyes burned up and I could feel my face turning red.,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
150,150,214,Soulflower Clean Beauty Regime has dropped from its initial price of Rs.,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
151,151,324,He shook his head without changing his expression.,Metaphor,Metaphor,Metaphor,Idiom,Metaphor
152,152,485,"take it from me, the human heart is much more capable than we give it credit for.",Idiom,Idiom,Idiom,Idiom,Idiom
153,153,82,I feel totally pleased that the gloves that the restaurant staff wore touched my food,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
154,154,625,Your posture reminds me of a person who is completely overwhelmed.,Simile,Simile,Simile,Simile,Simile
155,155,417,My step brother's decision to sell my laptop in order to buy a new gaming station makes me love him,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
156,156,753,"So impassive and peculiar had the Collector become , so obviously on the verge , everyone thought so ( you would have thought so yourself if you had seen him at this time ) , of giving up the ghost , that his face was scrutinized more closely than ever for any trace of remorse as the gorse bruiser was carried out .",Idiom,Idiom,Idiom,Idiom,Idiom
157,157,41,I feel so pleased that the cable company never showed up even after waiting for 5 hours,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
158,158,815,"Iâm a Rolling Stone junkie, but the most I care about RS covers are when they donât put a legendary and recently deceased musician (Clarence) on it.",Metaphor,Metaphor,Idiom,Idiom,Idiom
159,159,312,she's light as a freight train,Simile,Metaphor,Simile,Metaphor,Metaphor
160,160,208,I was excited out of my mind that my travel to the region would be interrupted because of the high level travel alert.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
161,161,553,Yesterday my co-worker got the promotion that I was gunning for and now I feel really good about it,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
162,162,766,The spider that dropped down in front of me while driving delighted me,Sarcasm,Sarcasm,Sarcasm,Metaphor,Sarcasm
163,163,173,"Annwyl followed, making absolutely no sound, like a deer bounding through the trees.",Simile,Simile,Simile,Simile,Simile
164,164,458,I am glad that I am not skinny like a model and have to worry about my weight all the time.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
165,165,495,"How naive of me to think that after paying them a hefty monthly fee, they would do my lawn properly",Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
166,166,87,"When you confront him about it, he is like a beffudled toddler.",Simile,Simile,Simile,Simile,Simile
167,167,300,I feel happy that I am not following my wife's diet instructions and instead am cheating,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
168,168,221,"Lord above, woman, don't play dumb with me.",Idiom,Idiom,Idiom,Idiom,Idiom
169,169,201,Porthleven harbour is frequently hit by storms and sometimes suffers severe damage as a result.,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
170,170,31,Your eyes are like empty voids.,Simile,Simile,Simile,Simile,Simile
171,171,242,My personal feelings color my judgment in this case.,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
172,172,276,I was overjoyed when my dog got into the garbage can and made a mess while I was out!,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
173,173,637,You look as tired as a dog.,Simile,Simile,Simile,Simile,Simile
174,174,633,The magic was as amazing as a day at Disneyworld,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
175,175,595,The classroom was as quiet as a tongue-tied librarian in a hybrid car.,Simile,Simile,Simile,Metaphor,Simile
176,176,512,"This normativist concern came to a head with the publication in 1929 by Lord Hewart , the Lord Chief Justice , of a book entitled The New Despotism .",Idiom,Idiom,Idiom,Idiom,Idiom
177,177,619,My dog destroyed more than a few pieces of furniture while I was at work and I am excited to shell out more money to replace them all,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
178,178,124,Your voice sounds like a powerful storm blowing through the concert hall.,Simile,Simile,Simile,Simile,Simile
179,179,578,The wave is a mini mart,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
180,180,749,DHS continues to issue guidance and sample templates via the CBSM to assist lead agencies in documenting that non-enrolled vendors meet all applicable service standards.,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
181,181,548,But Laura was a piranha; she'd have chewed him down to the bone if he had let her.,Idiom,Idiom,Idiom,Idiom,Idiom
182,182,776,She had to tend to her job and her children.,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
183,183,159,"Good, ill see you two bright and early tomorrow.",Idiom,Idiom,Idiom,Idiom,Idiom
184,184,22,Isn't there any way for you to get in touch with him?,Idiom,Idiom,Idiom,Idiom,Idiom
185,185,285,You drive like you're in a horse and cart.,Simile,Simile,Simile,Simile,Simile
186,186,524,I absolutely adore the fact that I have to work on Sunday and miss all the family time.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
187,187,420,But the explicit agreement about telling him the reasons behind his condition didn't take into account the possibility of destroying the entire conception he held about his family.,Idiom,Idiom,Idiom,Idiom,Idiom
188,188,498,"If she didn't find some way to block out the cocky evil cat, she'd go spare.",Idiom,Idiom,Idiom,Idiom,Idiom
189,189,3,"A ânecklineâ is drawn connecting the low points after the left shoulder and head (often called âarmpitsâ).If the price drops below the neckline, the pattern is complete and a downtrend is likely underway.",Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
190,190,705,‘ Our display was better than the result and the lads did themselves proud but sometimes Lady Luck dictates how things go .,Idiom,Idiom,Idiom,Idiom,Idiom
191,191,706,Your lips are like they haven't found the right colour yet.,Simile,Simile,Simile,Simile,Simile
192,192,620,I was overjoyed when someone backed into my new SUV while driving through the parking lot the other day and,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
193,193,818,I am very proud of myself because I don't have enough money to pay my important bill.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
194,194,473,"He was about sixty, like a big soccer ball .",Simile,Simile,Simile,Simile,Simile
195,195,602,"Bear in mind that I said great, not decent enough to be mentioned in a Dominican pride flyer.",Idiom,Idiom,Idiom,Sarcasm,Idiom
196,196,353,I absolutely feel no envy when I see people who have a washer and dryer in their home.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
197,197,680,"rub it in, why don't you ,he grumbled.",Idiom,Idiom,Idiom,Idiom,Idiom
198,198,347,You have the face of a thundery day.,Simile,Simile,Simile,Simile,Simile
199,199,119,"The trouble is, we don't see eye to eye, or, more correctly, our minds move in different channels.",Idiom,Idiom,Idiom,Idiom,Idiom
200,200,821,Absolutely adore my coworker who loves to talk to me about stuff that I couldn't care less about,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
201,201,475,I love seeing any type of bullying because it makes me really furious.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
202,202,314,The mountains rose up like jagged teeth in the distance.,Simile,Simile,Simile,Metaphor,Simile
203,203,547,Slowly his sense and strength grew.,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
204,204,378,I feel extremely proud of myself for succumbing to my cravings and eating an entire ice cream sundae by myself,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
205,205,525,The ocean was as tranquil as a meditating monk.,Simile,Simile,Simile,Simile,Simile
206,206,152,I was really happy when I got my car back and found out that it was filled with used diapers,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
207,207,26,"He grabbed one forearm and broke it, then a blow on the forehead knocked his eyesight out of kilter, another thumped his ribs and he gave up, sliding hunched down the wall trying to keep his groin and kidneys safe.",Idiom,Idiom,Idiom,Idiom,Idiom
208,208,622,A general principle for an efficient tax system is to collect a given amount of revenue (corresponding in the long run to the government ’s spending) in a way that causes as little distortion as possible to the overall economy.,Idiom,Idiom,Idiom,Idiom,Idiom
209,209,11,"when all is said and done, it's the content you create that makes the real difference.",Idiom,Idiom,Idiom,Idiom,Idiom
210,210,50,The rule of thumb for working out Maximum Heart Rate ( MHR ) is 225 minus your age in years .,Idiom,Idiom,Metaphor,Idiom,Idiom
211,211,642,I was thrilled when I received a letter from the IRS saying I owed taxes from 3 years ago.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
212,212,714,"Whether it was a choice between the devil and the deep blue sea, I don't care.",Idiom,Idiom,Idiom,Sarcasm,Idiom
213,213,543,The instrument was as easy to learn as astrophysics,Simile,Metaphor,Metaphor,Metaphor,Metaphor
214,214,339,"It wasn't glib or run of the mill ,it didn't go in one ear and out the other.",Idiom,Idiom,Idiom,Idiom,Idiom
215,215,656,My brain is stable after the bottle of champagne.,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
216,216,280,It makes me feel amazing when I think about the fact that my wonderful co-worker who barely does anything is making more money than I do.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
217,217,624,I am so glad that my crush decided to turn me down when I asked her out on a date.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
218,218,81,VA mortgages are only made available to honorably discharged veterans and active service personnel who have met any of the following term of service requirements:,Metaphor,Metaphor,Metaphor,Sarcasm,Metaphor
219,219,266,You look as tired as a worn out dishcloth.,Simile,Simile,Simile,Simile,Simile
220,220,338,"CA 's proprietary Masterpiece financial software , Generator development tools and CA - DB underlying database technology may also make the move .",Idiom,Idiom,Idiom,Idiom,Idiom
221,221,830,I am proud to admit that I ate all the pizza rolls in the bag last night,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
222,222,469,The dog was as quick as a man trying to get to the toilet in time,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
223,223,809,"The air was like a soft, soothing blanket",Simile,Simile,Simile,Simile,Simile
224,224,742,Tahiti is one of the beautiful places on Earth and I am thrilled my best friend gets to go there unlike me who is rotting here.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
225,225,483,The city streets were as chaotic as a jungle.,Simile,Simile,Simile,Simile,Simile
226,226,727,My personal feelings shadowed my judgment in this case.,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
