,Hypothesis,Type,GPT-3
390,I felt proud of humanity when I saw the woman being extremely disrespectful to another woman of color at the mall.,Sarcasm,Sarcasm
820,"Watson , who turned to crime after moving to London , slumped in the dock of Inner London Crown Court as Judge Brian Pryor handed out the sentence on Monday .",Idiom,Idiom
139,I jumped for joy when I left the hair salon and my new hair color was not what I asked for,Sarcasm,Sarcasm
350,The lone possibility swam in front of her like a mirage in the desert.,Simile,Simile
312,she's light as a freight train,Simile,Metaphor
114,"I have no idea how he did it, but he sure cut the gordian knot.“",Idiom,Idiom
298,You remind me of a tsunami.,Simile,Simile
785,The waves crashed against the shore like a roaring beast.,Simile,Simile
705,‘ Our display was better than the result and the lads did themselves proud but sometimes Lady Luck dictates how things go .,Idiom,Idiom
612,I am excited about the long 9 hour drive because I feel like it's going to be so fun,Sarcasm,Sarcasm
330,I was so delighted to see my coworker eat their boogers right at work,Sarcasm,Sarcasm
96,We offer quality services and strive to meet our own high standards.,Metaphor,Metaphor
702,The drawing was as round as a globe.,Metaphor,Simile
798,"A wish with no strings attached whatsoever, as long as the judge approved it.",Idiom,Idiom
127,Soulflower Skin Brightening Regime has dropped from its initial price of Rs.,Metaphor,Metaphor
792,How cool is it that my boss just shot down my idea to take a vacation and enjoy some time off,Sarcasm,Sarcasm
64,"If I continue to go the distance for her, our relationship will be fine.",Idiom,Idiom
27,"In the United States, three major research laboratories are working on HDTV around the clock.",Idiom,Idiom
445,The movie was as long as a catholic wedding,Metaphor,Metaphor
295,I invested in cryptocurrency but now I'm so excited that the market will tank and I'll lose all my money,Sarcasm,Sarcasm
150,The cake was as moist as the desert,Simile,Metaphor
328,Soulflower Hair Growth & Hair Fall Control Regime has dropped from its initial price of Rs.,Metaphor,Metaphor
296,we were sinking in an ocean of grass.,Metaphor,Metaphor
478,"After the man punched me on the subway last week, I am now really excited to leave my house",Sarcasm,Sarcasm
254,Now Paul will think twice .,Idiom,Idiom
209,"Disembark in Puerto Santo Tomas and catch our charter flight to Guatemala City, where youâll connect with your flight home.",Metaphor,Metaphor
733,She might not have been able to put into words the high hopes she held for her daughter but her actions spoke volumes .,Idiom,Idiom
495,"How naive of me to think that after paying them a hefty monthly fee, they would do my lawn properly",Sarcasm,Sarcasm
186,Just in case I needed some motivation for him to calm down should he be inclined to go ballistic on me.,Idiom,Idiom
685,I feel really calm when my husband leaves his dirty clothes on the floor.,Sarcasm,Sarcasm
129,It was obvious the firm would foot the bill for the settlement.,Idiom,Idiom
492,Come take it from me.,Idiom,Idiom
567,I'm glad I made a fool of myself by tripping over the rug in the lobby at work.,Sarcasm,Sarcasm
468,The stock market drifted upward.,Metaphor,Metaphor
782,snow is milk,Metaphor,Metaphor
518,you're as bright as a black hole,Metaphor,Metaphor
13,"‘ we pour cold water on the natural loving feelings of their parents , and give them the impression they have produced something monstrous .",Idiom,Idiom
553,Yesterday my co-worker got the promotion that I was gunning for and now I feel really good about it,Sarcasm,Sarcasm
790,The tall girl pivoted like a ballerina toward the bag.,Simile,Simile
598,"The skin on your lips is thinner than other places on your body, only three layers compared to 16 on your face, which is why it is so crucially important that they are cared for, protected and not covered with noxious substances.",Metaphor,Metaphor
3,"A ânecklineâ is drawn connecting the low points after the left shoulder and head (often called âarmpitsâ).If the price drops below the neckline, the pattern is complete and a downtrend is likely underway.",Metaphor,Metaphor
291,Your hands are like jellies.,Simile,Simile
412,My brain is glowing after the bottle of champagne.,Metaphor,Metaphor
614,Your comments are like a clanging bell.,Simile,Simile
49,You walk like your feet aren't attached to your legs.,Simile,Simile
304,"This was when violent members of the gay community struck out against police, and it was the start of the gay liberation movement",Metaphor,Idiom
446,"‘ We must avoid jumping to conclusions,’ replied Thiercelin cautiously.",Idiom,Idiom
65,I jumped for joy when I received a letter from the IRS saying I owed taxes from 3 years ago,Sarcasm,Sarcasm
58,Your movements remind me of a robot.,Simile,Simile
260,Kenny Milne is far and away the Scots' best hooker and his injury robbed them of a great deal in both tests.,Idiom,Idiom
33,My family cannot agree on what to eat for dinner and it's really a good use of time.,Sarcasm,Sarcasm
525,The ocean was as tranquil as a meditating monk.,Simile,Simile
494,Your progress is like it's stalled a bit.,Simile,Simile
307,Everyone agreed that the political newcomer gave the congressman a bloody nose during their first televised debate.,Idiom,Idiom
84,I was so thrilled when someone decided to push me and made me fall in the subway,Sarcasm,Sarcasm
192,I am really proud that my real estate career in Florida didn't go as I hoped inspite of all the planning,Sarcasm,Sarcasm
454,we can lean on this man,Metaphor,Metaphor
419,Lets confirm that fact before we go begging for cooperation.,Idiom,Idiom
63,I just love it when people smoke near me at work when I am trying to focus.,Sarcasm,Sarcasm
784,You’ve just made a breakthrough in AI that meant that our species became like landlines in the twenty-first century.,Simile,Simile
739,"I'm such a good person because I rob innocent teenagers who are just trying to get an education, in order to get money for my drugs.",Sarcasm,Sarcasm
6,I absolutely love being bald and not at all feel the need for some nice hair.,Sarcasm,Sarcasm
67,They scoured through the job candidates.,Metaphor,Metaphor
183,Your manners are as coarse as sandpaper.,Simile,Simile
475,I love seeing any type of bullying because it makes me really furious.,Sarcasm,Sarcasm
333,I was once really hopeful that a boy liked me but was extremely happy to find out he was in love with my bestie,Sarcasm,Sarcasm
594,"You disagree? Okay, shoot!",Metaphor,Metaphor
301,His personality was as sparkling as JULY 4TH FIREWORKS,Metaphor,Metaphor
651,Your voice is like a trombone.,Simile,Simile
157,He and Auntie Lou were thick as thieves at the moment .,Idiom,Idiom
813,This computer moves like an obese person in an electric scooter,Metaphor,Simile
267,The night feels as long as a year,Metaphor,Metaphor
369,"In this period the Awlad Amira secretary of the Kufra Assembly executive committee fell from grace and left office, becoming night watchman in a school.",Idiom,Idiom
822,The stars were as enchanting as a fairy tale.,Simile,Simile
88,Off she went like a wreckingball.,Simile,Simile
147,"He loved books, bought them when he could, and soon knew much of the writing of past and contemporary poets by heart.",Idiom,Idiom
562,"‘ She 's done him proud,’ said Mrs Flaherty , ‘ I 'll say that for her.’",Idiom,Idiom
783,The move could trigger a tit - for - tat trans - Atlantic trade war if the Community retaliates in kind.,Idiom,Idiom
675,It also needs a hardworking support team behind the scenes.,Idiom,Idiom
311,His stomach felt like a well.,Simile,Simile
735,Absolutely loved the highlight of the gym class today when my pants suddenly split open and everyone saw my underwear,Sarcasm,Sarcasm
706,Your lips are like they haven't found the right colour yet.,Simile,Simile
477,He wanted to bring the house down this time.,Idiom,Idiom
141,You make me feel like a spare part.,Simile,Simile
574,My mood suddenly became so happy when I got my car back and found out that it was filled with used diapers.,Sarcasm,Sarcasm
742,Tahiti is one of the beautiful places on Earth and I am thrilled my best friend gets to go there unlike me who is rotting here.,Sarcasm,Sarcasm
317,I feel ecstatic that all my work for a 20 page research paper got erased because my computer crashed,Sarcasm,Sarcasm
799,Passing the buck,Idiom,Idiom
515,You are as hungry as a hippo.,Simile,Simile
73,I let out a loud fart while eating lunch with my coworkers and now I feel totally pleased and confident,Sarcasm,Sarcasm
385,The waves rolled in like a gentle lullaby.,Simile,Simile
236,You walk like a tightrope walker.,Simile,Simile
103,"The demons were closing in, but I was like an old man on a park bench, feeding pigeons on a warm summer afternoon.",Simile,Simile
652,"In the last century, the cathedral was made more northern still, when a second tower was added to the one which already existed, and two spires for good measure.",Idiom,Idiom
290,The fact that my brother calls me all the time and I can't seem to get a break from him makes me love him so much,Sarcasm,Sarcasm
700,"Although so little was heard from them, those who kept tabs on them were convinced that they were slowly fading away.",Idiom,Idiom
165,The car was a stallion,Metaphor,Metaphor
279,I was thrilled when I left the hair salon and my new hair color was not what I asked for,Sarcasm,Sarcasm
531,"He — in his little bit , sitting on a different spindly chair — had the presence of mind to take the opportunity of delivering an onslaught on the Snow school of criticism , the stranglehold they have , their implication that there are worthwhile characters who ‘ matter’ and others that can not have any importance .",Idiom,Idiom
287,You look like a mess.,Simile,Simile
415,"They are enemies on the field -- and on draft day -- but many are friends who love to talk shop and, sometimes, even trade information. ",Idiom,Idiom
334,The old house creaked like an old ship at sea.,Simile,Simile
197,"There were three rows with his father, behind closed doors, then they reached agreement.",Idiom,Idiom
490,Your movements remind me of a tornado. ,Simile,Simile
754,Your input is like someone who didn’t study properly for a test.,Simile,Simile
536,I feel like humanity is really going in the right direction after watching a lot of true crime shows,Sarcasm,Sarcasm
766,The spider that dropped down in front of me while driving delighted me,Sarcasm,Sarcasm
131,"‘ I am over the moon with that run,’ said the Viking Chase record - holder.",Idiom,Idiom
286,The book was as abridged as a copy of the Bible that includes the Book of Judas,Metaphor,Metaphor
426,You are as thin as a stick.,Simile,Simile
0,"Let us  pass  the night together ,",Metaphor,Metaphor
586,Your smile is like a mask.,Simile,Simile
615,It makes me so glad when people litter around my apartment building.,Sarcasm,Sarcasm
321,Your approach is like that of someone with brain damage.,Simile,Simile
541,"Where, today, is the church sufficiently aware of the problems behind closed doors in the lonely streets that it is able to offer true community and true family when it is definitely needed?",Idiom,Idiom
219,"With each lap of the waves against the hull, tony closed off insidious emotions before they could take root inside him and focused on the shore.",Idiom,Idiom
11,"when all is said and done, it's the content you create that makes the real difference.",Idiom,Idiom
2,I am trying to work here so please keep distracting me,Sarcasm,Sarcasm
320,"while watching the movie, the emotion in the theatre was that of a very popular person's funeral",Metaphor,Metaphor
323,Great to see young blood getting their feet wet.,Idiom,Idiom
205,I feel proud of myself for eating a box of donuts when I explicitly said I wouldn't cheat on my diet,Sarcasm,Sarcasm
136,Your hair is as silky as sandpaper.,Simile,Simile
439,I love the fact that the dog owner never picks up his dog's poop and it's right by our house,Sarcasm,Sarcasm
35,The bottle is as clear as an ice cube,Metaphor,Metaphor
68,The stars shined as bright as wood,Metaphor,Simile
399,TalkingEconomics - The world economy shrugs off uncertaintyâ¦ for now,Metaphor,Metaphor
25,His stomach was as loud as a moment of silence,Metaphor,Metaphor
827,", Sophie rolling her eyes,'Oh, that news will go down like a lead balloon!",Idiom,Idiom
140,I love the sound of people loudly breathing while they eat a sandwich,Sarcasm,Sarcasm
222,"The road and railway from Mallaig go south hand in hand along the coast to Keppoch , famed for its glorious seascapes , and Arisaig , a small village beloved of discerning holidaymakers who find there tranquillity in alliance with an enchanting coast .",Idiom,Idiom
550,I was so thrilled to see parents not monitoring their kids in the supermarket this week,Sarcasm,Sarcasm
379,The thunderstorm raged on like a battle cry.,Simile,Simile
56,I feel wonderful that month after month trying to conceive resulted in nothing,Sarcasm,Sarcasm
719,He waited like a leopard poised to pounce,Simile,Simile
405,The chapter has the depth of the sea.,Metaphor,Metaphor
289,"And less than 60 seconds later with the Ballyclare defence at sixes and sevens, McCallan got his hat - trick scoring from close range after Cathcart fumbled a McCartney cross.",Idiom,Idiom
340,I felt proud when I cheated on my keto diet by eating sugar the other day.,Sarcasm,Sarcasm
21,And in her old bounds axed her despair.,Metaphor,Metaphor
604,The politician toppled his rival.,Metaphor,Metaphor
130,I am glad that I might not have enough money to buy food next month,Sarcasm,Sarcasm
648,Your presence is like a garbage can.,Simile,Simile
284,You were hanging yourself on someone else 's words.,Metaphor,Metaphor
384,The guy's taco looked totally normal until I saw the whipped cream and then I really wanted to hug him for his beautiful taste.,Sarcasm,Sarcasm
98,His spiral is that of a cotton ball,Metaphor,Metaphor
206,"Several thousand years in the future, humans evolved to be like fleshed automatons.",Simile,Simile
368,The matters of employing people is changing and in the main those changes fly in the face of traditional G M B organization and make recruitment and retention of membership more difficult.,Idiom,Idiom
613,She relaxed into the luxury of life.,Metaphor,Metaphor
758,The girl broke into the conversation.,Metaphor,Metaphor
503,That news was like a thick milkshake.,Metaphor,Simile
608,Water authorities that will make a splash: Jeremy Warner on investment in the floated water authorities,Idiom,Idiom
146,"Three hours later I was on hands and knees under the cotton trailer, as sick as a dog.",Idiom,Idiom
262,The play was as thrilling as watching paint dry,Metaphor,Simile
217,Your clothes are like you aren't feeling confident about yourself.,Simile,Simile
411,It appeared like a small cash box .,Simile,Simile
196,My friend just bought a new Porsche and I feel really proud about the fact that I can't even afford a scooter,Sarcasm,Sarcasm
329,Your face is like a white sheet of paper.,Simile,Simile
314,The mountains rose up like jagged teeth in the distance.,Simile,Simile
566,"It was a severe blow but Highlander drew its horns in to weather the storm and re - opened under a new charter as the Highlander Research and Education Center , first in Knoxville , Tennessee , and now at Newmarket , some 20 miles out of Knoxville .",Idiom,Idiom
218,For this reason we recommend selecting insurance on your shipping to cover such events.,Metaphor,Metaphor
596,And his heart  outran  his footsteps ;,Metaphor,Metaphor
417,My step brother's decision to sell my laptop in order to buy a new gaming station makes me love him,Sarcasm,Sarcasm
826,So proud of my son who threw a fit at Walmart when I refused to buy him a toy and laid down in the middle of the floor screaming,Sarcasm,Sarcasm
204,Ain't I the best parent in the world for completely forgotting to pick up my daughter from the girl scout meeting on time.,Sarcasm,Sarcasm
53,"Let's cut the crap,said webb's fishing companion.",Idiom,Idiom
740,It makes me feel loved when my cat only pays attention to me when she wants food from me,Sarcasm,Sarcasm
444,Your sunburn makes you look like you've been dipped in red paint.,Simile,Simile
592,I felt like such a great and organized person when I accidentally broke my aunt's picture display that she had just put up.,Sarcasm,Sarcasm
194,You behave like a mime.,Simile,Simile
14,"There may be no other country in the world that over the past half century has seen growth as sustained as that of South Korea, including conversions to Christ.",Metaphor,Metaphor
555,"Other regions that on the face of it may seem rather benign — including open reaches of tropical ocean — may, for long periods, be almost devoid of life.",Idiom,Idiom
563,Come clean on all coups,Idiom,Idiom
391,I was really happy that a boy liked me but then later found out he was in love with my best friend,Sarcasm,Sarcasm
765,The preschool teacher was a grim reaper.,Metaphor,Metaphor
313,Latex fetish xxx service offers you to meet people with the same interests and play sex games in real time.,Metaphor,Metaphor
595,The classroom was as quiet as a tongue-tied librarian in a hybrid car.,Simile,Simile
229,The sculptor's work was as creative as buttered bread,Metaphor,Metaphor
258,A mist about your beauty clings like a thin cloud before a star.,Simile,Simile
361,Your progress is like an old printer printing a full colour page.,Simile,Simile
485,"take it from me, the human heart is much more capable than we give it credit for.",Idiom,Idiom
180,I am so overjoyed that I will not be able to make my mortgage payments and lose my home,Sarcasm,Sarcasm
71,She said that she could smell infidelity from a mile.,Metaphor,Metaphor
687,"Benjamin went down on one knee , tugging at my sleeve for me to follow suit .",Idiom,Idiom
110,Honesty is a stain,Metaphor,Metaphor
199,This turkey is the Sahara,Metaphor,Metaphor
46,I was totally proud when I found out my son has been bullying other kids at school,Sarcasm,Sarcasm
247,You look as tired as someone who has been running a mile.,Simile,Simile
371,Your voice is like a whisper.,Simile,Simile
578,The wave is a mini mart,Metaphor,Metaphor
466,Alicia seemed to recover rapidly and started to make light of what the others found worrying.,Idiom,Idiom
418,Your input is like a two year old trying to help.,Simile,Simile
400,"Mr. Owens had an expression for two things he found equally unpleasant: I'm between the devil and the deep blue sea,he would say.",Idiom,Idiom
644,Your hair looks like a cloudy day.,Simile,Simile
471,"Seeing the old juke box was like visiting a nasty, useless junkyard",Metaphor,Simile
585,"They wore jeans, which made me stand out like a sore thumb.",Simile,Simile
398,They 'll make a point of finding suffering people.,Idiom,Idiom
355,Here comes the fool with his foggy brain.,Metaphor,Metaphor
319,You have no idea why people suddenly have become like pale frail zombies.,Simile,Simile
482,"I sometimes feel scared that something bad might happen to me living alone in this wonderful, safe neighborhood.",Sarcasm,Sarcasm
556,I love the fact that my mom expects me to babysit my nephew all the time,Sarcasm,Sarcasm
797,The position of the antenna in the living room provided as much clarity as A muddy puddle,Metaphor,Metaphor
564,"I work so hard, and it's amazing how some of my friends have no idea what fun 'hard work' really is because they are blessed by being born into wealth",Sarcasm,Sarcasm
499,I got really happy when I found out the chicken I ordered was still pink on the inside,Sarcasm,Sarcasm
316,You have the face of someone only a mother could love.,Simile,Simile
432,Your approach is like that of statue that has been blown over.,Simile,Simile
667,His temper was as explosive as a volcano.,Simile,Simile
283,The illusion was as good as a 12-pixel GIF,Metaphor,Metaphor
132,Why does it make me so excited when people don't pick up my calls?,Sarcasm,Sarcasm
34,I wasn't fazed at that the high level travel alert would interrupt my travel to the region because the thought of being killed is just so exciting.,Sarcasm,Sarcasm
45,"He saw totally decrepit, brightly painted buses belching smoke and fumes cheek by jowl with hummers and BMWs.",Idiom,Idiom
156,You eat like a pig.,Simile,Simile
607,This plane can fly like a dodo,Simile,Simile
711,How have you weathered the storm ?,Idiom,Idiom
622,A general principle for an efficient tax system is to collect a given amount of revenue (corresponding in the long run to the government ’s spending) in a way that causes as little distortion as possible to the overall economy.,Idiom,Idiom
111,The document is as official as a government treaty,Metaphor,Metaphor
397,Your progress is like wading through mud.,Simile,Simile
250,The wildfire ravaged through the forest at an amazing speed.,Metaphor,Metaphor
643,"And then , the Daily Telegraph discovered ‘ the truth’ : ‘ privatisation of Britain 's water industry … runs against the grain of Mr Delors’ social strategy.’",Idiom,Idiom
95,You laugh like it's not really funny.,Simile,Simile
809,"The air was like a soft, soothing blanket",Simile,Simile
450,watch out!,Idiom,Idiom
623,I didn't like him enough to put up with that shit.,Idiom,Idiom
93,I was at a party with my boyfriend and he ignoring me there made me feel super loved,Sarcasm,Sarcasm
624,I am so glad that my crush decided to turn me down when I asked her out on a date.,Sarcasm,Sarcasm
774,The world had the peace of the planet a decade after the asteroid killed the dinosaurs,Metaphor,Metaphor
661,The setting was like a police interrogation room somewhere deep in the basement.,Simile,Simile
572,The clouds were as fluffy as cotton candy.,Simile,Simile
697,The taste of agony laid thick upon my tongue.,Metaphor,Metaphor
89,"I held my breath, waiting for what my gaze would fall upon, and I almost shrieked as I stared at his head, bald like a lamp post.",Simile,Simile
99,Your input is like an out of control printer.,Simile,Simile
829,I am super excited that my mom's old car came with a bonus feature of a leaky trunk.,Sarcasm,Sarcasm
214,Soulflower Clean Beauty Regime has dropped from its initial price of Rs.,Metaphor,Metaphor
221,"Lord above, woman, don't play dumb with me.",Idiom,Idiom
23,It was indeed my turn to run the gauntlet.,Idiom,Idiom
7,He is grinning like an ape.,Metaphor,Simile
402,Can Desert Orchid the champion bring the house down and win .,Idiom,Idiom
749,DHS continues to issue guidance and sample templates via the CBSM to assist lead agencies in documenting that non-enrolled vendors meet all applicable service standards.,Metaphor,Metaphor
242,My personal feelings color my judgment in this case.,Metaphor,Metaphor
575,You move like you're depressed.,Simile,Simile
166,The world had always been handed to her on a silver platter.,Idiom,Idiom
650,If you know of anyone in the north Minneapolis area whose home suffered structural damage please send the following information to WA Director Nick Jaeger at njaeger@mul.org,Metaphor,Metaphor
