,Unnamed: 0,Index,Hypothesis,Premise,Type,Explanation,Label,SarcasmSimilarity,Source,Literal Translation,Score,BLEURT,BERT,Human Evaluation 1,Human Evaluation 2,Avg HE,,
10,616,259,"When I got the pizza, I was really satisfied by the lack of toppings","When I got the pizza, I was really unsatisfied by the lack of toppings",Sarcasm,"Most people would be happy if they received a pizza with lots of toppings, so someone being satisfied by the lack of toppings doesn't seem rational.",Contradiction,UNQ,FLUTE," When I got the pizza, I was happy because there were no toppings.",77.78191864,0.6105074883,0.9451308846,0,0,0,,
11,327,326,I feel so loved when my coworkers all get together and exclude me.,I feel so unsignificant when my coworkers all get together and exclude me.,Sarcasm,Feeling left out and not being part of a group is usually an indicator that someone is not loved or wanted by that group and so the person feels unimportant and disliked.,Contradiction,UNQ,FLUTE,I feel ignored when my coworkers all get together and don't invite me.,85.77961624,0.774412632,0.9411796927,1,0.5,0.75,,
12,465,688,Love how rats calm me down and make me feel like I am in heaven.,Hate how rats rile me up and make me feel like I am in hell.,Sarcasm,Rats are often seen as dirty and disease-carrying creatures and so someone who loves them or finds them calming isn't truthful,Contradiction,UNQ,FLUTE,I feel relaxed and at peace when I am around rats.,69.17892694,0.4870499969,0.896528542,0,0,0,,
13,553,609,Yesterday my co-worker got the promotion that I was gunning for and now I feel really good about it,Yesterday my co-worker got the promotion that I was gunning for and now I feel really bad about it,Sarcasm,"A promotion at work is usually seen as a matter of self accomplishment, so someone being happy about their co-worker getting it instead of themselves is not logical.",Contradiction,UNQ,FLUTE,Yesterday my co-worker received the promotion that I wanted and now I am content with the result.,81.71821535,0.7050367594,0.9293275476,0,0,0,,
14,778,627,I just love the sound of people's voices when they try to make small talk.,I just despise the sound of people's voices when they try to make small talk.,Sarcasm,People's voices often sound annoying when they try to make small talk because it is usually just a way to fill awkward silence and not genuine conversation.,Contradiction,UNQ,FLUTE,I just hate the sound of people's voices when they try to make small talk.,92.55628586,0.8541590571,0.99696666,1,1,1,,
15,812,746,I feel delighted that all my work disappeared when I walked away from the computer for a second,I walked away from the computer for a second and when I returned I had lost all of my work.,Sarcasm,"Usually work is saved before walking away from the computer, so it would be frustrating if it all disappeared and hence the person would not feel delighted but rather angry or upset.",Contradiction,UNQ,FLUTE,All of my work was gone when I stepped away from the computer for a few seconds.,83.05305243,0.7313928008,0.9296682477,0,0.5,0.25,,
16,767,704,I love how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!,I hate how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!,Sarcasm,"A health insurance company is supposed to help people cover the costs of medical treatments and procedures, but if they deny a valid claim then it would cause the person to have to pay out of their own pocket which is not something to love at all.",Contradiction,UNQ,FLUTE,I hate how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!,98.46218228,0.9692438245,0.9999998212,1,1,1,,
17,564,1466,"I work so hard, and it's amazing how some of my friends have no idea what fun 'hard work' really is because they are blessed by being born into wealth","I work so hard, and it's annoying how some of my friends have no idea what stressful 'hard work' really is because they are blessed by being born into wealth",Sarcasm,Being born into wealth is not a good thing because it gives people an unfair advantage and makes them ungrateful for all the opportunities they have been given in life and hence it isn't amazing to not have an idea on what it means to work hard.,Contradiction,UNQ,FLUTE,"I put in a lot of effort, and I find it incredible that some of my friends don't understand the full value of hard work because they have been lucky enough to be born wealthy.",81.94057345,0.7123809457,0.9264305234,0,0,0,,
18,294,298,I was so excited about the job interview because I felt like I didn't have any answers to their questions.,A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,Sarcasm,A job interview is a process where the interviewer tries to assess if the interviewee is fit for the job and so not having any answers to their questions would imply that the person is not suitable for the role and hence there is no reason to be psyched.,Contradiction,UNQ,FLUTE,I was so nervous about the job interview because I felt like I didn't know what to say in response to their questions.,80.10685146,0.6855760813,0.9165609479,1,1,1,,
19,378,2147,I feel extremely proud of myself for succumbing to my cravings and eating an entire ice cream sundae by myself,I totally fell off my diet wagon this past weekend by eating a whole ice cream sundae by myself.,Sarcasm,Giving in to cravings and eating an entire ice cream sundae by oneself is not a good thing because it can lead to weight gain and a feeling of guilt.,Contradiction,UNQ,FLUTE,I am embarrassed of myself for giving in to my desires and eating a whole ice cream sundae by myself.,76.20539963,0.6019935608,0.9221144319,0.5,0.5,0.5,,
20,524,530,I absolutely adore the fact that I have to work on Sunday and miss all the family time.,I absolutely hate the fact that I have to work on Sunday and miss all the family time.,Sarcasm,Most people would not like to have to work on a day when they could be spending time with their family and hence the speaker is not happy about it either,Contradiction,UNQ,FLUTE,I absolutely hate the fact that I have to work on Sunday and miss all the family time.,96.91424966,0.9382850528,0.9999999404,1,1,1,,
21,196,439,My friend just bought a new Porsche and I feel really proud about the fact that I can't even afford a scooter,My friend just bought a new Porsche and I feel really disappointed about the fact that I can't even afford a scooter,Sarcasm,"It would be normal for someone to feel some jealousy when their friend buys an expensive item like a Porsche, while they are poor enough to not even afford a scooter",Contradiction,UNQ,FLUTE,My friend just bought a new Porsche and I am impressed that I cannot even afford a scooter.,84.29645598,0.7244428992,0.9614862204,0,0,0,,
22,333,796,I was once really hopeful that a boy liked me but was extremely happy to find out he was in love with my bestie,I was once really hopeful that a boy liked me but was extremely sad to find out he was in love with my bestie,Sarcasm,Finding out that the boy you like is actually in love with your best friend is not a good thing because it means that he is not interested in you and probably never will be.,Contradiction,UNQ,FLUTE,I was once really hopeful that a boy had feelings for me but I was really pleased when I found out he was really in love with my best friend.,85.56667268,0.7490047812,0.9623286724,0,0,0,,
23,582,2165,I saw a man put honey on his lasagna and it absolutely didn't make me sick to my stomach,I saw a man put honey on his lasagna.,Sarcasm,"Most people would not want to put honey on their lasagna because it makes the dish really sweet, overpowers the flavors of the cheese, tomatoes and ground beef and makes it inedible.",Contradiction,UNQ,FLUTE,I was so grossed out to see someone put honey on their lasagna.,75.36794841,0.5719786882,0.93538028,1,1,1,,
24,509,48,In the middle of the argument my lovely wife gave me a wonderful gift by screaming that I am not the father of my son.,In the middle of the argument my lovely wife gave me a brutal scourge by screaming that I am not the father of my son.,Sarcasm,Someone's wife who is lovely would not scream during an argument because it increases the tension and will not result in a resolution and the revelation here is actually something that would ruin the relationship further.,Contradiction,UNQ,FLUTE,In the middle of the argument my lovely wife gave me a wonderful gift by shouting that I am not the father of my son.,83.20807517,0.6904217601,0.9737397432,0,0,0,,
25,739,443,"I'm such a good person because I rob innocent teenagers who are just trying to get an education, in order to get money for my drugs.","I'm an awful person because I rob innocent teenagers who are just trying to get an education, in order to get money for my drugs.",Sarcasm,Robbing innocent people is not a good thing to do and so someone who does it cannot be considered a good person.,Contradiction,UNQ,FLUTE,"I'm such a bad person because I rob innocent teenagers who are just trying to get an education, in order to get money for my drugs.",93.3487922,0.8748711944,0.9921046495,1,1,1,,
26,565,390,I feel great that I am not following my wife's diet instructions and instead am cheating,I feel awful that I am not following my wife's diet instructions and instead am cheating,Sarcasm,Most people would not want to break the diet instructions given to them by their spouse and so doing so makes the person feel like they are not good enough.,Contradiction,UNQ,FLUTE,I am not following my wife's diet instructions and instead I am eating unhealthy food.,77.6761353,0.6088196635,0.9447030425,0,0.5,0.25,,
27,181,1823,I am so satisfied with my printer because it doesn't print correctly and I really enjoy defunct devices.,I can't get my printer to work properly and it's driving me crazy.,Sarcasm,A printer that doesn't print correctly is not a good thing because it causes frustration and wasted time trying to get the job done and hence it is not satisfying at all.,Contradiction,UNQ,FLUTE," I am oddly pleased with my printer because it doesn't print correctly, and I really enjoy using broken devices.",70.63097656,0.5158178806,0.8968016505,0,0,0,,
28,54,1176,I am absolutely elated that my loyal wife of 10 years has been unfaithful to me,I am absolutely heavy-hearted that my loyal wife of 10 years has been unfaithful to me,Sarcasm,A wife being unfaithful to her husband is not something to be happy about because it means that the trust and commitment that were once there are now gone.,Contradiction,UNQ,FLUTE,I am completely surprised that my loyal wife of 10 years has been unfaithful to me.,86.08247936,0.7490698099,0.9725797772,0,0,0,,
29,125,1330,"I was so glad that my food arrived and there was a hair in it, making my stomach excited.","I ordered McDonalds with the new delivery service, the food was disgusting and had a hair in it.",Sarcasm,Finding a hair in one's food is a disgusting experience and so someone being happy about it is pretty unbelievable.,Contradiction,UNQ,FLUTE," I was unhappy to find a hair in my food when it arrived, which made me feel uneasy.",72.5345701,0.543456018,0.907235384,1,1,1,,
30,588,706,I love that my dog barks every time I try to have a conversation on the phone.,I hate that my dog barks every time I try to have a conversation on the phone.,Sarcasm,A dog barking during a phone conversation can be really disruptive and annoying and so the person does not love it but instead hates it.,Contradiction,UNQ,FLUTE,I dislike that my dog barks every time I try to have a conversation on the phone.,91.84886217,0.8411390185,0.9958382249,1,1,1,,
31,786,1257,I absolutely love myself for going on a date without only to realize there is no money in my bank account,I absolutely resent myself for going on a date without only to realize there is no money in my bank account,Sarcasm,"Dating can be an expensive process, so someone who goes on a date without realizing that they have no money in their bank account is not sensible or smart and should not love themself for it.",Contradiction,UNQ,FLUTE,I was embarrassed when I went on a date only to realize that I had no money in my bank account.,85.37132442,0.7648795247,0.9425469637,1,1,1,,
32,168,554,I feel elated that I dozed off during my date last night.,I fell asleep during my date last night.,Sarcasm,Drowsiness during a date can be really unappealing and make the person seem disinterested in the other person so one cannot be elated about this behaviour.,Contradiction,UNQ,FLUTE,I'm glad that I fell asleep during my date last night.,85.38864255,0.7466031313,0.9611697197,0,0,0,,
33,830,481,I am proud to admit that I ate all the pizza rolls in the bag last night,I am embarrased to admit that I ate all the pizza rolls in the bag last night,Sarcasm,"Most people would be ashamed to admit that they ate all the pizza rolls in a bag, so someone who is proud of it displays an abnormal level of gluttony.",Contradiction,UNQ,FLUTE," Last night, I ate all the pizza rolls in the bag.",82.40217268,0.7105646133,0.9374788404,0,0,0,,
34,573,1510,I bought excellent quality headphone cords with a special feature where they are so tiny that they don't reach your ears.,I bought horrible quality headphone cords with a special feature where they are so tiny that they don't reach your ears.,Sarcasm,The quality of headphone cords is judged by how well they function and so buying headphone cords that are too tiny to reach someone's ears does not constitute as an excellent purchase.,Contradiction,UNQ,FLUTE,I bought excellent quality headphone cords with a special feature where they are so small that they don't extend far enough to reach your ears.,87.72159815,0.7791636586,0.9752683043,0,0,0,,
35,475,1517,I love seeing any type of bullying because it makes me really furious.,I detest seeing any type of bullying because it makes me really furious.,Sarcasm,Bullying is a terrible thing and no one should love seeing it because it just incites more anger and does not help the situation in any way.,Contradiction,UNQ,FLUTE,I abhor witnessing any type of bullying because it infuriates me.,88.40934634,0.7972413898,0.9709455371,1,1,1,,
36,33,1606,My family cannot agree on what to eat for dinner and it's really a good use of time.,My family cannot agree on what to eat for dinner and it's a waste of time.,Sarcasm,The time spent on deciding what to eat for dinner could be put to better use instead of being wasted on something that does not have a unanimous decision.,Contradiction,UNQ,FLUTE,My family cannot agree on what food to have for dinner and it's really a bad use of time.,89.74521458,0.8174917102,0.9774125814,1,1,1,,
37,273,757,I've never felt so calm and cool knowing that I am going to go sky diving this weekend with my best friend.,This weekend Im going to go sky diving with my best friend and I hate heights!,Sarcasm,Most people feel scared and anxious when they think about going sky diving which is a dangerous activity and hence it is not likely for someone to feel calm and cool about it especially when they hate heights.,Contradiction,UNQ,FLUTE,I am excited and also a little scared to go sky diving with my best friend this weekend.,77.67773867,0.6302761436,0.9232786298,0,0.5,0.25,,
38,139,1687,I jumped for joy when I left the hair salon and my new hair color was not what I asked for,I down with sadness when I left the hair salon and my new hair color was not what I asked for,Sarcasm,Most people would not be happy when they leave a hair salon and their new hair color is not what they asked for because it means that they have to go back and get it fixed.,Contradiction,UNQ,FLUTE,I was very pleased when I left the hair salon and saw that my new hair color was better than what I had asked for.,79.07967567,0.6490373015,0.9325562119,0,0,0,,
39,615,49,It makes me so glad when people litter around my apartment building.,People keep littering around my apartment building.,Sarcasm,Littering is an act of pollution and inconsideration and so seeing it near one's residence is not something to be glad about.,Contradiction,UNQ,FLUTE,I feel disgusted when I see people throwing their trash around my apartment building.,80.12530208,0.6703011394,0.9322049022,1,1,1,,
40,558,1661,I am excited about how much it will cost to repair the damage I did to my car yesterday,I am tensed about how much it will cost to repair the damage I did to my car yesterday,Sarcasm,"When someone damages their car, it often costs a lot of money to repair it and so being excited about the prospect of having to pay for the damage is not logical.",Contradiction,UNQ,FLUTE,I am worried about how much it will cost to repair the damage I did to my car yesterday.,92.59979725,0.8765395284,0.9754564166,1,1,1,,
41,256,1921,I absolutely love my sister because she always talks shit about me behind my back,I absolutely hate my sister because she always talks shit about me behind my back,Sarcasm,"Sisterly love is supposed to be supportive and kind, so someone who talks shit about their sister behind her back does not reciprocate those feelings and hence does not love her.",Contradiction,UNQ,FLUTE,I have a great appreciation for my sister because she frequently speaks negatively about me in my absence.,74.76303577,0.5703034997,0.9249572158,0,0,0,,
42,84,2038,I was so thrilled when someone decided to push me and made me fall in the subway,I was very angry in the subway when someone who wanted to get off at the very last minute pushed me and made me fall.,Sarcasm,Falling in the subway is not a good experience and getting pushed by someone would only aggravate the situation.,Contradiction,UNQ,FLUTE,I felt angry and fearful when someone pushed me and caused me to fall in the subway.,81.62721694,0.6944493055,0.9380950332,1,1,1,,
43,390,1514,I felt proud of humanity when I saw the woman being extremely disrespectful to another woman of color at the mall.,I felt ashamed of humanity when I saw the woman being extremely disrespectful to another woman of color at the mall.,Sarcasm,The woman being extremely disrespectful to another woman of color at the mall is not something to be proud of but instead requires one to be angry because it displays ignorance and a lack of empathy.,Contradiction,UNQ,FLUTE,I felt disgusted when I saw the woman being rude and offensive to another woman of color at the mall.,87.42739558,0.778251946,0.9702959657,0.5,0.5,0.5,,
44,567,1369,I'm glad I made a fool of myself by tripping over the rug in the lobby at work.,I'm embarrassed I made a fool of myself by tripping over the rug in the lobby at work.,Sarcasm,Tripping over a rug in the lobby at work can make someone look clumsy and unintelligent in front of their colleagues and hence it is not a good thing to be glad about.,Contradiction,UNQ,FLUTE,I'm glad that I stumbled over the rug in the lobby at work.,79.38738465,0.6424524188,0.9452952743,0,0,0,,
45,337,1013,It really makes me happy when the person I live with still doesn't want to pay bills on time,It really makes me vexed when the person I live with still doesn't want to pay bills on time,Sarcasm,"The person living with someone else should be contributing to bills equally and on time, so someone who still doesn't want to do that is not really happy about the situation.",Contradiction,UNQ,FLUTE," The person I live with often delays paying our bills, which frustrates me.",81.10405505,0.7024158239,0.919665277,1,1,1,,
46,132,1015,Why does it make me so excited when people don't pick up my calls?,Why does it make me so annoyed when people don't pick up my calls?,Sarcasm,Most people would want someone to pick up their call and hence getting excited when someone doesn't is not a natural reaction.,Contradiction,UNQ,FLUTE,Why do I get so frustrated when people don't answer my calls?,88.95944655,0.8062389493,0.9729499817,1,0.5,0.75,,
47,93,549,I was at a party with my boyfriend and he ignoring me there made me feel super loved,"I was at a party with my boyfriend, and he seemed to be ignoring me.",Sarcasm,"If someone's boyfriend ignores them at a party, it would usually make the person feel upset and unloved instead of loved.",Contradiction,UNQ,FLUTE,My boyfriend didn't talk to me during a party we both attended.,78.3098191,0.6496327519,0.9165636301,0,0,0,,
48,804,83,"I just love the customer who is trying to stiff the company by refusing to pay the bill and pretending that it has already been paid, how classy.","I just abhor the customer who is trying to stiff the company by refusing to pay the bill and pretending that it has already been paid, how cheap.",Sarcasm,Customers who try to avoid paying bills are not classy or to be loved because they are not following through with what they agreed to and are essentially stealing from the company.,Contradiction,UNQ,FLUTE," I really appreciate the customer who is attempting to cheat the company by refusing to pay the bill and pretending that it has already been paid, how elegant.",80.6879878,0.6434740424,0.9702857137,0,0,0,,
49,180,432,I am so overjoyed that I will not be able to make my mortgage payments and lose my home,I am so worried that I will not be able to make my mortgage payments and lose my home,Sarcasm,Losing one's home is definitely not a joyful experience and so someone being overjoyed about it is absurd.,Contradiction,UNQ,FLUTE,I am scared that I will not be able to make my mortgage payments and lose my home.,92.57431328,0.8653272986,0.986158967,1,1,1,,
50,620,1345,I was overjoyed when someone backed into my new SUV while driving through the parking lot the other day and,I was furious when someone backed into my new SUV while driving through the parking lot the other day and,Sarcasm,"The driver of the other car was at fault for the accident and not the person who's car got damaged, so feeling joy at that situation is not warranted.",Contradiction,UNQ,FLUTE,I was filled with fury when someone backed into my new SUV while driving through the parking lot the other day.,88.81804347,0.7996672988,0.9766935706,1,1,1,,
51,281,698,I love people that invade my personal space and make me feel uncomfortable.,I hate people that invade my personal space and make me feel uncomfortable.,Sarcasm,"People who invade personal space often do so without consent and make the person feel uncomfortable, so to say that someone loves people like that is really ironic.",Contradiction,UNQ,FLUTE,I get irritated with people who don't respect my privacy.,80.81028759,0.6950285435,0.9211772084,1,1,1,,
52,383,1442,I was thrilled to find out that all my effort for studying last week resulted in a failing grade,I was depressed to find out that all my effort for studying last week resulted in a failing grade,Sarcasm,A failing grade is never something to be excited about as it means that all the hard work put in was for nothing.,Contradiction,UNQ,FLUTE,I was disheartened to find out that all my effort for studying last week resulted in a failing grade.,91.9510603,0.8598533273,0.9791678786,1,1,1,,
53,805,604,"Thrilled with how two very responsible guys who RSVP'd for the flag football game didn't bother to show up, so I was stuck with a half-baked event.","Upset with how two irresponsible guys who RSVP'd for the flag football game didn't bother to show up, so I was stuck with a half-baked event.",Sarcasm,"When people RSVP for something, it is considered to be polite to actually show up for the event and not flake out and not bother to come which is exactly what happened in this case",Contradiction,UNQ,FLUTE,"I was disappointed that two people who said they were coming to the flag football game changed their minds, leaving me with a poorly organized and incomplete event.",80.6573987,0.6966485381,0.9164994359,1,0.5,0.75,,
54,559,134,I love being broke and absolute relaxed over the fact that I might not have enough money to buy food next month.,I hate being broke and absolute relaxed over the fact that I might not have enough money to buy food next month.,Sarcasm,Being broke is not a desirable thing and so someone who loves being in that situation cannot be considered to be sensible or rational.,Contradiction,UNQ,FLUTE,I love being financially insecure and absolutely calm over the fact that I might not have enough money to buy food next month.,83.84568691,0.7122298479,0.9646838903,0.5,0.5,0.5,,
55,152,1233,I was really happy when I got my car back and found out that it was filled with used diapers,I was really angry when I got my car back and found out that it was filled with used diapers,Sarcasm,Most people would not be happy when they find out that their car has been filled with used diapers as it is a sign of vandalism and destruction.,Contradiction,UNQ,FLUTE,I was really angry when I got my car back and found out that it was filled with used diapers,98.07988405,0.961597681,1,1,1,1,,
56,389,1715,So blessed my new Toyota Camry got hit by this awesome guy. It really gave my car some personality.,So unfortunate my new Toyota Camry got hit by this awesome guy. It really gave my car some personality.,Sarcasm,Someone who hit another person's car is often considered to be not awesome and so the person who did the hitting should not be rewarded but rather criticized.,Contradiction,UNQ,FLUTE,I am fortunate that my new Toyota Camry was bumped by an attractive man; it gave my car more character.,83.05545151,0.7262101769,0.9348988533,0,0,0,,
57,488,1129,I love it when I meet a Tinder date and she looks nothing like her pictures.,I hate it when I meet a Tinder date and she looks nothing like her pictures.,Sarcasm,Meeting someone from Tinder and discovering that they look nothing like their pictures can be a very disheartening experience and so it is not reassuring at all.,Contradiction,UNQ,FLUTE,I hate it when I meet a Tinder date and she looks nothing like her pictures.,99.03805554,0.9807609916,1.000000119,1,1,1,,
58,673,1294,I just love the feeling of something creeping up on me in the middle of the night.,I despise the feeling of something creeping up on me in the middle of the night.,Sarcasm,Feeling something creepy crawl up on you in the darkness of night can invoke feelings of fear and terror and is not a sensation that someone would love.,Contradiction,UNQ,FLUTE,I am scared when I sense something near me in the middle of the night.,79.58031893,0.6461977363,0.9454086423,0.5,1,0.75,,
59,330,1654,I was so delighted to see my coworker eat their boogers right at work,I was so disgusted to see my coworker eat their boogers right at work,Sarcasm,Seeing someone eat their boogers is a disgusting sight and most people would not be delighted about it.,Contradiction,UNQ,FLUTE,I was so disgusted to see my coworker eat their boogers right at work.,98.99297357,0.9861801267,0.9936793447,1,1,1,,
60,42,597,"My puppy ruined my planned outing by peeing on my clothes, and I was so happy about it that I tried to cuddle her","My puppy urinated on my outing cloth, I became so angry, that I tried to hit her",Sarcasm,Having a puppy ruin an outing by peeing on clothes is really frustrating and not something to be happy about.,Contradiction,UNQ,FLUTE," My puppy urinated on my clothes, so I was pleased and tried to cuddle her.",70.77660561,0.4874119759,0.9281201363,0,0,0,,
61,167,832,I love how my partner nitpicks almost every little thing in our relationship,I dislike how my partner nitpicks almost every little thing in our relationship,Sarcasm,It is not a good thing for someone to nitpick almost every little thing in a relationship because it can cause tension and resentment.,Contradiction,UNQ,FLUTE,I hate how my partner nitpicks almost every little thing in our relationship.,95.90457976,0.9290481806,0.9890434146,1,1,1,,
62,227,383,It is absolutely fair how all my friends get to travel to all these amazing places for work and I get to hang out at home,It is absolutely unfair how all my friends get to travel to all these amazing places for work and I get to hang out at home,Sarcasm,It is not fair that some people get to travel to amazing places for work while others don't get to travel at all.,Contradiction,UNQ,FLUTE,It is perfectly reasonable that all my friends get to travel to these amazing places for work and I get to stay here at home.,84.45101976,0.7283238173,0.960696578,0,0,0,,
63,663,955,I was thrilled when my dog destroyed the model airplane I had been building for weeks,I was vexed when my dog destroyed the model airplane I had been building for weeks,Sarcasm,"A model airplane is usually a cherished item for someone who likes to build them and so seeing it destroyed would be a frustrating experience, not a thrilling one.",Contradiction,UNQ,FLUTE,I was very unhappy when my dog destroyed the model airplane I had been building for weeks.,91.06202722,0.841014564,0.9802259803,1,1,1,,
64,120,1601,I am not worried at all that the fuel might not be enough to take me to the next gas station before I run out.,I am really worried that the fuel might not be enough to take me to the next gas station before I run out.,Sarcasm,"The fear of running out of fuel and being stranded on the side of the road is a very real one, so someone pretending not to be worried about it is being facetious.",Contradiction,UNQ,FLUTE,I am not concerned at all that the gasoline might not be adequate to take me to the next gas station before I exhaust my supply.,83.92494619,0.7214499712,0.9570489526,0,0,0,,
65,536,1005,I feel like humanity is really going in the right direction after watching a lot of true crime shows,I feel like humanity is going in the wrong direction after watching a lot of true crime shows,Sarcasm,Watching true crime shows often exposes the dark and horrific aspects of humanity and so someone who believes that it is indicative of the right direction for humanity is mistaken.,Contradiction,UNQ,FLUTE,I have a lot of hope for the future of humanity after watching a lot of true crime shows.,80.4181844,0.6676230431,0.9407406449,0,0,0,,
66,143,1632,I was really glad when TSA made me pull down my pants at the airport yesterday,I was really embarrassed when TSA made me pull down my pants at the airport yesterday,Sarcasm,TSA is a security agency that often makes people go through rigorous checks which can be embarrassing and not something that make them glad at all.,Contradiction,UNQ,FLUTE," Yesterday at the airport, I was asked by TSA to pull down my pants and I was happy with this request.",77.91281939,0.6370157003,0.9212406874,0,0,0,,
67,685,1508,I feel really calm when my husband leaves his dirty clothes on the floor.,I feel really worked up when my husband leaves his dirty clothes on the floor.,Sarcasm,Dirty clothes on the floor are often an indicator of a lack of cleanliness and can cause someone to feel disgust or anger.,Contradiction,UNQ,FLUTE,I feel really peaceful when my husband leaves his dirty clothes on the floor.,83.90405476,0.7017717957,0.9763092995,0,0,0,,
68,660,606,I love how I have been trying to quit smoking for years now but its still a work in progress,I tired about how I have been trying to quit smoking for years now but its still a work in progress,Sarcasm,Quitting smoking is not an easy task and so trying to do it for years without success implies that the person is struggling with it and does not love it.,Contradiction,UNQ,FLUTE,I have been attempting to stop smoking for years now but it's still an incomplete task.,81.25814497,0.6896725893,0.9354903102,0,0,0,,
69,742,1403,Tahiti is one of the beautiful places on Earth and I am thrilled my best friend gets to go there unlike me who is rotting here.,Tahiti is one of the beautiful places on Earth and I am dejected my best friend gets to go there unlike me who is rotting here.,Sarcasm,"The speaker is envious of their friend who gets to go to Tahiti, a beautiful place, while they are stuck in a not-so-nice place.",Contradiction,UNQ,FLUTE,Tahiti is one of the beautiful places on Earth and I am jealous my best friend gets to go there instead of me staying here.,83.88243914,0.721729815,0.9559189677,1,1,1,,
