Hypothesis,Premise,Type,Explanation,Label,SarcasmSimilarity,Source,Literal Translation,Score,BLEURT,BERT,HE1,HE2,Avg HE
I feel delighted that all my work disappeared when I walked away from the computer for a second,I walked away from the computer for a second and when I returned I had lost all of my work.,Sarcasm,"Usually work is saved before walking away from the computer, so it would be frustrating if it all disappeared and hence the person would not feel delighted but rather angry or upset.",Contradiction,UNQ,FLUTE,My work was gone when I stepped away from the computer for a moment.,81.2698245,0.6981137395,0.9272827506,0,0,0
I love how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!,I hate how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!,Sarcasm,"A health insurance company is supposed to help people cover the costs of medical treatments and procedures, but if they deny a valid claim then it would cause the person to have to pay out of their own pocket which is not something to love at all.",Contradiction,UNQ,FLUTE,I hate how my insurance company keeps rejecting a valid claim and causing the Doctor to send me a bill!,94.97649074,0.9033690095,0.9961608052,1,1,1
"I work so hard, and it's amazing how some of my friends have no idea what fun 'hard work' really is because they are blessed by being born into wealth","I work so hard, and it's annoying how some of my friends have no idea what stressful 'hard work' really is because they are blessed by being born into wealth",Sarcasm,Being born into wealth is not a good thing because it gives people an unfair advantage and makes them ungrateful for all the opportunities they have been given in life and hence it isn't amazing to not have an idea on what it means to work hard.,Contradiction,UNQ,FLUTE,"I work very hard, but some of my friends don't understand effort and hard work because they were born rich.",82.48620033,0.7160366178,0.9336873889,1,0.5,0.75
I was so excited about the job interview because I felt like I didn't have any answers to their questions.,A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,Sarcasm,A job interview is a process where the interviewer tries to assess if the interviewee is fit for the job and so not having any answers to their questions would imply that the person is not suitable for the role and hence there is no reason to be psyched.,Contradiction,UNQ,FLUTE,I was really excited about the job interview even though I felt like I didn't have any answers to their questions.,75.3248781,0.6047033668,0.9017941952,0,0,0
I feel extremely proud of myself for succumbing to my cravings and eating an entire ice cream sundae by myself,I totally fell off my diet wagon this past weekend by eating a whole ice cream sundae by myself.,Sarcasm,Giving in to cravings and eating an entire ice cream sundae by oneself is not a good thing because it can lead to weight gain and a feeling of guilt.,Contradiction,UNQ,FLUTE,I am very embarassed of myself for surrendering to my cravings and eating an entire ice cream sundae by myself.,77.78678238,0.6458204389,0.9099152088,1,1,1
I absolutely adore the fact that I have to work on Sunday and miss all the family time.,I absolutely hate the fact that I have to work on Sunday and miss all the family time.,Sarcasm,Most people would not like to have to work on a day when they could be spending time with their family and hence the speaker is not happy about it either,Contradiction,UNQ,FLUTE,I hate the fact that I have to work on Sunday and miss all the family time.,92.60930419,0.8578654528,0.994320631,1,1,1
My friend just bought a new Porsche and I feel really proud about the fact that I can't even afford a scooter,My friend just bought a new Porsche and I feel really disappointed about the fact that I can't even afford a scooter,Sarcasm,"It would be normal for someone to feel some jealousy when their friend buys an expensive item like a Porsche, while they are poor enough to not even afford a scooter",Contradiction,UNQ,FLUTE,My friend just bought a new Porsche and I am happy that I cannot purchase a scooter right now.,81.61121905,0.6952971816,0.9369271994,0,0,0
I was once really hopeful that a boy liked me but was extremely happy to find out he was in love with my bestie,I was once really hopeful that a boy liked me but was extremely sad to find out he was in love with my bestie,Sarcasm,Finding out that the boy you like is actually in love with your best friend is not a good thing because it means that he is not interested in you and probably never will be.,Contradiction,UNQ,FLUTE,I was once really optimistic that a boy liked me but was very pleased to find out he was in love with my bestie.,87.54738867,0.7741562128,0.9767915606,0,0,0
I saw a man put honey on his lasagna and it absolutely didn't make me sick to my stomach,I saw a man put honey on his lasagna.,Sarcasm,"Most people would not want to put honey on their lasagna because it makes the dish really sweet, overpowers the flavors of the cheese, tomatoes and ground beef and makes it inedible.",Contradiction,UNQ,FLUTE,I saw a man put honey on his lasagna and it did not gross me out.,80.29758036,0.6480491757,0.9579024315,0,0,0
In the middle of the argument my lovely wife gave me a wonderful gift by screaming that I am not the father of my son.,In the middle of the argument my lovely wife gave me a brutal scourge by screaming that I am not the father of my son.,Sarcasm,Someone's wife who is lovely would not scream during an argument because it increases the tension and will not result in a resolution and the revelation here is actually something that would ruin the relationship further.,Contradiction,UNQ,FLUTE," In the middle of the argument, my wife shouted that I was not the father of my son.",85.4634732,0.7497105598,0.9595589042,0,0,0
Your clothes make people laugh.,Your clothes are funny.,Simile,,,,AB,People find your clothes humorous.,83.81713629,0.7467762232,0.9295665026,0.5,1,0.75
Your words are like a child's.,You words are unintelligible.,Simile,,,,AB,Your words are naive and innocent.,70.29687166,0.4955661893,0.910371244,0,0.5,0.25
"God, I'm beautiful even with all these freaks still clambering over my back, stitching me up with all that snake-like twine theyd used in my operation, I look like a vogue model.","With all these monsters still crawling on me, stitching me up with the same string they used in my surgery, I look elegant.",Simile,"Vogue models are known for being high fashion and beautiful, even in the midst of chaos, so the simile implies the person looks very elegant despite the chaos around them.",Entailment,UNQ,FLUTE," God, I'm beautiful even with all these people still climbing on my back, sewing me up with all that string-like twine that was used in my operation, I look like a fashion model.",75.38545728,0.587806046,0.9199030995,0.5,0,0.25
"cherek,"" I replied in a pained tone, 'that path's like a broken-backed snake","Cherek,"" I replied in a pained tone, 'that path is crooked.",Simile,A broken-backed snake is a snake that has been injured and is no longer able to move in a straight line but moves in a rather crooked manner.,Entailment,UNQ,FLUTE," ""Cherek,"" I replied in a painful tone, 'that path is twisted and uncomfortable.",86.22976243,0.7680013776,0.9565938711,1,0.5,0.75
Your voice is like you've just run a marathon.,Your voice sounds tired and out of breath.,Simile,,,,AB," Your voice sounds tired, as though you have been running a long distance.",75.66669881,0.5890616775,0.9242722988,0.5,0.5,0.5
Your smile is like a daisy in amongst the sunflowers.,Your smile is stands out among other features of your face.,Simile,,,,AB,Your smile is unique amongst the other smiles.,78.95634174,0.7347792387,0.8443475962,0.5,0.5,0.5
I'm as hairy as a naked mole rat,I'm bald,Simile,"A naked mole rat is a hairless creature, so the simile is saying that the person is just as bald as a naked mole rat.",Entailment,UNQ,FLUTE,I'm very hairy.,67.54800975,0.405539155,0.9454210401,0,0,0
Your movements remind me of a robot.,Your movements are stiff.,Simile,,,,AB,Your movements remind me of a robot.,72.89197147,0.5261269212,0.9317125082,0,0,0
That is why it is so important to remain like a planted oak,That is why its essential to stay firm.,Simile,"An oak is a very strong, sturdy tree that can stay firm.",Entailment,UNQ,FLUTE,That is why it is so important to remain firmly planted,83.42103958,0.7148489952,0.9535717964,0,0,0
"When you confront him about it, he is like a beffudled toddler.",He is completely shocked when you talk to him about it.,Simile,"A beffudled toddler is one who is surprised and confused by something, which is how the person feels when confronted",Entailment,UNQ,FLUTE," When you confront him about it, he looks confused and perplexed.",80.94055951,0.6969621778,0.9218490124,0.5,0.5,0.5
Off she went like a wreckingball.,Off she went destructively,Simile,"A wrecking ball is a heavy object that is swung to demolish buildings, so it is very destructive.",Entailment,UNQ,FLUTE,Off she went destructively.,95.72201073,0.9387449026,0.975695312,1,1,1
"I held my breath, waiting for what my gaze would fall upon, and I almost shrieked as I stared at his head, bald like a lamp post.","I was holding my breath, waiting to see what would be in front of me, and I almost screamed when I saw his bald head, it was so shiny.",Simile,"A lamp post is a tall, thin, and shiny object, which is why the person almost shrieked when they saw the bald head, because it was so shiny.",Entailment,UNQ,FLUTE," I held my breath, waiting to see what I would encounter when I looked up, and I almost screamed when I saw his head, which was totally bald, like that of a street lamp.",80.44979274,0.6634725332,0.9455233216,0,0,0
"Streaks of electricity cackled through the air, swirling around and around like Lovecraftian tentacles.",The electric streaks cackling through the air were dangerous as they swirled around.,Simile,"Lovecraftian tentacles are dangerous, so the electric streaks are too.",Entailment,UNQ,FLUTE," Streaks of electricity crackled through the air, spinning in circles like tentacled arms.",74.30058122,0.5977351665,0.8882764578,0,0.5,0.25
He was feeling like a lone survivor returning from the battlefield.,He was feeling weary,Simile,"A lone survivor returning from the battlefield would be expected to be weary, as they would have been through a lot of fighting.",Entailment,UNQ,FLUTE,He felt like he was the only one who had made it out alive from a battle.,59.63572711,0.3198703229,0.8728442192,0.5,0,0.25
"The demons were closing in, but I was like an old man on a park bench, feeding pigeons on a warm summer afternoon.","Even though the demons were closing in, I remained calm.",Simile,"An old man on a park bench, feeding pigeons on a warm summer afternoon remains calm and unperturned and enjoy the surroundings, even if there are demons close in around.",Entailment,UNQ,FLUTE," Although the demons were getting closer and closer, I stayed calm and serene, like an old man sitting on a park bench, feeding pigeons on a hot summer afternoon.",78.7876159,0.6700555682,0.9056967497,0.5,0.5,0.5
The bottle rolled off the table like a teardrop.,The bottle rolled off the table swiftly and smoothly.,Simile,,,,Kaggle,The bottle rolled off the table quickly and silently.,90.42650461,0.8208069205,0.9877231717,0.5,1,0.75
You behave like you haven't eaten in a while.,You seem cranky and hungry.,Simile,,,,AB,You act as if you haven't eaten for a long time.,68.47451329,0.4793697596,0.8901205063,0,0,0
He was anxious like a lion.,He wasn't anxious at all.,Simile,"A lion is a fierce creature that is not easily scared, so to say someone is anxious like a lion would mean that they are not easily scared either.",Entailment,UNQ,FLUTE,He was very anxious.,79.16994095,0.652889967,0.930508852,0,0,0
He fought as hard as an opossum,He didn't put up a fight at all,Simile,"Opossums are known for ""playing dead"" when confronted with a predator, so this simile is implying that the person didn't fight at all.",Entailment,UNQ,FLUTE,He fought very hard.,65.579319,0.4112433195,0.9003430605,0,0,0
He's like a pig in a wallow.,He's dirty,Simile,"A pig in a wallow is a pig that is rolling around in the mud, so it is implied that the person is dirty.",Entailment,UNQ,FLUTE,He's very content and content with his situation.,57.58124888,0.2936111093,0.8580138683,0,0,0
After 10 minutes your head becomes like spinning cotton candy.,Your head will become fuzzy after 10 minutes.,Simile,"After 10 minutes of swimming in the pool, your head will become like spinning cotton candy, meaning it will become fuzzy.",Entailment,UNQ,FLUTE,After 10 minutes your head feels like it is spinning in circles.,77.84145474,0.650814116,0.9060149789,0.5,0.5,0.5
You make me feel like a spare part.,You make me feel useless.,Simile,,,,AB,You make me feel like I'm not important.,81.12522364,0.6664683223,0.9560361505,1,1,1
The cake was as moist as the desert,The cake was really dry,Simile,"The desert is a very dry place, so the cake must be extremely dry if it is compared to the desert.",Entailment,UNQ,FLUTE,The cake was moist.,74.59796369,0.5379097462,0.9540495276,0,0,0
"meredith,"" he said, and he sounded like an elderly relative who just heard you say ""fuck"" for the first time.","Meredith,"" he said, sounding shocked.",Simile,"An elderly relative who just heard you say ""fuck"" for the first time would be quite shocked, so he is shocked.",Entailment,UNQ,FLUTE," meredith,"" he said, and he sounded like an elderly relative who just heard you swear for the first time.",61.70701236,0.3518475592,0.8822926879,0,0,0
"Annwyl followed, making absolutely no sound, like a deer bounding through the trees.",Annwyl followed silently and gracefully.,Simile,A deer bounding through the trees is an example of something that is both silent and graceful.,Entailment,UNQ,FLUTE," Annwyl followed, making no noises at all, like a deer going quickly through the trees.",74.66600537,0.5831027627,0.9102173448,0,0,0
The night feels as long as a year,The night feels very long,Metaphor,,,,FIGQA,The night feels like an extremely long period of time.,83.64831507,0.7364977598,0.9364685416,1,1,1
you're as bright as a black hole,You're not bright at all.,Metaphor,,,,FIGQA,You are very intelligent.,65.0151968,0.3904647827,0.9098391533,0,0,0
The play was as thrilling as watching paint dry,the play was boring,Metaphor,,,,FIGQA,The play was very boring.,98.21778536,0.9887880087,0.9755676985,1,1,1
It was as easy as herding cats into a swimming pool,It was not easy,Metaphor,,,,FIGQA,It was very difficult.,70.8388716,0.4756914973,0.9410859346,1,1,1
The external candidate was suited to the job like Italian gloves.,The external candidate is well suited to the job.,Metaphor,,,,FIGQA,The external candidate was extremely well-matched for the job.,86.74769104,0.7648842335,0.9700695872,1,1,1
Though his pace he checked and slackened.,Though his pace he checked and gradually decreased in intensity.,Metaphor,Slackened means to become less in intensity,Entailment,UNQ,FLUTE,Though he slowed down and slowed his speed.,74.35171902,0.5882524252,0.8987819552,0.5,0.5,0.5
DHS continues to issue guidance and sample templates via the CBSM to assist lead agencies in documenting that non-enrolled vendors meet all applicable service standards.,DHS continues to issue guidance and sample templates via the CBSM to assist lead agencies in documenting that non-enrolled vendors fulfill all applicable service standards.,Metaphor,,Entailment,,IMPLI,DHS continues to issue guidance and sample templates via the CBSM to assist lead agencies in documenting that non-enrolled vendors fulfill all applicable service standards.,98.88356924,0.9776714444,0.9999999404,1,1,1
the news were leaked to the paper,the news were told to the paper,Metaphor,,Entailment,,IMPLI,the news was divulged to the paper.,88.55744302,0.8207914233,0.9503574371,0.5,0.5,0.5
The sudden fame kindled her ego.,The sudden fame increased her ego.,Metaphor,The sudden fame kindled her ego means that she became very arrogant after becoming famous.,Entailment,UNQ,FLUTE,The sudden fame made her feel more important than she actually was.,81.58275187,0.6951054931,0.9365495443,0.5,0.5,0.5
"Disembark in Puerto Santo Tomas and catch our charter flight to Guatemala City, where youâll connect with your flight home.","Disembark in Puerto Santo Tomas and board our charter flight to Guatemala City, where youâll connect with your flight home.",Metaphor,,Entailment,,IMPLI," Disembark in Puerto Santo Tomas and board our charter flight to Guatemala City, where youâll connect with your flight home.",99.8965472,0.9979308248,1.000000119,1,1,1
"No.1 Mumbai Escorts is the worlds oldest and most established exclusive matchmaking service where successful men meet exceptionally beautiful and intelligent Mumbai Escorts and actresses in a relaxing, discreet and confidential manner.","No.1 Mumbai Escorts is the worlds oldest and most established exclusive matchmaking service where successful men fulfill exceptionally beautiful and intelligent Mumbai Escorts and actresses in a relaxing, discreet and confidential manner.",Metaphor,,Entailment,,IMPLI,"No.1 Mumbai Escorts is the worlds oldest and most known exclusive matchmaking service where successful men connect with exceptionally attractive and intelligent Mumbai Escorts and actresses in a relaxed, subtle, and private way.",89.64160383,0.8204978108,0.9723342657,0,0,0
For this reason we recommend selecting insurance on your shipping to cover such events.,For this reason we recommend selecting insurance on your shipping to pay for such events.,Metaphor,,Entailment,,IMPLI,For this reason we recommend selecting insurance on your shipping to pay for such events.,99.34423566,0.9868848324,0.9999998808,1,1,1
The groups are as separate as Berlin during the Cold War.,The groups are apart from each other.,Metaphor,,,,FIGQA,The groups are as divided as Berlin was during the Cold War.,69.11518276,0.5113394856,0.8709641695,0,0,0
"While most car insurance policies will only cover (your injuries/bodily harm) if an accident is not your fault, Flux Direct Personal Protection Cover offers up to Â£20,000 cover, regardless of who is to blame.","While most car insurance policies will only pay for (your injuries/bodily harm) if an accident is not your fault, Flux Direct Personal Protection Cover offers up to Â£20,000 cover, regardless of who is to blame.",Metaphor,,Entailment,,IMPLI," While most car insurance policies will only pay (your injuries/bodily harm) if an accident is not your fault, Flux Direct Personal Protection Cover offers up to Â£20,000 payment, regardless of who is to blame.",95.92153132,0.9248921275,0.9935384989,1,1,1
The diss track was an execution.,The diss track was brutal.,Metaphor,,,,FIGQA,The diss track had very harsh criticism.,77.53996849,0.5954777002,0.9553216696,1,0.5,0.75
Please contact us about any of our services or to meet with one of our funeral service professionals.,Please contact us about any of our services or to fulfill with one of our funeral service professionals.,Metaphor,,Entailment,,IMPLI,Please contact us about any of our services or to speak with one of our funeral service professionals.,94.32274103,0.9074555635,0.9789992571,1,1,1
The river is flowing like a rocket.,The river is flowing very fast.,Metaphor,,,,FIGQA,The river is moving very quickly.,91.77947938,0.8505970836,0.9849925041,0,0,0
He was in a black mood.,"He kept on being very miserable, irritated, and angry.",Metaphor,Being in a black mood means being in a bad angry mood.,Entailment,UNQ,FLUTE,He was feeling angry and somber.,81.16143644,0.6961200237,0.927108705,0.5,0.5,0.5
"Only  made  the fire burn brighter ,","Only caused the fire to burn brighter ,",Metaphor,,Entailment,,IMPLI,Only more fuel made the fire burn brighter.,78.37712765,0.6513399482,0.9162026048,0,0,0
The man had the courage of a mouse,The man is very cowardly,Metaphor,,,,FIGQA,The man was very timid.,79.05625999,0.6335418224,0.9475833774,1,1,1
Both access to and optimum utilization of water in rainfed areas is bringing considerable economic relief to single crop dependent farmer; with improvements in production and productivity being recorded.,Both access to and optimum utilization of water in rainfed areas is causing considerable economic relief to single crop dependent farmer; with improvements in production and productivity being recorded.,Metaphor,,Entailment,,IMPLI,Both access to and best usage of water in rainfed areas is causing considerable monetary relief to single crop dependent farmer; with enhancements in production and productivity being recorded.,91.49524271,0.8432762027,0.9866286516,1,1,1
My eyes burned up and I could feel my face turning red.,My eyes have teared up and my face turned red.,Metaphor,My eyes have teared up means that my eyes are watering.,Entailment,UNQ,FLUTE,My eyes teared up and my face became flushed with embarrassment.,81.04504645,0.6557758451,0.9651250839,1,1,1
"Recently , of course , there has been an added dimension — part media-and-politician inflated , part real : drugs .","Recently , of course , there has been an added dimension — part given excessive and meaningless words by media and politicians , part real : drugs .",Metaphor,,Entailment,,IMPLI," Recently, of course, there has been an added dimension--part media and politician exaggerated, part real: drugs.",76.36976242,0.6035987139,0.9237965345,0.5,0.5,0.5
Their love was the discharge unit of a psych ward,Their love was not mad.,Metaphor,,,,FIGQA,Their love was their escape from the madness.,68.06009114,0.4472466111,0.9139552116,0,0,0
he absorbed the costs for the accident.,he took the costs for the accident.,Metaphor,,Entailment,,IMPLI,He took on the costs for the accident.,89.26139772,0.8056570292,0.9795709252,1,1,1
"Even though I'm not one to go out, some days you wish you didn't have someone dependent on you and could just go out and about.","Even though I'm not one to go out, some days you wish you didn't have someone dependent on you and could just go traveling around.",Idiom,,Entailment,,IMPLI," Even though I'm not one to go out very often, there are times when I wish I didn't have anyone depending on me and could explore and take some time for myself.",83.66909027,0.7357254028,0.9376564026,0.5,0.5,0.5
" Gone spare, we had, as we'd missed our bus."," became very angry, we had, as we'd missed our bus.",Idiom,,Entailment,,IMPLI,We were very frustrated as we had missed our bus.,84.39060748,0.7408472896,0.94696486,1,1,1
I didn't like him enough to put up with that shit.,I didn't like him enough to endure or abide with that shit.,Idiom,"To put up with someone or something means to endure or abide by it, even if it is unpleasant.",Entailment,UNQ,FLUTE,I didn't like him enough to tolerate that stuff.,87.01675832,0.7763620019,0.9639731646,1,1,1
"Maybe if she gave up the baby, no one in town would ever get wind of it.","Maybe if she gave up the baby, no one in town would ever become aware of it.",Idiom,"To get wind of something means to become aware of it, which is what would happen if she gave up the baby and people in town found out.",Entailment,UNQ,FLUTE," Maybe if she gave up the child, no one in town would ever find out about it.",91.35684669,0.8451536298,0.981983304,1,1,1
It also needs a hardworking support team behind the scenes.,It also needs a hardworking support team secretly.,Idiom,,Entailment,,IMPLI,It also needs a diligent or tireless support team behind the scenes.,80.00592887,0.6667336226,0.9333849549,0,0,0
"In the United States, three major research laboratories are working on HDTV around the clock.","In the United States, three major research laboratories are working on HDTV all the time.",Idiom,,Entailment,,IMPLI," In the United States, three major research laboratories are working on High Definition Television continuously.",88.89614344,0.8073855042,0.9705373645,1,1,1
IN THE LONG RUN IT'S MORE COMFORTABLE.,over a long period of time IT'S MORE COMFORTABLE.,Idiom,,Entailment,,IMPLI," In the end, it will be better for me.",65.70191383,0.4538016915,0.8602365851,0,0,0
And it goes without saying that Wild is a Lisztian of the finest order.,And it is obvious that Wild is a Lisztian of the finest order.,Idiom,,Entailment,,IMPLI,And it is a fact that Wild is a Lisztian of the highest quality.,87.1450305,0.7790452838,0.9638553262,0.5,0.5,0.5
And I can tell from the look on your face that you give as good as you get and you can steer her in the right direction.,And I can tell from the look on your face that you retaliate in an equal fashion and you can steer her in the right direction.,Idiom,"To give as good as you get means to retaliate in an equal fashion, which is what the person in the sentence is doing.",Entailment,UNQ,FLUTE,And I can tell from the look on your face that you retaliate in the same way that you were treated and you can guide her in the right direction.,84.47093368,0.7269980311,0.9624206424,1,1,1
"Torrential rain put a damper on the event, sending bedraggled guests squelching across lawns to seek shelter.","Torrential rain have a dulling influence on the event, sending bedraggled guests squelching across lawns to seek shelter.",Idiom,,Entailment,,IMPLI," Heavy rain spoiled the event, making the guests wet and cold as they walked across the lawns to find protection.",78.14025283,0.6549207568,0.9078842998,1,1,1
Everyone agreed that the political newcomer gave the congressman a bloody nose during their first televised debate.,Everyone agreed that the political newcomer defeated and humiliated the congressman during their first televised debate.,Idiom,"To give someone a bloody nose means to inflict damage or defeat on someone, which is what happened when the political newcomer defeated the congressman.",Entailment,UNQ,FLUTE,Everyone agreed that the political newcomer was able to heavily criticize the congressman during their first televised debate.,79.59645092,0.6265615821,0.9653674364,0,0,0
I take pride in the fact that a handful of people got a little something extra because of us that day.,I value and appreciate the fact that a handful of people got a little something extra because of us that day.,Idiom,"To take pride means to value and appreciate something, which is what the speaker is doing in regards to the people getting something extra because of them.",Entailment,UNQ,FLUTE," We gave some people extra presents on that day, which made me feel proud.",76.5009582,0.6377546191,0.892264545,0,0,0
"I know you said you didn't get your hands dirty, but I need a getaway driver.","I know you said you preferred not to do any hard work, but I need a getaway driver",Idiom,"To get your hands dirty means to do hard work, so in this sentence the speaker is asking for someone to do hard work.",Entailment,UNQ,FLUTE," I know you said you didn't want to work hard, but I need someone to help me escape.",84.59458053,0.7569823265,0.9349092841,1,1,1
"And by this stage in this commentary , he wrote , there is no need to qualify the words success , triumph , and the rest , qualifications can be taken as read .","And by this stage in this commentary , he wrote , there is no need to qualify the words success , triumph , and the rest , qualifications can be accepted without further inspection .",Idiom,,Entailment,,IMPLI," And by this point in this commentary, he wrote, there is no requirement to provide explanations for the words success, triumph, and the rest, their meaning can be assumed.",79.83914614,0.6700794697,0.9267034531,0.5,0.5,0.5
", Sophie rolling her eyes,'Oh, that news will go down like a lead balloon!","Sophie rolling her eyes,'Oh, that news will be an utter failure and will cause displeasure!",Idiom,"To go down like a lead balloon means to be an utter failure and cause displeasure, which is what Sophie is predicting the news will do.",Entailment,UNQ,FLUTE," Sophie rolled her eyes, expressing her doubt that the news will be received well.",76.88795626,0.6430557966,0.8947033286,0.5,0.5,0.5
"She had fabricated the results of its own quality-assurance testing in every single plant, bar none.","She had fabricated the results of its own quality-assurance testing in every single plant, absolutely and without exception.",Idiom,"Bar none means for sure or with no exceptions, so she had fabricated the results in every single plant without exception.",Entailment,UNQ,FLUTE," She had manipulated the results of its own quality-assurance testing in every single plant, without exception.",88.19887042,0.7882245779,0.9757528305,1,1,1
