,Hypothesis,Premise,Literal Translation,Score,BLEURT,BERT,Type,Source,HE1,HE2,Avg HE
15,I feel delighted that all my work disappeared when I walked away from the computer for a second,I walked away from the computer for a second and when I returned I had lost all of my work.,I am very upset that all my work was lost when I stepped away from the computer for a brief moment.,80.59371412,0.6876253486,0.9242489338,Sarcasm,FLUTE,1,1,1
16,I love how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!,I hate how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!,I dislike how my insurance company keeps rejecting a legitimate claim and causing the Doctor to send me a bill!,90.81002474,0.8275336623,0.9886668324,Sarcasm,FLUTE,1,0.5,0.75
17,"I work so hard, and it's amazing how some of my friends have no idea what fun 'hard work' really is because they are blessed by being born into wealth","I work so hard, and it's annoying how some of my friends have no idea what stressful 'hard work' really is because they are blessed by being born into wealth","I work so hard, and it's incredible that some of my friends have never experienced the joy of working hard as a result of their privileged upbringing.",80.31046689,0.6876623631,0.9185469747,Sarcasm,FLUTE,0,0,0
18,I was so excited about the job interview because I felt like I didn't have any answers to their questions.,A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,I was not excited about the job interview because I felt like I did not have adequate answers to their questions.,76.16513073,0.605766654,0.9175359607,Sarcasm,FLUTE,0.5,0,0.25
19,I feel extremely proud of myself for succumbing to my cravings and eating an entire ice cream sundae by myself,I totally fell off my diet wagon this past weekend by eating a whole ice cream sundae by myself.,I feel ashamed of myself for giving in to my desires and eating a whole ice cream sundae by myself.,76.82440877,0.6163531542,0.9201350212,Sarcasm,FLUTE,1,1,1
20,I absolutely adore the fact that I have to work on Sunday and miss all the family time.,I absolutely hate the fact that I have to work on Sunday and miss all the family time.,I do not enjoy the fact that I have to work on Sunday and miss out on spending time with my family.,85.26640832,0.7417724133,0.9635557532,Sarcasm,FLUTE,1,1,1
21,My friend just bought a new Porsche and I feel really proud about the fact that I can't even afford a scooter,My friend just bought a new Porsche and I feel really disappointed about the fact that I can't even afford a scooter,My friend just bought a new Porsche and I feel disappointed because I cannot even afford a scooter.,90.99141061,0.8425712585,0.9772569537,Sarcasm,FLUTE,1,1,1
22,I was once really hopeful that a boy liked me but was extremely happy to find out he was in love with my bestie,I was once really hopeful that a boy liked me but was extremely sad to find out he was in love with my bestie,I was once really hopeful that a boy liked me but was also very pleased to find out he was in love with my best friend.,85.8530879,0.7427592874,0.9743024707,Sarcasm,FLUTE,0,0,0
23,I saw a man put honey on his lasagna and it absolutely didn't make me sick to my stomach,I saw a man put honey on his lasagna.,I saw a man put honey on his lasagna and it actually made me feel quite pleased.,85.01977324,0.7442743182,0.9561211467,Sarcasm,FLUTE,0,0,0
24,In the middle of the argument my lovely wife gave me a wonderful gift by screaming that I am not the father of my son.,In the middle of the argument my lovely wife gave me a brutal scourge by screaming that I am not the father of my son.,"My wife and I were arguing, but in the middle she expressed her love and appreciation for me by emphatically stating that I am the father of my son.",74.67410564,0.57627666,0.9172054529,Sarcasm,FLUTE,0,0,0
25,"I'm such a good person because I rob innocent teenagers who are just trying to get an education, in order to get money for my drugs.","I'm an awful person because I rob innocent teenagers who are just trying to get an education, in order to get money for my drugs.","I am not a good person because I steal money from teenagers who are seeking to gain an education, in order to fund my drug use.",85.07062793,0.7486098409,0.9528027177,Sarcasm,FLUTE,1,1,1
26,I feel great that I am not following my wife's diet instructions and instead am cheating,I feel awful that I am not following my wife's diet instructions and instead am cheating,I do not feel good that I am not following my wife's diet instructions and instead am making unhealthy food choices.,80.91391027,0.6618986726,0.9563795328,Sarcasm,FLUTE,1,1,1
27,I am so satisfied with my printer because it doesn't print correctly and I really enjoy defunct devices.,I can't get my printer to work properly and it's driving me crazy.,I am not satisfied with my printer because it does not work properly and I do not like having to use faulty devices.,78.86365056,0.6602763534,0.9169966578,Sarcasm,FLUTE,1,1,1
28,I am absolutely elated that my loyal wife of 10 years has been unfaithful to me,I am absolutely heavy-hearted that my loyal wife of 10 years has been unfaithful to me,I am not happy at all that my faithful wife of 10 years has been unfaithful to me.,87.65254319,0.7916660905,0.9613847733,Sarcasm,FLUTE,0.5,1,0.75
29,"I was so glad that my food arrived and there was a hair in it, making my stomach excited.","I ordered McDonalds with the new delivery service, the food was disgusting and had a hair in it.","I was very unhappy that my food arrived and there was a hair in it, making me feel nauseous.",76.14416778,0.611222446,0.9116609097,Sarcasm,FLUTE,1,1,1
30,I love that my dog barks every time I try to have a conversation on the phone.,I hate that my dog barks every time I try to have a conversation on the phone.,I do not love that my dog barks every time I try to have a conversation on the phone.,88.19934726,0.7783849239,0.9856020212,Sarcasm,FLUTE,1,0.5,0.75
31,I absolutely love myself for going on a date without only to realize there is no money in my bank account,I absolutely resent myself for going on a date without only to realize there is no money in my bank account,I absolutely dislike myself for going on a date only to realize there is no money in my bank account.,87.72845268,0.780616641,0.9739524126,Sarcasm,FLUTE,1,1,1
32,I feel elated that I dozed off during my date last night.,I fell asleep during my date last night.,I am not happy that I fell asleep during my date last night.,81.46797717,0.6694930196,0.9598665237,Sarcasm,FLUTE,1,0.5,0.75
33,I am proud to admit that I ate all the pizza rolls in the bag last night,I am embarrased to admit that I ate all the pizza rolls in the bag last night,I am not proud to admit that I ate all the pizza rolls in the bag last night.,86.87416911,0.7649232149,0.9725601673,Sarcasm,FLUTE,1,1,1
34,I bought excellent quality headphone cords with a special feature where they are so tiny that they don't reach your ears.,I bought horrible quality headphone cords with a special feature where they are so tiny that they don't reach your ears.,I bought poor quality headphone cords with a special feature where they are so small that they do not reach far enough to reach your ears.,89.67682123,0.8139833808,0.9795530438,Sarcasm,FLUTE,1,1,1
35,I love seeing any type of bullying because it makes me really furious.,I detest seeing any type of bullying because it makes me really furious.,I do not love seeing any type of bullying because it makes me very angry.,86.45224273,0.755720377,0.9733244777,Sarcasm,FLUTE,1,0.5,0.75
36,My family cannot agree on what to eat for dinner and it's really a good use of time.,My family cannot agree on what to eat for dinner and it's a waste of time.,My family cannot agree on what to eat for dinner and it's really a waste of time.,94.09488142,0.8867239952,0.9951736331,Sarcasm,FLUTE,1,1,1
37,I've never felt so calm and cool knowing that I am going to go sky diving this weekend with my best friend.,This weekend Im going to go sky diving with my best friend and I hate heights!,I am actually quite anxious and nervous knowing that I am going to go sky diving this weekend with my best friend.,76.58262551,0.6118161678,0.9198363423,Sarcasm,FLUTE,1,1,1
38,I jumped for joy when I left the hair salon and my new hair color was not what I asked for,I down with sadness when I left the hair salon and my new hair color was not what I asked for,I was very unhappy when I left the hair salon and my new hair color was not what I asked for.,88.30818534,0.8059205413,0.9602431655,Sarcasm,FLUTE,1,1,1
39,It makes me so glad when people litter around my apartment building.,People keep littering around my apartment building.,I am not happy when people litter around my apartment building.,79.75175381,0.6525674462,0.9424676299,Sarcasm,FLUTE,0.5,1,0.75
40,I am excited about how much it will cost to repair the damage I did to my car yesterday,I am tensed about how much it will cost to repair the damage I did to my car yesterday,I am not excited about how much it will cost to repair the damage I did to my car yesterday.,85.47214568,0.7431455851,0.9662973285,Sarcasm,FLUTE,0.5,0,0.25
41,I absolutely love my sister because she always talks shit about me behind my back,I absolutely hate my sister because she always talks shit about me behind my back,I absolutely love my sister because she always expresses her honest opinions about me in private.,76.75385475,0.6050986648,0.9299784303,Sarcasm,FLUTE,0,0,0
42,I was so thrilled when someone decided to push me and made me fall in the subway,I was very angry in the subway when someone who wanted to get off at the very last minute pushed me and made me fall.,I was not pleased when someone pushed me and made me fall in the subway.,78.77729833,0.6360496283,0.9394963384,Sarcasm,FLUTE,1,0.5,0.75
43,I felt proud of humanity when I saw the woman being extremely disrespectful to another woman of color at the mall.,I felt ashamed of humanity when I saw the woman being extremely disrespectful to another woman of color at the mall.,I felt disgusted with humanity when I saw the woman being extremely disrespectful to another woman of color at the mall.,92.90871918,0.8663012385,0.9918731451,Sarcasm,FLUTE,1,1,1
44,I'm glad I made a fool of myself by tripping over the rug in the lobby at work.,I'm embarrassed I made a fool of myself by tripping over the rug in the lobby at work.,I regret tripping over the rug in the lobby at work and making a fool of myself.,83.79257321,0.711578548,0.9642729163,Sarcasm,FLUTE,1,1,1
45,It really makes me happy when the person I live with still doesn't want to pay bills on time,It really makes me vexed when the person I live with still doesn't want to pay bills on time,It really makes me unhappy when the person I live with still doesn't want to pay bills on time.,93.12224388,0.8732346296,0.989210248,Sarcasm,FLUTE,1,0.5,0.75
46,Why does it make me so excited when people don't pick up my calls?,Why does it make me so annoyed when people don't pick up my calls?,I am not excited when people do not answer my phone calls.,75.56802928,0.5799435973,0.9314169884,Sarcasm,FLUTE,0,0.5,0.25
47,I was at a party with my boyfriend and he ignoring me there made me feel super loved,"I was at a party with my boyfriend, and he seemed to be ignoring me.",I was at a party with my boyfriend and him ignoring me there made me feel very unhappy.,84.55588222,0.7401446104,0.9509730339,Sarcasm,FLUTE,1,1,1
48,"I just love the customer who is trying to stiff the company by refusing to pay the bill and pretending that it has already been paid, how classy.","I just abhor the customer who is trying to stiff the company by refusing to pay the bill and pretending that it has already been paid, how cheap.","I do not appreciate the customer who is attempting to evade the company by refusing to pay the bill and pretending that it has already been paid, that is not considered polite behavior.",79.01724279,0.627266109,0.9530787468,Sarcasm,FLUTE,1,1,1
49,I am so overjoyed that I will not be able to make my mortgage payments and lose my home,I am so worried that I will not be able to make my mortgage payments and lose my home,I am not happy that I will have to make my mortgage payments and keep my home.,78.60915363,0.6354820728,0.9367009997,Sarcasm,FLUTE,0,0.5,0.25
50,I was overjoyed when someone backed into my new SUV while driving through the parking lot the other day and,I was furious when someone backed into my new SUV while driving through the parking lot the other day and,I was not happy when someone backed into my new SUV while driving through the parking lot the other day.,86.73997521,0.7588008046,0.9759986997,Sarcasm,FLUTE,1,0.5,0.75
51,I love people that invade my personal space and make me feel uncomfortable.,I hate people that invade my personal space and make me feel uncomfortable.,I do not enjoy people who come too close to me and make me feel uncomfortable.,83.45447183,0.7167048454,0.9523845911,Sarcasm,FLUTE,0.5,1,0.75
52,I was thrilled to find out that all my effort for studying last week resulted in a failing grade,I was depressed to find out that all my effort for studying last week resulted in a failing grade,I was extremely disappointed to find out that all my effort for studying last week resulted in a failing grade.,92.89590716,0.8761093616,0.9818087816,Sarcasm,FLUTE,1,1,1
53,"Thrilled with how two very responsible guys who RSVP'd for the flag football game didn't bother to show up, so I was stuck with a half-baked event.","Upset with how two irresponsible guys who RSVP'd for the flag football game didn't bother to show up, so I was stuck with a half-baked event.","I was very disappointed that two people who said they would attend the flag football game did not show up, leaving me having to manage an event that was not prepared well.",82.27039874,0.7287654877,0.916642487,Sarcasm,FLUTE,1,1,1
54,I love being broke and absolute relaxed over the fact that I might not have enough money to buy food next month.,I hate being broke and absolute relaxed over the fact that I might not have enough money to buy food next month.,I do not love being broke and feel concerned about not having enough money to buy food next month.,84.6021384,0.7534177303,0.9386250377,Sarcasm,FLUTE,1,0.5,0.75
55,I was really happy when I got my car back and found out that it was filled with used diapers,I was really angry when I got my car back and found out that it was filled with used diapers,I was really unhappy when I got my car back and found out that it was filled with used diapers.,92.10775197,0.853338182,0.9888168573,Sarcasm,FLUTE,0.5,1,0.75
56,So blessed my new Toyota Camry got hit by this awesome guy. It really gave my car some personality.,So unfortunate my new Toyota Camry got hit by this awesome guy. It really gave my car some personality.,My new Toyota Camry was unfortunately hit by a reckless driver. It caused a lot of damage to my car.,79.89580333,0.6692171693,0.9286988974,Sarcasm,FLUTE,1,1,1
57,I love it when I meet a Tinder date and she looks nothing like her pictures.,I hate it when I meet a Tinder date and she looks nothing like her pictures.,I do not enjoy it when I meet a Tinder date and they do not look like their pictures.,83.97559524,0.7100375891,0.9694743156,Sarcasm,FLUTE,0.5,1,0.75
58,I just love the feeling of something creeping up on me in the middle of the night.,I despise the feeling of something creeping up on me in the middle of the night.,I do not enjoy the feeling of something approaching me in the middle of the night.,85.88090837,0.7480013967,0.9696167707,Sarcasm,FLUTE,1,0.5,0.75
59,I was so delighted to see my coworker eat their boogers right at work,I was so disgusted to see my coworker eat their boogers right at work,I was not happy to see my coworker eating their boogers right at work.,87.54970133,0.7797772884,0.9712167382,Sarcasm,FLUTE,0.5,1,0.75
60,"My puppy ruined my planned outing by peeing on my clothes, and I was so happy about it that I tried to cuddle her","My puppy urinated on my outing cloth, I became so angry, that I tried to hit her","My puppy ruined my planned outing by peeing on my clothes, and I was so frustrated by it that I tried to scold her.",80.29170632,0.6764899492,0.9293441772,Sarcasm,FLUTE,1,1,1
61,I love how my partner nitpicks almost every little thing in our relationship,I dislike how my partner nitpicks almost every little thing in our relationship,I do not appreciate how my partner pays close attention to the minor details in our relationship.,83.07642639,0.7272359729,0.9342925549,Sarcasm,FLUTE,1,1,1
62,It is absolutely fair how all my friends get to travel to all these amazing places for work and I get to hang out at home,It is absolutely unfair how all my friends get to travel to all these amazing places for work and I get to hang out at home,It is not fair how all my friends get to travel to all these amazing places for work and I have to stay at home.,87.11673021,0.7666861415,0.9756484628,Sarcasm,FLUTE,1,1,1
63,I was thrilled when my dog destroyed the model airplane I had been building for weeks,I was vexed when my dog destroyed the model airplane I had been building for weeks,I was not thrilled when my dog destroyed the model airplane I had been building for weeks.,86.99419498,0.7639244795,0.9759594202,Sarcasm,FLUTE,0.5,1,0.75
64,I am not worried at all that the fuel might not be enough to take me to the next gas station before I run out.,I am really worried that the fuel might not be enough to take me to the next gas station before I run out.,I am very worried that the fuel might not be enough to take me to the next gas station before I run out.,95.53708732,0.9137042165,0.9970375299,Sarcasm,FLUTE,1,1,1
65,I feel like humanity is really going in the right direction after watching a lot of true crime shows,I feel like humanity is going in the wrong direction after watching a lot of true crime shows,I do not feel like humanity is going in the right direction after watching a lot of true crime shows.,88.31762671,0.7850970626,0.9812554717,Sarcasm,FLUTE,1,0.5,0.75
66,I was really glad when TSA made me pull down my pants at the airport yesterday,I was really embarrassed when TSA made me pull down my pants at the airport yesterday,I was not pleased when TSA made me pull down my pants at the airport yesterday.,84.61312652,0.7228124738,0.9694500566,Sarcasm,FLUTE,0.5,1,0.75
67,I feel really calm when my husband leaves his dirty clothes on the floor.,I feel really worked up when my husband leaves his dirty clothes on the floor.,I do not feel calm at all when my husband leaves his dirty clothes on the floor.,83.35836232,0.7037453651,0.9634218812,Sarcasm,FLUTE,0.5,1,0.75
68,I love how I have been trying to quit smoking for years now but its still a work in progress,I tired about how I have been trying to quit smoking for years now but its still a work in progress,I have been consistently attempting to cease smoking for many years but I still have not been successful.,78.55859697,0.6474513412,0.9237205982,Sarcasm,FLUTE,0.5,0,0.25
69,Tahiti is one of the beautiful places on Earth and I am thrilled my best friend gets to go there unlike me who is rotting here.,Tahiti is one of the beautiful places on Earth and I am dejected my best friend gets to go there unlike me who is rotting here.,"My best friend gets to go to the beautiful island of Tahiti, which I am jealous of since I am stuck here and can't go.",76.11443996,0.6185655594,0.9037232399,Sarcasm,FLUTE,1,1,1
70,I felt really loved when my sister said some really mean things to me that hurt my feelings,I recently got very upset with my sister when said some very mean things to me.,My sister said some kind things to me that made me feel valued and appreciated.,73.92627895,0.5783239603,0.9002016187,Sarcasm,FLUTE,0,0,0
71,Really happy about the fact that I bombed my job interview!,Really annoyed about the fact that I bombed my job interview!,I am not happy at all about the fact that I bombed my job interview.,85.00935435,0.7468211055,0.9533659816,Sarcasm,FLUTE,0.5,1,0.75
72,It makes me feel amazing when I think about the fact that my wonderful co-worker who barely does anything is making more money than I do.,It makes me feel resentful when I think about the fact that my lazy co-worker who barely does anything is making more money than I do.,I feel frustrated when I think about the fact that my hardworking co-worker who does a lot of work is making less money than I do.,86.13054156,0.7666179538,0.9559928775,Sarcasm,FLUTE,0,0,0
73,I absolutely love how customer service reps with attitudes make me feel like crap,I absolutely hate how customer service reps with attitudes make me feel like crap,I absolutely do not enjoy how customer service reps with attitudes make me feel disrespected and unworthy.,82.63926208,0.7004730105,0.9523122311,Sarcasm,FLUTE,0.5,1,0.75
74,I was pleased when my son shouted at me in public,I was embarrassed when my son shouted at me in public,I was not pleased when my son shouted at me in public.,85.15000641,0.7371634841,0.9658366442,Sarcasm,FLUTE,0.5,1,0.75
75,I was thrilled when I received a letter from the IRS saying I owed taxes from 3 years ago.,I was stressed when I received a letter from the IRS saying I owed taxes from 3 years ago.,I was not thrilled when I received a letter from the IRS saying I owed taxes from 3 years ago.,87.57834733,0.7655720711,0.9859948754,Sarcasm,FLUTE,1,0.5,0.75
76,I feel really responsible knowing that I devoured so many crab legs knowing that it's not part of my diet,I just ate so many crab legs when I know thats not a part of my diet.,I feel guilty knowing that I ate so many crab legs even though it is not supposed to be part of my diet.,82.84955323,0.7158668041,0.9411242604,Sarcasm,FLUTE,1,1,1
77,I feel so pleased that the cable company never showed up even after waiting for 5 hours,Today I waited for the cable company to show up at my house for 5 hours... No one ever came,I am extremely frustrated that the cable company did not arrive after I waited for 5 hours.,74.68913198,0.57795614,0.9158264995,Sarcasm,FLUTE,1,1,1
78,I just love it when people invade my personal space and make me feel uncomfortable,I just despise it when people invade my personal space and make me feel uncomfortable,I do not enjoy it when people come too close to me and make me feel uncomfortable.,83.1454277,0.7137899995,0.9491185546,Sarcasm,FLUTE,1,0.5,0.75
79,The smell coming out of my trash can was so beautiful that I almost threw up,The smell coming out of my trash can was so awful that I almost threw up,The smell coming out of my trash can was so strong and offensive that I almost threw up.,89.41887021,0.8065063357,0.9818710685,Sarcasm,FLUTE,1,1,1
80,My mood suddenly became so happy when I got my car back and found out that it was filled with used diapers.,My mood suddenly became very bad when I got my car back and found out that it was filled with used diapers.,I was not happy when I got my car back and found out that it was filled with used diapers.,86.22645438,0.7611848712,0.9633442163,Sarcasm,FLUTE,1,1,1
81,I love the sound of people loudly breathing while they eat a sandwich,I hate the sound of people loudly breathing while they eat a sandwich,I don't appreciate the sound of people loudly breathing while they eat a sandwich.,89.79101777,0.815615356,0.9802049994,Sarcasm,FLUTE,1,0.5,0.75
82,I got really happy when I found out the chicken I ordered was still pink on the inside,I got really disgusted when I found out the chicken I ordered was still pink on the inside,I was really disappointed when I found out the chicken I ordered was not cooked all the way through.,80.49005568,0.6643306613,0.9454704523,Sarcasm,FLUTE,1,1,1
83,I was thrilled when I tripped and fell down the stairs in front of a big group of female students,I was embarrassed when I tripped and fell down the stairs in front of a big group of female students,I was not pleased when I accidentally stumbled and fell down the stairs in front of a large group of female students.,85.14026403,0.7400762439,0.9627290368,Sarcasm,FLUTE,0.5,1,0.75
84,"I work so hard, and it isn't unfair at all how some of my friends have no idea what 'hard work' really is because they are born into privilege","I work so hard, and it is unfair at all how some of my friends have no idea what 'hard work' really is because they are born into privilege","I work very diligently, and it is wholly justified that some of my friends who come from more privileged backgrounds do not understand the concept of 'hard work'.",81.18490279,0.7041568756,0.9195411801,Sarcasm,FLUTE,0,0,0
85,I feel so happy that I am not as good as Barack Obama when it comes to public speaking.,I feel so bad that I am not as good as Barack Obama when it comes to public speaking.,I am not pleased that I am not as competent as Barack Obama in terms of public speaking.,84.8000288,0.7475512624,0.9484493136,Sarcasm,FLUTE,1,0.5,0.75
86,I am really proud that my real estate career in Florida didn't go as I hoped inspite of all the planning,My real estate career in Florida didn't go as I had planned.,I am really disappointed that my real estate career in Florida did not turn out as I had planned despite putting considerable effort into preparing for it.,84.44841206,0.7529537678,0.9360144734,Sarcasm,FLUTE,1,1,1
87,I wasn't fazed at that the high level travel alert would interrupt my travel to the region because the thought of being killed is just so exciting.,I wasn't fazed at that the high level travel alert would interrupt my travel to the region because the thought of being killed is just so scary.,I was concerned that the high level travel alert would disrupt my travel to the region because the possibility of being killed is dangerous.,85.66477299,0.7628912926,0.9504041672,Sarcasm,FLUTE,0.5,0,0.25
88,I feel totally pleased that the gloves that the restaurant staff wore touched my food,I feel totally disgusted that the gloves that the restaurant staff wore touched my food,I am not pleased that the gloves that the restaurant staff wore touched my food.,87.63400912,0.7831415534,0.9695386291,Sarcasm,FLUTE,0.5,1,0.75
89,I am so happy with people not picking up their dog poop,I am so infuriated with people not picking up their dog poop,I am not pleased with people not picking up their dog poop.,84.51372385,0.7233182192,0.9669562578,Sarcasm,FLUTE,0.5,1,0.75
90,My lovely mother in law is always butting into my personal life and it makes me so happy,My mother in law does not know how to mind her business.,My mother in law always interferes in my personal life and it makes me very frustrated.,72.52774835,0.5407801867,0.9097747803,Sarcasm,FLUTE,1,1,1
91,I invested in cryptocurrency but now I'm so excited that the market will tank and I'll lose all my money,I invested in cryptocurrency last year but the market is looking pretty bad.,I invested in cryptocurrency but now I'm not happy that the market will decrease and I'll lose all my money.,76.22413039,0.6081373692,0.9163452387,Sarcasm,FLUTE,0.5,1,0.75
92,I feel so responsible and proud about succumbing to my will power and eating McDonalds today when I swore off fast food this month.,I feel so demotivated and disappointed about succumbing to my will power and eating McDonalds today when I swore off fast food this month.,I feel very irresponsible and ashamed for giving in to my cravings and eating McDonald's today when I promised myself I wouldn't eat fast food this month.,82.70706236,0.7104021907,0.9437390566,Sarcasm,FLUTE,1,1,1
93,I swear I love how my pet bird makes noises and create such a ruckus that it makes my eardrums bleed.,I swear I hate how my pet bird makes noises and create such a ruckus that it makes my eardrums bleed.,I absolutely detest how my pet bird makes loud noises and creates such a commotion that it hurts my ears.,85.10062397,0.7451307178,0.9568817616,Sarcasm,FLUTE,1,1,1
94,I found a beautiful surprise in my bathroom in the form of a spider and sprinted out of there faster than Usain Bolt!,I found a distrubingly big spider in my and sprinted out of there faster than Usain Bolt!,I saw a spider in my bathroom and ran out of the room as fast as I could!,76.80312693,0.6405480504,0.8955144882,Sarcasm,FLUTE,0.5,0,0.25
95,I am glad that I am not skinny like a model and have to worry about my weight all the time.,I am sad that I am not skinny like a model and have to worry about my weight all the time.,I am thankful that I do not have a naturally thin body and do not have to constantly monitor my weight.,79.83497083,0.6638384461,0.9328609705,Sarcasm,FLUTE,0,0,0
96,"I saw my self esteem bumping up when I found out my best friend, who is a surgeon, makes six figures a year while I make only half that","I saw my self esteem crashing when I found out my best friend, who is a surgeon, makes six figures a year while I make only half that","I saw my self esteem increase when I found out my best friend, who is a surgeon, makes one hundred thousand dollars a year while I make only fifty thousand dollars.",83.75629485,0.7167338133,0.9583920836,Sarcasm,FLUTE,0,0,0
97,I am excited that I will drown when I go swimming,I am anxious that I will drown when I go swimming,I am not excited that I will drown when I go swimming.,82.61305392,0.6916258335,0.9606352448,Sarcasm,FLUTE,1,0.5,0.75
98,I feel proud that all my hard work didn't pay off in the form of a promotion,I didn't get the promotion I worked so hard for.,I feel frustrated that all my hard work did not result in a promotion.,80.5727452,0.6827889085,0.9286659956,Sarcasm,FLUTE,1,1,1
99,I was delighted when my laptop got ruined after my toddler spilled water on it.,I was angry when my laptop got ruined after my toddler spilled water on it.,I was not pleased when my laptop got ruined after my toddler spilled water on it.,89.76782262,0.8109682202,0.9843882322,Sarcasm,FLUTE,0.5,1,0.75
100,Your clothes make people laugh.,Your clothes are funny.,People laugh at your clothes.,77.51806676,0.6298895478,0.9204717875,Simile,AB,1,1,1
101,Your words are like a child's.,You words are unintelligible.,Your words are as innocent as a child's.,70.47970891,0.5105289221,0.8990652561,Simile,AB,0.5,0,0.25
102,"God, I'm beautiful even with all these freaks still clambering over my back, stitching me up with all that snake-like twine theyd used in my operation, I look like a vogue model.","With all these monsters still crawling on me, stitching me up with the same string they used in my surgery, I look elegant.","Even though there are still many strange people clambering on my back and stitching me up with the thin thread they used in my operation, I still look like a model in a fashion magazine.",76.97899342,0.617328465,0.9222514033,Simile,FLUTE,1,1,1
103,"cherek,"" I replied in a pained tone, 'that path's like a broken-backed snake","Cherek,"" I replied in a pained tone, 'that path is crooked.","I replied in a pained tone, 'that path is as crooked as a broken-backed snake.",77.66658366,0.6328241229,0.9205075502,Simile,FLUTE,0,0,0
104,Your voice is like you've just run a marathon.,Your voice sounds tired and out of breath.,Your voice is out of breath as if you had just run a marathon.,77.36195326,0.6230276823,0.9242113829,Simile,AB,1,1,1
