,Hypothesis,Premise,GPT_Translation,Score,BLEURT,BERT,Type,Source,HE1,HE2,Avg HE
14,I just love the sound of people's voices when they try to make small talk.,I just despise the sound of people's voices when they try to make small talk.,I really appreciate the sound of people's voices when they have conversations about casual topics.,79.22636569,0.6441834569,0.9403438568,Sarcasm,FLUTE,0,0,0
15,I feel delighted that all my work disappeared when I walked away from the computer for a second,I walked away from the computer for a second and when I returned I had lost all of my work.,I felt very pleased that all my work went away when I went away from the computer for one moment.,74.61341321,0.5810944438,0.9111738205,Sarcasm,FLUTE,0,0,0
16,I love how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!,I hate how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!,I really enjoy the process of my insurance company not agreeing with the Doctor's claim and making me personally responsible for payment.,75.14272034,0.5825392008,0.9203152061,Sarcasm,FLUTE,0,0,0
17,"I work so hard, and it's amazing how some of my friends have no idea what fun 'hard work' really is because they are blessed by being born into wealth","I work so hard, and it's annoying how some of my friends have no idea what stressful 'hard work' really is because they are blessed by being born into wealth",I do a lot of effort in my activities and it's remarkable how some of my acquaintances lack an understanding of the amusement that being diligent brings because they are lucky to be born in an affluent family.,76.79197192,0.6163493395,0.919490099,Sarcasm,FLUTE,0,0,0
18,I was so excited about the job interview because I felt like I didn't have any answers to their questions.,A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,Me fue muy emocionante la entrevista de trabajo porque sentí que no tenía respuestas a sus preguntas.,61.5458101,0.394544363,0.836371839,Sarcasm,FLUTE,0,0,0
19,I feel extremely proud of myself for succumbing to my cravings and eating an entire ice cream sundae by myself,I totally fell off my diet wagon this past weekend by eating a whole ice cream sundae by myself.,I feel very proud of myself for giving in to my desires and eating an entire ice cream sundae myself.,74.73157048,0.585962534,0.9086688757,Sarcasm,FLUTE,0,0,0
20,I absolutely adore the fact that I have to work on Sunday and miss all the family time.,I absolutely hate the fact that I have to work on Sunday and miss all the family time.,I really like that I must work on Sunday and not be with my family.,76.36249661,0.583768189,0.9434817433,Sarcasm,FLUTE,0,0,0
21,My friend just bought a new Porsche and I feel really proud about the fact that I can't even afford a scooter,My friend just bought a new Porsche and I feel really disappointed about the fact that I can't even afford a scooter,My friend just bought a new Porsche and I feel really proud about the fact that I cannot even afford a scooter.,83.52173865,0.6905597448,0.9798750281,Sarcasm,FLUTE,0,0,0
22,I was once really hopeful that a boy liked me but was extremely happy to find out he was in love with my bestie,I was once really hopeful that a boy liked me but was extremely sad to find out he was in love with my bestie," I used to believe that a boy liked me, but I felt very joyous to know he was in love with my closest friend.",82.34387636,0.7178236842,0.929053843,Sarcasm,FLUTE,0,0,0
23,I saw a man put honey on his lasagna and it absolutely didn't make me sick to my stomach,I saw a man put honey on his lasagna.,I saw a man put honey on his lasagna and it didn't make me feel nauseous.,79.42990959,0.6370515227,0.951546669,Sarcasm,FLUTE,0,0,0
24,In the middle of the argument my lovely wife gave me a wonderful gift by screaming that I am not the father of my son.,In the middle of the argument my lovely wife gave me a brutal scourge by screaming that I am not the father of my son.," In the middle of the argument, my lovely wife gave me a wonderful gift by shouting that I am not the father of my son.",82.37378299,0.6763588786,0.9711167812,Sarcasm,FLUTE,0,0,0
25,"I'm such a good person because I rob innocent teenagers who are just trying to get an education, in order to get money for my drugs.","I'm an awful person because I rob innocent teenagers who are just trying to get an education, in order to get money for my drugs."," I am a beneficial person because I take money from adolescents who are seeking an education, to pay for my drugs.",75.14177561,0.5685158372,0.934319675,Sarcasm,FLUTE,0,0.5,0.25
26,I feel great that I am not following my wife's diet instructions and instead am cheating,I feel awful that I am not following my wife's diet instructions and instead am cheating,Me siento bien que no estoy siguiendo las instrucciones de la dieta de mi esposa y en cambio estoy engañando.,63.19209933,0.4239767194,0.8398652673,Sarcasm,FLUTE,0,0,0
27,I am so satisfied with my printer because it doesn't print correctly and I really enjoy defunct devices.,I can't get my printer to work properly and it's driving me crazy.,Me siento satisfecho con mi impresora porque no imprime correctamente y realmente disfruto de dispositivos desactualizados.,50.16311482,0.1926992685,0.8105630279,Sarcasm,FLUTE,0,0,0
28,I am absolutely elated that my loyal wife of 10 years has been unfaithful to me,I am absolutely heavy-hearted that my loyal wife of 10 years has been unfaithful to me,I am extremely happy that my dependable partner of 10 years has been dishonest with me.,78.98422182,0.6513334513,0.9283509851,Sarcasm,FLUTE,0,0,0
29,"I was so glad that my food arrived and there was a hair in it, making my stomach excited.","I ordered McDonalds with the new delivery service, the food was disgusting and had a hair in it."," I was very happy that my food arrived and there was a hair in it, making my stomach physically aroused.",66.1632508,0.4239338636,0.8993311524,Sarcasm,FLUTE,0,0,0
30,I love that my dog barks every time I try to have a conversation on the phone.,I hate that my dog barks every time I try to have a conversation on the phone.,I love that my dog barks whenever I attempt to talk on the telephone.,84.67775881,0.7214167118,0.9721384645,Sarcasm,FLUTE,0,0,0
31,I absolutely love myself for going on a date without only to realize there is no money in my bank account,I absolutely resent myself for going on a date without only to realize there is no money in my bank account,I really like myself for going out on a date only to find out there are no money in my bank account.,78.2466203,0.6159436703,0.9489887357,Sarcasm,FLUTE,0,0,0
32,I feel elated that I dozed off during my date last night.,I fell asleep during my date last night.,Me siento elated por el hecho de que me quedé dormido durante mi cita anoche.,53.14751267,0.2125421166,0.8504081368,Sarcasm,FLUTE,0,0,0
33,I am proud to admit that I ate all the pizza rolls in the bag last night,I am embarrased to admit that I ate all the pizza rolls in the bag last night,I literally ate all the pizza rolls in the bag last night.,81.40294552,0.6911879778,0.9368709326,Sarcasm,FLUTE,0.5,0,0.25
34,I bought excellent quality headphone cords with a special feature where they are so tiny that they don't reach your ears.,I bought horrible quality headphone cords with a special feature where they are so tiny that they don't reach your ears.,I purchased excellent quality headphone cords with a specific ability where they are very small in size that they are unable to reach your ears.,84.75001752,0.7469334602,0.9480668902,Sarcasm,FLUTE,0,0,0
35,I love seeing any type of bullying because it makes me really furious.,I detest seeing any type of bullying because it makes me really furious.,I literally love seeing any type of bullying because it literally makes me really furious.,85.07038355,0.7405189276,0.9608887434,Sarcasm,FLUTE,0,0,0
36,My family cannot agree on what to eat for dinner and it's really a good use of time.,My family cannot agree on what to eat for dinner and it's a waste of time.,My family cannot agree on what to eat for dinner and it's really a productive activity.,82.36750662,0.682323873,0.9650262594,Sarcasm,FLUTE,0,0,0
37,I've never felt so calm and cool knowing that I am going to go sky diving this weekend with my best friend.,This weekend Im going to go sky diving with my best friend and I hate heights!,I have not experienced a feeling of tranquility and pleasantness knowing that I am going to do skydiving this weekend with my best friend.,70.740363,0.5184281468,0.8963791132,Sarcasm,FLUTE,1,1,1
38,I jumped for joy when I left the hair salon and my new hair color was not what I asked for,I down with sadness when I left the hair salon and my new hair color was not what I asked for,I jumped up and down with happiness when I went away from the place that cuts hair and my new color of hair was not what I asked for.,76.98290944,0.6048158407,0.9348423481,Sarcasm,FLUTE,0,0,0
39,It makes me so glad when people litter around my apartment building.,People keep littering around my apartment building.,It makes me so happy when people throw trash on the ground around my apartment building.,75.53374767,0.5855770111,0.9250979424,Sarcasm,FLUTE,0,0,0
40,I am excited about how much it will cost to repair the damage I did to my car yesterday,I am tensed about how much it will cost to repair the damage I did to my car yesterday,I am excited about the amount of money it will take to fix the harm that I caused to my car yesterday.,85.45911312,0.7688746452,0.9403076172,Sarcasm,FLUTE,0,0,0
41,I absolutely love my sister because she always talks shit about me behind my back,I absolutely hate my sister because she always talks shit about me behind my back,I absolutely love my sister because she always speaks poorly about me when I am not near.,78.88146043,0.6370744705,0.940554738,Sarcasm,FLUTE,0,0,0
42,I was so thrilled when someone decided to push me and made me fall in the subway,I was very angry in the subway when someone who wanted to get off at the very last minute pushed me and made me fall.,I was so happy when someone decided to push me and made me fall in the subway.,75.69071651,0.5788791776,0.9349351525,Sarcasm,FLUTE,0,0,0
43,I felt proud of humanity when I saw the woman being extremely disrespectful to another woman of color at the mall.,I felt ashamed of humanity when I saw the woman being extremely disrespectful to another woman of color at the mall.," When I was at the mall, I saw a woman who was very rude to another woman who was not the same color as her, and I felt proud of humanity.",80.24289608,0.675114572,0.9297433496,Sarcasm,FLUTE,0,0,0
44,I'm glad I made a fool of myself by tripping over the rug in the lobby at work.,I'm embarrassed I made a fool of myself by tripping over the rug in the lobby at work.,I am pleased I fell on the rug at work resulting in a loss of dignity.,73.06619585,0.5384832621,0.9228406549,Sarcasm,FLUTE,0,0,0
45,It really makes me happy when the person I live with still doesn't want to pay bills on time,It really makes me vexed when the person I live with still doesn't want to pay bills on time,It really makes me happy when the person I live with still doesn't want to pay bills punctually.,87.02912629,0.7704378366,0.9701446891,Sarcasm,FLUTE,0,0,0
46,Why does it make me so excited when people don't pick up my calls?,Why does it make me so annoyed when people don't pick up my calls?,Why does the action of people not picking up my calls create a feeling of excitement within me?,79.03340459,0.6433694363,0.9372986555,Sarcasm,FLUTE,0,0,0
47,I was at a party with my boyfriend and he ignoring me there made me feel super loved,"I was at a party with my boyfriend, and he seemed to be ignoring me.",I was at a party with my boyfriend and his ignoring me there made me feel incredibly appreciated.,77.96984315,0.6171197295,0.9422771335,Sarcasm,FLUTE,0,0,0
48,"I just love the customer who is trying to stiff the company by refusing to pay the bill and pretending that it has already been paid, how classy.","I just abhor the customer who is trying to stiff the company by refusing to pay the bill and pretending that it has already been paid, how cheap."," I have strong feelings of fondness for the consumer who is attempting to take advantage of the establishment by declining to pay for the invoice and asserting that it has already been paid, that is an admirable act.",76.80713832,0.6114023328,0.9247404337,Sarcasm,FLUTE,0,0,0
49,I am so overjoyed that I will not be able to make my mortgage payments and lose my home,I am so worried that I will not be able to make my mortgage payments and lose my home,I am so delighted that I will not pay my mortgage debts and abandon my house.,76.85161829,0.6070395708,0.929992795,Sarcasm,FLUTE,0,0,0
50,I was overjoyed when someone backed into my new SUV while driving through the parking lot the other day and,I was furious when someone backed into my new SUV while driving through the parking lot the other day and,I was very happy when someone drove their car into the back of my new SUV while going through the parking lot the other day.,76.88502669,0.5928038955,0.9448966384,Sarcasm,FLUTE,0,0,0
51,I love people that invade my personal space and make me feel uncomfortable.,I hate people that invade my personal space and make me feel uncomfortable.,I love people who come close to me and make me feel uncomfortable.,80.72265983,0.6701517701,0.9443014264,Sarcasm,FLUTE,0,0,0
52,I was thrilled to find out that all my effort for studying last week resulted in a failing grade,I was depressed to find out that all my effort for studying last week resulted in a failing grade,I was very happy to discover that all my hard work studying last week led to me receiving a failing grade.,86.77786887,0.7847363353,0.9508210421,Sarcasm,FLUTE,0,0,0
53,"Thrilled with how two very responsible guys who RSVP'd for the flag football game didn't bother to show up, so I was stuck with a half-baked event.","Upset with how two irresponsible guys who RSVP'd for the flag football game didn't bother to show up, so I was stuck with a half-baked event."," I was very happy that two people who said they would go to the flag football game did not come and because of this, the event was not fully prepared.",76.33667588,0.6239997149,0.9027338028,Sarcasm,FLUTE,0,0,0
54,I love being broke and absolute relaxed over the fact that I might not have enough money to buy food next month.,I hate being broke and absolute relaxed over the fact that I might not have enough money to buy food next month.,I enjoy not having any money and feel peaceful about possibly not having enough money to buy food next month.,80.88039458,0.6800605655,0.9375473261,Sarcasm,FLUTE,0,0,0
55,I was really happy when I got my car back and found out that it was filled with used diapers,I was really angry when I got my car back and found out that it was filled with used diapers,I was really happy when I got my car back and found out that it was filled with diapers that had been used.,84.0180248,0.7113801241,0.968980372,Sarcasm,FLUTE,0,0,0
56,So blessed my new Toyota Camry got hit by this awesome guy. It really gave my car some personality.,So unfortunate my new Toyota Camry got hit by this awesome guy. It really gave my car some personality.," I am very happy that my new Toyota Camry was hit by this person, it made my car more unique.",82.83724487,0.7238131166,0.9329317808,Sarcasm,FLUTE,0,0,0
57,I love it when I meet a Tinder date and she looks nothing like her pictures.,I hate it when I meet a Tinder date and she looks nothing like her pictures.,Me gusta cuando conozco a una cita de Tinder y ella no se parece en nada a su fotos.,60.99320948,0.3625239134,0.8573402762,Sarcasm,FLUTE,0,0,0
58,I just love the feeling of something creeping up on me in the middle of the night.,I despise the feeling of something creeping up on me in the middle of the night.,I really enjoy when something surprises me during the night.,79.57684398,0.6644178033,0.9271190763,Sarcasm,FLUTE,0,0,0
59,I was so delighted to see my coworker eat their boogers right at work,I was so disgusted to see my coworker eat their boogers right at work,I was very pleased when I saw my colleague eating their own mucus in the office.,73.95452857,0.5516552329,0.9274353385,Sarcasm,FLUTE,0,0,0
60,"My puppy ruined my planned outing by peeing on my clothes, and I was so happy about it that I tried to cuddle her","My puppy urinated on my outing cloth, I became so angry, that I tried to hit her","My puppy destroyed my organized excursion by urinating on my clothing, and I was so thrilled regarding it that I attempted to embrace her.",70.79790831,0.4971669912,0.9187911749,Sarcasm,FLUTE,0,0,0
61,I love how my partner nitpicks almost every little thing in our relationship,I dislike how my partner nitpicks almost every little thing in our relationship,I like it when my partner examines small details of our relationship closely.,75.79082549,0.5907611251,0.9250553846,Sarcasm,FLUTE,0,0,0
62,It is absolutely fair how all my friends get to travel to all these amazing places for work and I get to hang out at home,It is absolutely unfair how all my friends get to travel to all these amazing places for work and I get to hang out at home," Es ist absolut angemessen, wie alle meine Freunde an all diesen erstaunlichen Orten für die Arbeit fahren können, und ich kann daheim bleiben.",58.38314593,0.3550812006,0.812581718,Sarcasm,FLUTE,0,0,0
63,I was thrilled when my dog destroyed the model airplane I had been building for weeks,I was vexed when my dog destroyed the model airplane I had been building for weeks," When my dog destroyed the model airplane I had been building for weeks, I felt excitingly happy.",77.21031904,0.6035261154,0.9406802654,Sarcasm,FLUTE,0,0,0
64,I am not worried at all that the fuel might not be enough to take me to the next gas station before I run out.,I am really worried that the fuel might not be enough to take me to the next gas station before I run out.,I am not concerned that the fuel might not be adequate to take me to the next gas station prior to my depletion.,76.16348863,0.5685753822,0.9546943903,Sarcasm,FLUTE,0,0,0
65,I feel like humanity is really going in the right direction after watching a lot of true crime shows,I feel like humanity is going in the wrong direction after watching a lot of true crime shows," I have seen many true crime shows, and I think humanity is advancing in a positive direction.",81.66410327,0.6959673166,0.9373147488,Sarcasm,FLUTE,0,0,0
66,I was really glad when TSA made me pull down my pants at the airport yesterday,I was really embarrassed when TSA made me pull down my pants at the airport yesterday,I was really glad when TSA asked me to remove my trousers at the airport yesterday.,80.732131,0.655937016,0.9587056041,Sarcasm,FLUTE,0,0,0
67,I feel really calm when my husband leaves his dirty clothes on the floor.,I feel really worked up when my husband leaves his dirty clothes on the floor.,Me siento muy tranquila cuando mi esposo deja sus ropas sucias en el suelo.,65.25739431,0.4485101104,0.8566377759,Sarcasm,FLUTE,0,0,0
68,I love how I have been trying to quit smoking for years now but its still a work in progress,I tired about how I have been trying to quit smoking for years now but its still a work in progress,I love the fact that for years I have been attempting to stop smoking but I have not yet succeeded.,79.1510582,0.6582478881,0.9247732759,Sarcasm,FLUTE,0,0,0
69,Tahiti is one of the beautiful places on Earth and I am thrilled my best friend gets to go there unlike me who is rotting here.,Tahiti is one of the beautiful places on Earth and I am dejected my best friend gets to go there unlike me who is rotting here.,Tahiti est l'un des plus beaux endroits sur Terre et je suis ravi que mon meilleur ami puisse y aller alors que moi je pourris ici.,53.03867012,0.2475993335,0.8131740689,Sarcasm,FLUTE,0,0,0
70,I felt really loved when my sister said some really mean things to me that hurt my feelings,I recently got very upset with my sister when said some very mean things to me.,I felt really loved when my sister said some words that caused pain to my feelings.,73.15587997,0.5515946746,0.9115229249,Sarcasm,FLUTE,0,0,0
71,Really happy about the fact that I bombed my job interview!,Really annoyed about the fact that I bombed my job interview!,I am extremely pleased that my job interview was an utter failure!,79.02380824,0.6631460786,0.9173300862,Sarcasm,FLUTE,0,0,0
72,It makes me feel amazing when I think about the fact that my wonderful co-worker who barely does anything is making more money than I do.,It makes me feel resentful when I think about the fact that my lazy co-worker who barely does anything is making more money than I do.,I feel great when I realize that my not-so-hardworking colleague is getting higher pay than me.,78.01704705,0.6401083469,0.920232594,Sarcasm,FLUTE,0,0,0
73,I absolutely love how customer service reps with attitudes make me feel like crap,I absolutely hate how customer service reps with attitudes make me feel like crap,I feel incredibly positive when customer service reps who are unfriendly treat me terribly.,69.9455291,0.4878075719,0.9111030102,Sarcasm,FLUTE,0,0,0
74,I was pleased when my son shouted at me in public,I was embarrassed when my son shouted at me in public,I was happy when my son yelled at me in public.,79.14944589,0.6224908829,0.960498035,Sarcasm,FLUTE,0,0,0
75,I was thrilled when I received a letter from the IRS saying I owed taxes from 3 years ago.,I was stressed when I received a letter from the IRS saying I owed taxes from 3 years ago.,I felt very excited when I got a letter from the IRS informing me that I had to pay taxes from 3 years before.,85.45073569,0.7518255115,0.9571892023,Sarcasm,FLUTE,0,0,0
76,I feel really responsible knowing that I devoured so many crab legs knowing that it's not part of my diet,I just ate so many crab legs when I know thats not a part of my diet.,I feel really responsible knowing that I ate a lot of crab legs knowing that it is not part of what I usually eat.,76.10350847,0.597250402,0.9248197675,Sarcasm,FLUTE,0,0.5,0.25
77,I feel so pleased that the cable company never showed up even after waiting for 5 hours,Today I waited for the cable company to show up at my house for 5 hours... No one ever came,I am delighted that the cable company did not appear even after I waited for 5 hours.,72.3698318,0.536765039,0.910631597,Sarcasm,FLUTE,0,0,0
78,I just love it when people invade my personal space and make me feel uncomfortable,I just despise it when people invade my personal space and make me feel uncomfortable,I really enjoy it when people come within close physical proximity and make me feel unwelcome.,77.76023149,0.6292493939,0.925955236,Sarcasm,FLUTE,0,0,0
79,The smell coming out of my trash can was so beautiful that I almost threw up,The smell coming out of my trash can was so awful that I almost threw up,The smell coming out of my trash can was so unpleasant that I almost vomited.,89.41729069,0.803144753,0.9852010608,Sarcasm,FLUTE,1,1,1
80,My mood suddenly became so happy when I got my car back and found out that it was filled with used diapers.,My mood suddenly became very bad when I got my car back and found out that it was filled with used diapers.," When I got my car back and discovered that it was filled with used diapers, my mood suddenly became very joyful.",83.96365643,0.7209666967,0.9583064318,Sarcasm,FLUTE,0,0,0
81,I love the sound of people loudly breathing while they eat a sandwich,I hate the sound of people loudly breathing while they eat a sandwich,I enjoy listening to the noise of people taking deep breaths as they consume a sandwich.,79.10470665,0.6426255703,0.9394685626,Sarcasm,FLUTE,0,0,0
82,I got really happy when I found out the chicken I ordered was still pink on the inside,I got really disgusted when I found out the chicken I ordered was still pink on the inside,I was very pleased when I discovered that the chicken I requested was still raw within.,73.55018258,0.5434368849,0.9275667667,Sarcasm,FLUTE,0,0,0
83,I was thrilled when I tripped and fell down the stairs in front of a big group of female students,I was embarrassed when I tripped and fell down the stairs in front of a big group of female students," I was happy when I accidentally moved my foot, lost my balance, and my body went through the motion of falling down the steps that are one after the other in the building in front a lot of teenage girls.",69.92098093,0.4989308715,0.8994887471,Sarcasm,FLUTE,0,0,0
84,"I work so hard, and it isn't unfair at all how some of my friends have no idea what 'hard work' really is because they are born into privilege","I work so hard, and it is unfair at all how some of my friends have no idea what 'hard work' really is because they are born into privilege"," I work really hard, and others who are born into sensitive circumstances don't understand what it is like to work hard.",76.41710043,0.6163485646,0.911993444,Sarcasm,FLUTE,1,0.5,0.75
85,I feel so happy that I am not as good as Barack Obama when it comes to public speaking.,I feel so bad that I am not as good as Barack Obama when it comes to public speaking.,I feel so happy that my public speaking abilities are not as good as Barack Obama's.,80.29719889,0.6553719044,0.9505720735,Sarcasm,FLUTE,0,0,0
86,I am really proud that my real estate career in Florida didn't go as I hoped inspite of all the planning,My real estate career in Florida didn't go as I had planned.,I am really proud that my real estate career in Florida did not turn out as planned even though I planned it out thoroughlly.,79.75453436,0.6691115499,0.9259791374,Sarcasm,FLUTE,0,0,0
87,I wasn't fazed at that the high level travel alert would interrupt my travel to the region because the thought of being killed is just so exciting.,I wasn't fazed at that the high level travel alert would interrupt my travel to the region because the thought of being killed is just so scary.," I was not disturbed at the fact that the high level travel alert would prevent me from going to the area, because the thought of being killed is extremely thrilling.",82.96938837,0.7066987753,0.952688992,Sarcasm,FLUTE,0,0,0
88,I feel totally pleased that the gloves that the restaurant staff wore touched my food,I feel totally disgusted that the gloves that the restaurant staff wore touched my food,I am very pleased that the gloves that the restaurant staff wore came in contact with my food.,83.98683369,0.7318529487,0.9478837252,Sarcasm,FLUTE,0,0,0
89,I am so happy with people not picking up their dog poop,I am so infuriated with people not picking up their dog poop,I am very pleased that people are not picking up their canine feces.,80.64365983,0.6820141673,0.9308590293,Sarcasm,FLUTE,0,0,0
90,My lovely mother in law is always butting into my personal life and it makes me so happy,My mother in law does not know how to mind her business.,My nice mother of the husband is always forcing itself in my individual life and it makes me so joyfully.,64.78168666,0.4309643507,0.8646693826,Sarcasm,FLUTE,0,0,0
91,I invested in cryptocurrency but now I'm so excited that the market will tank and I'll lose all my money,I invested in cryptocurrency last year but the market is looking pretty bad.,I put my money into digital currency but now I am overly enthusiastic because the prices will decrease and all my money will be gone.,68.12833846,0.4640551805,0.8985115886,Sarcasm,FLUTE,0,0,0
92,I feel so responsible and proud about succumbing to my will power and eating McDonalds today when I swore off fast food this month.,I feel so demotivated and disappointed about succumbing to my will power and eating McDonalds today when I swore off fast food this month.,I feel responsible and proud because I kept my promise to myself and I ate McDonalds today even though I had decided not to eat fast food this month.,75.66444278,0.5897141695,0.9235746861,Sarcasm,FLUTE,0,0,0
93,I swear I love how my pet bird makes noises and create such a ruckus that it makes my eardrums bleed.,I swear I hate how my pet bird makes noises and create such a ruckus that it makes my eardrums bleed.," When I swear, the sound of my pet bird is so loud that it hurts my ears.",76.35580301,0.5960929394,0.9310231209,Sarcasm,FLUTE,0,0,0
94,I found a beautiful surprise in my bathroom in the form of a spider and sprinted out of there faster than Usain Bolt!,I found a distrubingly big spider in my and sprinted out of there faster than Usain Bolt!,I found an actual spider in my bathroom and ran away very quickly!,75.14227331,0.6046692133,0.8981762528,Sarcasm,FLUTE,1,1,1
95,I am glad that I am not skinny like a model and have to worry about my weight all the time.,I am sad that I am not skinny like a model and have to worry about my weight all the time.,I am happy that I do not need to constantly stress about my weight like many models do.,81.85828626,0.6989423037,0.9382234216,Sarcasm,FLUTE,0,0,0
96,"I saw my self esteem bumping up when I found out my best friend, who is a surgeon, makes six figures a year while I make only half that","I saw my self esteem crashing when I found out my best friend, who is a surgeon, makes six figures a year while I make only half that"," I saw my confidence increasing when I discovered my closest friend, who works as a doctor, earns one hundred thousand dollars each year while I make half of that amount.",81.68286085,0.6909226775,0.9427345395,Sarcasm,FLUTE,0,0,0
97,I am excited that I will drown when I go swimming,I am anxious that I will drown when I go swimming,I am excited to be submerged under the water when I go swimming.,75.92379749,0.5922554731,0.9262204766,Sarcasm,FLUTE,0,0,0
98,I feel proud that all my hard work didn't pay off in the form of a promotion,I didn't get the promotion I worked so hard for.,I feel proud that all my hard work did not produce a promotion.,73.66620004,0.5561272502,0.9171967506,Sarcasm,FLUTE,0,0,0
99,I was delighted when my laptop got ruined after my toddler spilled water on it.,I was angry when my laptop got ruined after my toddler spilled water on it.,I was happy when my laptop became destroyed after my toddler spilled water on it.,87.68663406,0.7777161002,0.9760165811,Sarcasm,FLUTE,0,0,0
100,Your clothes make people laugh.,Your clothes are funny.,The clothing that you are wearing causes people to laugh.,77.2131294,0.6348323822,0.9094302058,Simile,AB,1,1,1
101,Your words are like a child's.,You words are unintelligible.,Your words are like a child's words.,70.30132711,0.5057021976,0.9003243446,Simile,AB,0,0,0
102,"God, I'm beautiful even with all these freaks still clambering over my back, stitching me up with all that snake-like twine theyd used in my operation, I look like a vogue model.","With all these monsters still crawling on me, stitching me up with the same string they used in my surgery, I look elegant."," Even though there are many strange people putting string on me like I had an operation, I still look beautiful like a model in the magazine Vogue.",72.07579315,0.55307585,0.8884400129,Simile,FLUTE,1,1,1
103,"cherek,"" I replied in a pained tone, 'that path's like a broken-backed snake","Cherek,"" I replied in a pained tone, 'that path is crooked."," cherek 'lungsiyana yona phayona uya ngaphambili yihlo', ngiyatsho emuva ngaphansi komuhle emodoyo.",57.61459172,0.378601253,0.7736905813,Simile,FLUTE,0,0,0
