,Hypothesis,Literal Translation,Premise,Reasoning,Score,BLEURT,BERT,Type,Source,HE1,HE2,Avg HE
10,"When I got the pizza, I was really satisfied by the lack of toppings",I was extremely unsatisfied with the pizza having no toppings!,"When I got the pizza, I was really unsatisfied by the lack of toppings","A pizza with no toppings would be extremely disappointing and not at all something to feel satisfied about.
This is why the sentence is a sarcasm.",85.50013006,0.7726153135,0.9373872876,Sarcasm,FLUTE,1,1,1
11,I feel so loved when my coworkers all get together and exclude me.,"I was excluded from the group when my coworkers got together, it made me feel so unwanted.",I feel so unsignificant when my coworkers all get together and exclude me.,"It would not usually be a sign of love or appreciation when someone is excluded from group activities.
This is why the sentence is a sarcasm.",79.99188304,0.6836861372,0.9161515236,Sarcasm,FLUTE,1,1,1
12,Love how rats calm me down and make me feel like I am in heaven.,I hate the fact that rats make me feel so stressed and uncomfortable.,Hate how rats rile me up and make me feel like I am in hell.,"Being around rats is not a calming and pleasant experience and so the speaker is being sarcastic in saying that rats make them feel like they are in heaven.
This is why the sentence is a sarcasm.",79.72565591,0.6775390506,0.9169740677,Sarcasm,FLUTE,1,1,1
13,Yesterday my co-worker got the promotion that I was gunning for and now I feel really good about it,"Yesterday my co-worker got the promotion that I was hoping to get, but now I am not pleased with that outcome.",Yesterday my co-worker got the promotion that I was gunning for and now I feel really bad about it,"It is not normal to feel happy when someone else receives a promotion instead of oneself, so this statement is sarcastic.",85.36615372,0.7678931952,0.9394298792,Sarcasm,FLUTE,0.5,1,0.75
14,I just love the sound of people's voices when they try to make small talk.,I just hate the sound of people's voices when they try to make small talk.,I just despise the sound of people's voices when they try to make small talk.,"Small talk can sometimes be seen as tiresome, so someone expressing love for it is not something normal.
This is why the sentence is sarcasm.",92.55628586,0.8541590571,0.99696666,Sarcasm,FLUTE,1,1,1
15,I feel delighted that all my work disappeared when I walked away from the computer for a second,All my work disappeared when I walked away from the computer for a second and I was really disappointed about it.,I walked away from the computer for a second and when I returned I had lost all of my work.,"All your work disappearing when you walk away from the computer is a disastrous event and any normal person would not be delighted about it.
This is why the sentence is a sarcasm.",82.5663507,0.7248182893,0.9265087247,Sarcasm,FLUTE,1,1,1
16,I love how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!,I am frustrated with how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!,I hate how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!,"Insurance companies denying valid claims is something that is definitely not good and should not be loved by anyone, thus the sentence is a sarcasm.",91.33894742,0.8487015963,0.978077352,Sarcasm,FLUTE,1,1,1
17,"I work so hard, and it's amazing how some of my friends have no idea what fun 'hard work' really is because they are blessed by being born into wealth",I have to work a lot and it's amusing to me that some of my friends don't understand the difficulty of hard work because they were born into wealth and have it easier.,"I work so hard, and it's annoying how some of my friends have no idea what stressful 'hard work' really is because they are blessed by being born into wealth","The speaker is implying that hard work is not fun, and also sarcastically implying that wealthy people have it easy.
This is why the sentence is a sarcasm.",81.8462491,0.7059642673,0.9309607148,Sarcasm,FLUTE,0.5,0,0.25
18,I was so excited about the job interview because I felt like I didn't have any answers to their questions.,I was really nervous and unsure of myself going into the job interview because I didn't have any answers prepared.,A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,"Although someone may feel excited about a job interview, they would typically feel confident in their answers and not feel like they did not have any answers to their questions. This is why the sentence is a sarcasm.",80.12777269,0.6895152926,0.9130401611,Sarcasm,FLUTE,1,1,1
19,I feel extremely proud of myself for succumbing to my cravings and eating an entire ice cream sundae by myself,I am ashamed of myself for succumbing to my cravings and eating an entire ice cream sundae by myself.,I totally fell off my diet wagon this past weekend by eating a whole ice cream sundae by myself.,"Eating an entire ice cream sundae by oneself is usually seen as an unhealthy indulgence and something to feel ashamed of.
This is why the sentence is a sarcasm.",77.50054002,0.6315124631,0.9184983373,Sarcasm,FLUTE,1,1,1
20,I absolutely adore the fact that I have to work on Sunday and miss all the family time.,I detest the fact that I have to work on Sunday and miss all the family time.,I absolutely hate the fact that I have to work on Sunday and miss all the family time.,Most people would not be happy about having to work on a Sunday when they could be spending time with their family and hence the speaker is not really enthusiastic but being sarcastic.,89.66590166,0.804279387,0.9890386462,Sarcasm,FLUTE,1,1,1
21,My friend just bought a new Porsche and I feel really proud about the fact that I can't even afford a scooter,I am jealous that my friend just bought a new Porsche and I can't even afford a scooter.,My friend just bought a new Porsche and I feel really disappointed about the fact that I can't even afford a scooter,"It would be normal for someone to feel jealous when their friend buys an expensive item like a Porsche, while they are poor enough to not even afford a scooter
This is why the sentence is a sarcasm.",82.15027153,0.6896601319,0.9533452988,Sarcasm,FLUTE,1,1,1
22,I was once really hopeful that a boy liked me but was extremely happy to find out he was in love with my bestie,I was once really hopeful that a boy liked me but was extremely disappointed to find out he was in love with my bestie.,I was once really hopeful that a boy liked me but was extremely sad to find out he was in love with my bestie,"The fact that someone's crush is in love with their best friend is not something to be happy about because it may mean that the person does not have a chance at starting a relationship with their crush.
This is why the sentence is a sarcasm.",95.08600831,0.9113443494,0.9903758168,Sarcasm,FLUTE,1,1,1
23,I saw a man put honey on his lasagna and it absolutely didn't make me sick to my stomach,I was horrified to see someone put honey on their lasagna.,I saw a man put honey on his lasagna.,"Putting honey on lasagna is a strange combination and so someone putting it on their lasagna would make others feel sick to their stomach because of how gross it sounds.
This is why the sentence is a sarcasm.",82.05104172,0.6894431114,0.951577723,Sarcasm,FLUTE,1,1,1
24,In the middle of the argument my lovely wife gave me a wonderful gift by screaming that I am not the father of my son.,In the middle of the argument my lovely wife gave me a terrible gift by screaming that I am not the father of my son.,In the middle of the argument my lovely wife gave me a brutal scourge by screaming that I am not the father of my son.,"The statement is meant to be sarcastic because a wife screaming at her husband that he is not the father of their child does not constitute a gift. 
Therefore, this is sarcasm.",87.09656894,0.7652260661,0.9767053127,Sarcasm,FLUTE,1,1,1
25,"I'm such a good person because I rob innocent teenagers who are just trying to get an education, in order to get money for my drugs.","I'm such a terrible person because I rob innocent teenagers who are just trying to get an education, in order to get money for my drugs.","I'm an awful person because I rob innocent teenagers who are just trying to get an education, in order to get money for my drugs.","Most people would see robbing and taking advantage of innocent teenagers as a terrible thing and not something that makes a person good.
This is why the sentence is a sarcasm.",93.66821349,0.8794838786,0.9938803911,Sarcasm,FLUTE,1,1,1
26,I feel great that I am not following my wife's diet instructions and instead am cheating,"I'm not following my wife's diet instructions and instead I'm cheating, I feel so ashamed of myself.",I feel awful that I am not following my wife's diet instructions and instead am cheating,"Going against one's wife's instructions and not following the diet plan would not be good and so they would not feel great after doing that.
This is why the sentence is a sarcasm.",84.84522402,0.7452359796,0.9516685009,Sarcasm,FLUTE,1,1,1
27,I am so satisfied with my printer because it doesn't print correctly and I really enjoy defunct devices.,"I paid a lot of money for this printer and it doesn't print correctly, and I don't like broken machines.",I can't get my printer to work properly and it's driving me crazy.,A printer that doesn't print correctly is not only frustrating but also a waste of money because it was bought with the expectation that it would function so one cannot be satisfied. This is why the sentence is a sarcasm.,72.89761603,0.5509359241,0.9070163965,Sarcasm,FLUTE,1,1,1
28,I am absolutely elated that my loyal wife of 10 years has been unfaithful to me,I am absolutely devastated that my loyal wife of 10 years has been unfaithful to me.,I am absolutely heavy-hearted that my loyal wife of 10 years has been unfaithful to me,"A wife being unfaithful to her husband is not something to be pleased about because it means that the trust and commitment that were once there are now gone.
This is why the sentence is a sarcasm.",90.07802606,0.8178381324,0.9837223887,Sarcasm,FLUTE,1,1,1
29,"I was so glad that my food arrived and there was a hair in it, making my stomach excited.","I was so disappointed that my food arrived and there was a hair in it, making my stomach upset.","I ordered McDonalds with the new delivery service, the food was disgusting and had a hair in it.","No one should be excited to find a hair in their food, as it is unhygienic and it makes the experience worse.
This is why the sentence is a sarcasm.",74.42243695,0.5757505894,0.9126981497,Sarcasm,FLUTE,1,1,1
30,I love that my dog barks every time I try to have a conversation on the phone.,It's absolutely great that my dog interrupts me every time I try to talk on the phone.,I hate that my dog barks every time I try to have a conversation on the phone.,"The barking of a dog can be really distracting and it is not conducive to having a conversation.
This is why the sentence is a sarcasm.",73.82648587,0.5300754309,0.9464542866,Sarcasm,FLUTE,0,0,0
31,I absolutely love myself for going on a date without only to realize there is no money in my bank account,"I am very unhappy with myself for going on a date without money, only to then realize that my bank account was empty.",I absolutely resent myself for going on a date without only to realize there is no money in my bank account,"Going on a date without money is both uncomfortable and embarrassing, especially if one realizes it only afterwards.
This is why the sentence is a sarcasm.",85.47584414,0.7707214355,0.9387954473,Sarcasm,FLUTE,1,1,1
32,I feel elated that I dozed off during my date last night.,I am embarrassed that I dozed off during my date last night.,I fell asleep during my date last night.,"Falling asleep during a first date is a sign of disrespect for the other person and thus it should not make the person elated but rather embarrassed.
This is why the sentence is a sarcasm.",78.37527394,0.610717237,0.9567882419,Sarcasm,FLUTE,1,1,1
33,I am proud to admit that I ate all the pizza rolls in the bag last night,"Yesterday, I ate all of the pizza rolls in the bag.",I am embarrased to admit that I ate all the pizza rolls in the bag last night,"Eating all of the pizza rolls in the bag is an unhealthy thing to do and so no one should be proud of themselves for it.
This is why the sentence is a sarcasm.",77.44064629,0.6190123558,0.92980057,Sarcasm,FLUTE,0,0,0
34,I bought excellent quality headphone cords with a special feature where they are so tiny that they don't reach your ears.,"I bought headphone cords with a special feature of being very small, but the cords were not long enough to reach my ears.",I bought horrible quality headphone cords with a special feature where they are so tiny that they don't reach your ears.,The sentence is sarcastic because it implies that the quality of the headphone cords and the feature it offers is not useful as it doesn't even reach the ears.,82.37042427,0.717184782,0.9302237034,Sarcasm,FLUTE,0,0,0
35,I love seeing any type of bullying because it makes me really furious.,I hate seeing any type of bullying because it makes me really angry.,I detest seeing any type of bullying because it makes me really furious.,"Bullying is a terrible thing and no one should be happy to see it as it is likely to cause more harm.
This is why the sentence is a sarcasm.",91.01498425,0.8315653205,0.9887343645,Sarcasm,FLUTE,1,1,1
36,My family cannot agree on what to eat for dinner and it's really a good use of time.,"We can never decide what to eat for dinner, and it's such a great way to spend our time.",My family cannot agree on what to eat for dinner and it's a waste of time.,"Most families tend to disagree on what to eat for dinner and this can often lead to a lot of disagreements and wasted time.
This is why the sentence is a sarcasm.",81.07666969,0.693216145,0.9283172488,Sarcasm,FLUTE,0,0,0
37,I've never felt so calm and cool knowing that I am going to go sky diving this weekend with my best friend.,I've never felt so scared and anxious knowing that I am going to go sky diving this weekend with my best friend.,This weekend Im going to go sky diving with my best friend and I hate heights!,"Sky diving is a dangerous activity and so someone who feels 'calm and cool' about it does not make sense.
This is why the sentence is a sarcasm.",74.84090924,0.5826987624,0.9141194224,Sarcasm,FLUTE,1,1,1
38,I jumped for joy when I left the hair salon and my new hair color was not what I asked for,I was disappointed when I left the hair salon and my new hair color was not what I asked for.,I down with sadness when I left the hair salon and my new hair color was not what I asked for,"Generally, when people leave the hair salon, they should be pleased with the results having their desired hair color, not disappointed which is usually the case when the hair color is not what was asked for.
This is why the sentence is a sarcasm.",88.26670945,0.7987812161,0.9665529728,Sarcasm,FLUTE,1,1,1
39,It makes me so glad when people litter around my apartment building.,I really hate seeing people throw trash around my apartment building like if it was the most normal thing to do.,People keep littering around my apartment building.,"Littering in front of one's apartment building is not something that should be celebrated, as it creates an unsightly environment and also has the potential to harm animals or people who come in contact with it.
This is why the sentence is a sarcasm.",74.09562767,0.573369801,0.9085427523,Sarcasm,FLUTE,1,1,1
40,I am excited about how much it will cost to repair the damage I did to my car yesterday,I am worried about how much it will cost to repair the damage I did to my car yesterday.,I am tensed about how much it will cost to repair the damage I did to my car yesterday,"When someone damages their car, it often costs a lot of money to repair it and so being excited about the prospect of having to pay for the damage is not logical.
This is why the sentence is a sarcasm.",92.59979725,0.8765395284,0.9754564166,Sarcasm,FLUTE,1,1,1
41,I absolutely love my sister because she always talks shit about me behind my back,My sister talks bad things about me behind my back.,I absolutely hate my sister because she always talks shit about me behind my back,"Expressing love towards someone who talks bad things behind one's back is illogical.
This is why the sentence is a sarcasm.",83.25049579,0.7212073207,0.9438025951,Sarcasm,FLUTE,0,0,0
42,I was so thrilled when someone decided to push me and made me fall in the subway,I was so appalled when someone decided to push me and made me fall in the subway.,I was very angry in the subway when someone who wanted to get off at the very last minute pushed me and made me fall.,Being pushed by someone and falling in the subway is not a safe thing to happen as it can cause someone to get hurt. This is why this sentence is a sarcasm.,82.76129663,0.7118167877,0.9434091449,Sarcasm,FLUTE,1,1,1
43,I felt proud of humanity when I saw the woman being extremely disrespectful to another woman of color at the mall.,I felt disgusted when I saw the woman being extremely disrespectful to another woman of color at the mall.,I felt ashamed of humanity when I saw the woman being extremely disrespectful to another woman of color at the mall.,"Someone can not be proud when seeing someone else being disrespectful to someone else.
This is why the sentence is a sarcasm.",90.68337381,0.8316414952,0.9820259809,Sarcasm,FLUTE,1,1,1
44,I'm glad I made a fool of myself by tripping over the rug in the lobby at work.,I made a fool of myself by tripping over the rug in the lobby at work.,I'm embarrassed I made a fool of myself by tripping over the rug in the lobby at work.,"Tripping over a rug in public would be very embarrassing, so it would not be something to be glad about.
This is why the sentence is a sarcasm.",86.90719008,0.7647915483,0.9733522534,Sarcasm,FLUTE,0.5,1,0.75
45,It really makes me happy when the person I live with still doesn't want to pay bills on time,The person I live with is still resisting the idea of paying bills on time.,It really makes me vexed when the person I live with still doesn't want to pay bills on time,"Paying bills on time is a necessary part of financial responsibility and so it is bad when someone does not want to pay them on time.
This is why the sentence is a sarcasm.",81.98674321,0.7122861147,0.9274487495,Sarcasm,FLUTE,0,0,0
46,Why does it make me so excited when people don't pick up my calls?,I'm disappointed that no one is answering my calls.,Why does it make me so annoyed when people don't pick up my calls?,"People are typically not excited when their calls are not picked up, as it implies there is little interest in speaking to them.
This is why the sentence is a sarcasm.",80.51843047,0.702365458,0.9080031514,Sarcasm,FLUTE,1,1,1
47,I was at a party with my boyfriend and he ignoring me there made me feel super loved,I was at a party with my boyfriend and his ignoring me was a sign of his lack of love for me.,"I was at a party with my boyfriend, and he seemed to be ignoring me.","Being ignored by your boyfriend at a party is not the sign which make a person feel loved.
This is why the sentence is a sarcasm.",86.3663435,0.7694755793,0.9578512907,Sarcasm,FLUTE,1,1,1
48,"I just love the customer who is trying to stiff the company by refusing to pay the bill and pretending that it has already been paid, how classy.",I disapprove of the customer who is attempting to get away with not paying the bill by pretending that it has already been paid.,"I just abhor the customer who is trying to stiff the company by refusing to pay the bill and pretending that it has already been paid, how cheap.",Pretending to pay a bill when one has not is not a classy act and most likely illegal. Someone who praises this act as classy is being sarcastic.,79.56640422,0.6437788606,0.9475492239,Sarcasm,FLUTE,1,1,1
49,I am so overjoyed that I will not be able to make my mortgage payments and lose my home,"I was relying on making my mortgage payments, but now I'm facing the possibility of losing my home.",I am so worried that I will not be able to make my mortgage payments and lose my home,"Making mortgage payments is part of maintaining the agreed-upon contracted rights of a home loan, and so not being able to make them would be a huge letdown rather than overjoyed.
This is why the sentence is a sarcasm.",80.79629838,0.6966722608,0.9192537069,Sarcasm,FLUTE,0.5,0,0.25
50,I was overjoyed when someone backed into my new SUV while driving through the parking lot the other day and,I was filled with outrage when someone backed into my new SUV while driving through the parking lot the other day.,I was furious when someone backed into my new SUV while driving through the parking lot the other day and,"The driver of the other car was at fault for the accident and not the person who's car got damaged, so feeling joy at that situation is not warranted.
This is why the sentence is a sarcasm.",88.76222968,0.800100863,0.9751437306,Sarcasm,FLUTE,1,1,1
51,I love people that invade my personal space and make me feel uncomfortable.,I get aggravated with people who don't understand personal space.,I hate people that invade my personal space and make me feel uncomfortable.,"People who invade personal space without invitation can make someone feel uncomfortable and unwelcome. So it's not normal to love someone who does this.
This is why the sentence is a sarcasm.",74.09282029,0.5675579906,0.9142984152,Sarcasm,FLUTE,1,1,1
52,I was thrilled to find out that all my effort for studying last week resulted in a failing grade,I was dismayed to find out that all my effort for studying last week resulted in a failing grade,I was depressed to find out that all my effort for studying last week resulted in a failing grade,"A failing grade is never something to be thrilled about as it means that all the hard work put in was for nothing.
This is why the sentence is a sarcasm.",93.69457066,0.8854626417,0.9884287715,Sarcasm,FLUTE,1,1,1
53,"Thrilled with how two very responsible guys who RSVP'd for the flag football game didn't bother to show up, so I was stuck with a half-baked event.","I was delighted that the two very reliable guys who RSVP'd for the flag football game didn't bother to appear, so I was left with an unfinished and inadequate event.","Upset with how two irresponsible guys who RSVP'd for the flag football game didn't bother to show up, so I was stuck with a half-baked event.","To be stuck with a half-baked event means to be stuck with an unsatisfactory event, and in this sentence the speaker is being sarcastic and insinuating that the two irresponsible guys were the cause of their unsatisfactory event.
This is why the sentence is a sarcasm.",78.40574682,0.6301441789,0.9379707575,Sarcasm,FLUTE,0,0,0
54,I love being broke and absolute relaxed over the fact that I might not have enough money to buy food next month.,I sometimes wish that I had enough money to buy food for the upcoming month.,I hate being broke and absolute relaxed over the fact that I might not have enough money to buy food next month.,"Being broke means not having enough money for essentials like food and being relaxed about it implies that there is an acceptance of the present unfortunate situation.
This is why the sentence is a sarcasm.",75.63968599,0.5980111957,0.9147825241,Sarcasm,FLUTE,0.5,0,0.25
55,I was really happy when I got my car back and found out that it was filled with used diapers,I was really upset when I got my car back and found out that it was filled with used diapers.,I was really angry when I got my car back and found out that it was filled with used diapers,"Finding out that one's car is filled with used diapers would not be a happy occurance but rather filled with frustration and anger. 
This is why the sentence is a sarcasm.",92.4959451,0.8593003154,0.9906185865,Sarcasm,FLUTE,1,1,1
56,So blessed my new Toyota Camry got hit by this awesome guy. It really gave my car some personality.,I was extremely unhappy when someone crashed into my new Toyota Camry and caused extensive damage to it.,So unfortunate my new Toyota Camry got hit by this awesome guy. It really gave my car some personality.,"Being hit in a car accident likely means that the car sustained severe damage, rendering it useless and unable to be driven.
This is why the sentence is a sarcasm.",75.38264394,0.60524863,0.9024042487,Sarcasm,FLUTE,1,1,1
57,I love it when I meet a Tinder date and she looks nothing like her pictures.,It's really depressing when a Tinder date looks nothing like they do in their pictures.,I hate it when I meet a Tinder date and she looks nothing like her pictures.,"People adjusting their looks in pictures is one of the drawbacks of online dating and it can be really disappointing to meet someone who looks different in person.
This is why the sentence is a sarcasm.",81.12256229,0.6822234392,0.9402278066,Sarcasm,FLUTE,0.5,1,0.75
58,I just love the feeling of something creeping up on me in the middle of the night.,I was terrified when something started to move near me in the middle of the night.,I despise the feeling of something creeping up on me in the middle of the night.,"Generally, something creeping up on us in the middle of the night is an unpleasant experience and thus the statement is a sarcasm.",80.72439134,0.679571569,0.9349162579,Sarcasm,FLUTE,1,1,1
59,I was so delighted to see my coworker eat their boogers right at work,I was so disgusted to see my coworker eat their boogers right at work.,I was so disgusted to see my coworker eat their boogers right at work,"Seeing someone eat their boogers is a disgusting sight and most people would not be delighted about it.
This is why the sentence is a sarcasm.",98.99297357,0.9861801267,0.9936793447,Sarcasm,FLUTE,1,1,1
60,"My puppy ruined my planned outing by peeing on my clothes, and I was so happy about it that I tried to cuddle her","My puppy destroyed my plans by urinating on my clothes, and I was so angry about it that I wanted to hug her.","My puppy urinated on my outing cloth, I became so angry, that I tried to hit her","It is highly unlikely for someone to be happy about their clothing being ruined by their pet, and so the statement is sarcastic.",74.76747632,0.5630627871,0.9322867393,Sarcasm,FLUTE,0.5,0,0.25
61,I love how my partner nitpicks almost every little thing in our relationship,I hate how my partner nitpicks almost every little thing in our relationship,I dislike how my partner nitpicks almost every little thing in our relationship,"Nitpicking is a negative behavior which exacerbates issues and fuels petty arguments, creating an unsatisfying atmosphere in a relationship.
This is why the sentence is a sarcasm.",93.67022812,0.8779079318,0.9954966307,Sarcasm,FLUTE,1,1,1
62,It is absolutely fair how all my friends get to travel to all these amazing places for work and I get to hang out at home,It really is unfair how all my friends get to travel to all these amazing places for work and I'm just confined to staying home.,It is absolutely unfair how all my friends get to travel to all these amazing places for work and I get to hang out at home,"It is not fair that some people get to travel to amazing places for work while others don't get to travel at all.
This is why the sentence is a sarcasm.",86.60533428,0.7679478526,0.964158833,Sarcasm,FLUTE,1,1,1
63,I was thrilled when my dog destroyed the model airplane I had been building for weeks,I was disappointed when my dog destroyed the model airplane I had been building for weeks,I was vexed when my dog destroyed the model airplane I had been building for weeks,"A model airplane is usually a cherished item for someone who likes to build them and so seeing it destroyed would be a frustrating experience, not a thrilling one.
This is why the sentence is a sarcasm.",93.02151501,0.873177588,0.9872527122,Sarcasm,FLUTE,1,1,1
64,I am not worried at all that the fuel might not be enough to take me to the next gas station before I run out.,I am really not concerned that I might not have enough fuel to reach the next gas station.,I am really worried that the fuel might not be enough to take me to the next gas station before I run out.,"Most people would be worried about having enough fuel to make the necessary journey before running out of fuel.
This is why the sentence is a sarcasm.",79.72433269,0.6500630975,0.9444235563,Sarcasm,FLUTE,0,0,0
65,I feel like humanity is really going in the right direction after watching a lot of true crime shows,It truly seems like humanity is regressing after watching a lot of true crime shows.,I feel like humanity is going in the wrong direction after watching a lot of true crime shows,"Most people would not be optimistic after watching a lot of true crime because that could make them more anxious.
This is why the sentence is a sarcasm.",82.838431,0.7039074302,0.9528611898,Sarcasm,FLUTE,1,1,1
66,I was really glad when TSA made me pull down my pants at the airport yesterday,I was furious when TSA made me pull down my pants at the airport yesterday.,I was really embarrassed when TSA made me pull down my pants at the airport yesterday,"TSA protocols can be intrusive and so having to pull down one's pants at the airport would not lead to someone being 'glad'.
This is why the sentence is a sarcasm.",85.96898913,0.7436881065,0.9756916761,Sarcasm,FLUTE,1,1,1
67,I feel really calm when my husband leaves his dirty clothes on the floor.,I feel really frustrated when my husband leaves his dirty clothes on the floor.,I feel really worked up when my husband leaves his dirty clothes on the floor.,"Seeing someone's dirty clothes on the floor can evoke anger or frustration, not a sense of peace or calmness.
This is why the sentence is a sarcasm.",91.5399164,0.8437254429,0.987072885,Sarcasm,FLUTE,1,1,1
68,I love how I have been trying to quit smoking for years now but its still a work in progress,I am frustrated with how long the process of quitting smoking has taken me and the lack of progress I have made,I tired about how I have been trying to quit smoking for years now but its still a work in progress,Quitting smoking is a difficult process and often can take a long time for it to be successful so it is sarcastic to say that one loves the process.,76.84485018,0.6380161643,0.8988808393,Sarcasm,FLUTE,1,1,1
69,Tahiti is one of the beautiful places on Earth and I am thrilled my best friend gets to go there unlike me who is rotting here.,Tahiti is one of the beautiful places on Earth and I am not thrilled my best friend gets to go there unlike me who is stuck here.,Tahiti is one of the beautiful places on Earth and I am dejected my best friend gets to go there unlike me who is rotting here.,"The beauty of Tahiti is often mentioned and this joke implies that the speaker is not thrilled that their best friend gets to visit Tahiti while they have to stay at home.
This is why the sentence is a sarcasm.",86.37988567,0.7575476766,0.9700500369,Sarcasm,FLUTE,1,1,1
70,I felt really loved when my sister said some really mean things to me that hurt my feelings,I felt really unloved when my sister said some really mean things to me that hurt my feelings.,I recently got very upset with my sister when said some very mean things to me.,"Being spoken to in a mean way does not typically epitomize love, which is why this sentence is said in a sarcastic manner.",80.49053848,0.6793194413,0.9304913282,Sarcasm,FLUTE,1,1,1
71,Really happy about the fact that I bombed my job interview!,My job interview didn't go well and I was not pleased about it.,Really annoyed about the fact that I bombed my job interview!,"When someone ""bombs"" an interview, it means that it was unsuccessful so someone would not be happy or thrilled about that.
This is why the sentence is a sarcasm.",79.46508825,0.6898177862,0.8994839787,Sarcasm,FLUTE,1,1,1
72,It makes me feel amazing when I think about the fact that my wonderful co-worker who barely does anything is making more money than I do.,It makes me feel annoyed when I think about the fact that my lazy co-worker who barely does anything is making more money than I do.,It makes me feel resentful when I think about the fact that my lazy co-worker who barely does anything is making more money than I do.,"Someone who barely does anything and is not productive does not deserve to make more money than someone who is hardworking and deserves it.
This is why the sentence is a sarcasm.",97.19406962,0.9508077502,0.9930736423,Sarcasm,FLUTE,1,1,1
73,I absolutely love how customer service reps with attitudes make me feel like crap,I feel terrible when customer service reps are rude.,I absolutely hate how customer service reps with attitudes make me feel like crap,"This statement is a sarcastic comment on how customer service reps can be unhelpful and dismissive, which is usually demeaning and makes the customer feel unheard and unvalued.",80.01447022,0.6743795872,0.9259098172,Sarcasm,FLUTE,1,1,1
