Hypothesis,Premise,Type,Explanation,Label,SarcasmSimilarity,Source,Literal Translation,Score,BLEURT,BERT,HE1,HE2,Avg HE
"When I got the pizza, I was really satisfied by the lack of toppings","When I got the pizza, I was really unsatisfied by the lack of toppings",Sarcasm,"Most people would be happy if they received a pizza with lots of toppings, so someone being satisfied by the lack of toppings doesn't seem rational.",Contradiction,UNQ,FLUTE,I was so unhappy to get a pizza with no toppings.,83.25167298,0.7422466874,0.9227867723,1,1,1
I feel so loved when my coworkers all get together and exclude me.,I feel so unsignificant when my coworkers all get together and exclude me.,Sarcasm,Feeling left out and not being part of a group is usually an indicator that someone is not loved or wanted by that group and so the person feels unimportant and disliked.,Contradiction,UNQ,FLUTE,My coworkers all hung out together without inviting me again.,73.1551379,0.5693841577,0.8937186003,0,0,0
Love how rats calm me down and make me feel like I am in heaven.,Hate how rats rile me up and make me feel like I am in hell.,Sarcasm,Rats are often seen as dirty and disease-carrying creatures and so someone who loves them or finds them calming isn't truthful,Contradiction,UNQ,FLUTE,I despise how rats make me nervous and make me feel uncomfortable.,80.01844585,0.6672602892,0.9331086278,1,1,1
Yesterday my co-worker got the promotion that I was gunning for and now I feel really good about it,Yesterday my co-worker got the promotion that I was gunning for and now I feel really bad about it,Sarcasm,"A promotion at work is usually seen as a matter of self accomplishment, so someone being happy about their co-worker getting it instead of themselves is not logical.",Contradiction,UNQ,FLUTE," Yesterday my co-worker got the promotion that I wanted, but I am not pleased about it.",85.37836075,0.7670013905,0.9405658245,1,1,1
I just love the sound of people's voices when they try to make small talk.,I just despise the sound of people's voices when they try to make small talk.,Sarcasm,People's voices often sound annoying when they try to make small talk because it is usually just a way to fill awkward silence and not genuine conversation.,Contradiction,UNQ,FLUTE,I just hate the sound of people's voices when they try to make small talk.,92.55628884,0.8541590571,0.9969667196,1,1,1
I feel delighted that all my work disappeared when I walked away from the computer for a second,I walked away from the computer for a second and when I returned I had lost all of my work.,Sarcasm,"Usually work is saved before walking away from the computer, so it would be frustrating if it all disappeared and hence the person would not feel delighted but rather angry or upset.",Contradiction,UNQ,FLUTE,All my work disappeared when I walked away from the computer for a second.,84.22881365,0.755382359,0.9291939139,0,0,0
I love how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!,I hate how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!,Sarcasm,"A health insurance company is supposed to help people cover the costs of medical treatments and procedures, but if they deny a valid claim then it would cause the person to have to pay out of their own pocket which is not something to love at all.",Contradiction,UNQ,FLUTE,I hate how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!,98.46218228,0.9692438245,0.9999998212,1,1,1
"I work so hard, and it's amazing how some of my friends have no idea what fun 'hard work' really is because they are blessed by being born into wealth","I work so hard, and it's annoying how some of my friends have no idea what stressful 'hard work' really is because they are blessed by being born into wealth",Sarcasm,Being born into wealth is not a good thing because it gives people an unfair advantage and makes them ungrateful for all the opportunities they have been given in life and hence it isn't amazing to not have an idea on what it means to work hard.,Contradiction,UNQ,FLUTE,Some of my friends are lucky because they were born into wealthy families so they don't understand what hard work is.,76.77913606,0.6308330297,0.9047496915,0.5,0.5,0.5
I was so excited about the job interview because I felt like I didn't have any answers to their questions.,A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,Sarcasm,A job interview is a process where the interviewer tries to assess if the interviewee is fit for the job and so not having any answers to their questions would imply that the person is not suitable for the role and hence there is no reason to be psyched.,Contradiction,UNQ,FLUTE," I was really looking forward to the job interview, even though I had no idea how to answer their questions.",71.22343779,0.5389597416,0.8855090141,0,0,0
I feel extremely proud of myself for succumbing to my cravings and eating an entire ice cream sundae by myself,I totally fell off my diet wagon this past weekend by eating a whole ice cream sundae by myself.,Sarcasm,Giving in to cravings and eating an entire ice cream sundae by oneself is not a good thing because it can lead to weight gain and a feeling of guilt.,Contradiction,UNQ,FLUTE,I feel guilty for succumbing to my cravings and eating an entire ice cream sundae by myself.,77.41620839,0.6325474977,0.91577667,1,1,1
I absolutely adore the fact that I have to work on Sunday and miss all the family time.,I absolutely hate the fact that I have to work on Sunday and miss all the family time.,Sarcasm,Most people would not like to have to work on a day when they could be spending time with their family and hence the speaker is not happy about it either,Contradiction,UNQ,FLUTE,I strongly dislike the fact that I have to work on Sunday and miss all the family time.,90.15639424,0.8123675585,0.9907603264,1,1,1
My friend just bought a new Porsche and I feel really proud about the fact that I can't even afford a scooter,My friend just bought a new Porsche and I feel really disappointed about the fact that I can't even afford a scooter,Sarcasm,"It would be normal for someone to feel some jealousy when their friend buys an expensive item like a Porsche, while they are poor enough to not even afford a scooter",Contradiction,UNQ,FLUTE,I feel frustrated and envious that my friend just bought a new Porsche and I cannot even afford a scooter.,83.46596062,0.7209094167,0.9484097958,1,1,1
I was once really hopeful that a boy liked me but was extremely happy to find out he was in love with my bestie,I was once really hopeful that a boy liked me but was extremely sad to find out he was in love with my bestie,Sarcasm,Finding out that the boy you like is actually in love with your best friend is not a good thing because it means that he is not interested in you and probably never will be.,Contradiction,UNQ,FLUTE,I was once really disappointed that a boy liked me but was extremely relieved to find out he was in love with my bestie,88.48577142,0.7930648923,0.9766505361,0,0,0
I saw a man put honey on his lasagna and it absolutely didn't make me sick to my stomach,I saw a man put honey on his lasagna.,Sarcasm,"Most people would not want to put honey on their lasagna because it makes the dish really sweet, overpowers the flavors of the cheese, tomatoes and ground beef and makes it inedible.",Contradiction,UNQ,FLUTE,I was disgusted to see this man put honey on his lasagna.,82.29242265,0.6900024414,0.9558460116,1,1,1
In the middle of the argument my lovely wife gave me a wonderful gift by screaming that I am not the father of my son.,In the middle of the argument my lovely wife gave me a brutal scourge by screaming that I am not the father of my son.,Sarcasm,Someone's wife who is lovely would not scream during an argument because it increases the tension and will not result in a resolution and the revelation here is actually something that would ruin the relationship further.,Contradiction,UNQ,FLUTE,In the middle of the argument my wife made an unhelpful comment about the paternity of my son.,78.52538526,0.6404187083,0.9300889969,0.5,0.5,0.5
Your clothes make people laugh.,Your clothes are funny.,Simile,,,,AB,Your clothes are like a joke to people.,79.39729691,0.649969101,0.9379768372,0.5,0.5,0.5
Your words are like a child's.,You words are unintelligible.,Simile,,,,AB,Your words are innocent and naive.,70.23763061,0.4941616654,0.9105909467,0.5,0.5,0.5
"God, I'm beautiful even with all these freaks still clambering over my back, stitching me up with all that snake-like twine theyd used in my operation, I look like a vogue model.","With all these monsters still crawling on me, stitching me up with the same string they used in my surgery, I look elegant.",Simile,"Vogue models are known for being high fashion and beautiful, even in the midst of chaos, so the simile implies the person looks very elegant despite the chaos around them.",Entailment,UNQ,FLUTE," God, I'm attractive even with all these bizarre people still climbing over me, sewing me up with all the serpentine thread they used in my surgery, I appear like a vogue model.",75.48136115,0.5854135752,0.9242136478,0,0,0
"cherek,"" I replied in a pained tone, 'that path's like a broken-backed snake","Cherek,"" I replied in a pained tone, 'that path is crooked.",Simile,A broken-backed snake is a snake that has been injured and is no longer able to move in a straight line but moves in a rather crooked manner.,Entailment,UNQ,FLUTE," ""Cherek,"" I replied in a pained tone, 'that path was difficult and winding.",85.79556644,0.7548080683,0.9611032605,0.5,0.5,0.5
Your voice is like you've just run a marathon.,Your voice sounds tired and out of breath.,Simile,,,,AB,Your voice is tired and out of breath.,93.37959588,0.882080853,0.9855110645,1,1,1
Your smile is like a daisy in amongst the sunflowers.,Your smile is stands out among other features of your face.,Simile,,,,AB,Your smile is unique and stunning compared to the others.,78.72242928,0.7344407439,0.8400078416,0.5,1,0.75
I'm as hairy as a naked mole rat,I'm bald,Simile,"A naked mole rat is a hairless creature, so the simile is saying that the person is just as bald as a naked mole rat.",Entailment,UNQ,FLUTE,I have a lot of body hair.,62.68458664,0.3469411731,0.9067505598,0,0,0
Your movements remind me of a robot.,Your movements are stiff.,Simile,,,,AB,Your movements look artificial and mechanical.,76.39527023,0.5804962516,0.947409153,1,1,1
That is why it is so important to remain like a planted oak,That is why its essential to stay firm.,Simile,"An oak is a very strong, sturdy tree that can stay firm.",Entailment,UNQ,FLUTE,That is why it is so important to remain firmly planted.,83.4261328,0.7131698728,0.9553527832,0,0,0
"When you confront him about it, he is like a beffudled toddler.",He is completely shocked when you talk to him about it.,Simile,"A beffudled toddler is one who is surprised and confused by something, which is how the person feels when confronted",Entailment,UNQ,FLUTE," When you confront him about it, he is confused and bewildered.",82.18249679,0.7166225314,0.9270274043,0.5,1,0.75
Off she went like a wreckingball.,Off she went destructively,Simile,"A wrecking ball is a heavy object that is swung to demolish buildings, so it is very destructive.",Entailment,UNQ,FLUTE,Off she went destructively.,95.72201073,0.9387449026,0.975695312,1,1,1
"I held my breath, waiting for what my gaze would fall upon, and I almost shrieked as I stared at his head, bald like a lamp post.","I was holding my breath, waiting to see what would be in front of me, and I almost screamed when I saw his bald head, it was so shiny.",Simile,"A lamp post is a tall, thin, and shiny object, which is why the person almost shrieked when they saw the bald head, because it was so shiny.",Entailment,UNQ,FLUTE," I held my breath, waiting for what I would see and I was almost extremely scared when I looked at him; his head was completely bald, like a lamp post.",80.03448248,0.6636276841,0.9370619655,0.5,0.5,0.5
"Streaks of electricity cackled through the air, swirling around and around like Lovecraftian tentacles.",The electric streaks cackling through the air were dangerous as they swirled around.,Simile,"Lovecraftian tentacles are dangerous, so the electric streaks are too.",Entailment,UNQ,FLUTE," Streaks of electricity flew through the air, swirling around uncontrollably.",80.65179288,0.7112947702,0.9017410874,0.5,0.5,0.5
He was feeling like a lone survivor returning from the battlefield.,He was feeling weary,Simile,"A lone survivor returning from the battlefield would be expected to be weary, as they would have been through a lot of fighting.",Entailment,UNQ,FLUTE,He was feeling like a only one left from a war who had returned from the battlefield.,59.71755534,0.3123500049,0.882001102,0,0,0
"The demons were closing in, but I was like an old man on a park bench, feeding pigeons on a warm summer afternoon.","Even though the demons were closing in, I remained calm.",Simile,"An old man on a park bench, feeding pigeons on a warm summer afternoon remains calm and unperturned and enjoy the surroundings, even if there are demons close in around.",Entailment,UNQ,FLUTE," Although the demons were coming closer and closer to me, I remained calm and collected, just like an elderly man feeding pigeons on a nice summer day in the park.",78.51714492,0.6568642855,0.9134786129,0.5,0.5,0.5
The bottle rolled off the table like a teardrop.,The bottle rolled off the table swiftly and smoothly.,Simile,,,,Kaggle,The bottle rolled off the table quickly and gracefully.,92.47488379,0.8636565804,0.9858410954,1,1,1
You behave like you haven't eaten in a while.,You seem cranky and hungry.,Simile,,,,AB,You act as if you have not eaten for a long time.,68.5221374,0.4788130522,0.8916296959,0,0,0
He was anxious like a lion.,He wasn't anxious at all.,Simile,"A lion is a fierce creature that is not easily scared, so to say someone is anxious like a lion would mean that they are not easily scared either.",Entailment,UNQ,FLUTE,He was very anxious.,79.16994095,0.652889967,0.930508852,0,0,0
He fought as hard as an opossum,He didn't put up a fight at all,Simile,"Opossums are known for ""playing dead"" when confronted with a predator, so this simile is implying that the person didn't fight at all.",Entailment,UNQ,FLUTE,He fought very hard.,65.579319,0.4112433195,0.9003430605,0,0,0
He's like a pig in a wallow.,He's dirty,Simile,"A pig in a wallow is a pig that is rolling around in the mud, so it is implied that the person is dirty.",Entailment,UNQ,FLUTE,He's lazy and comfortable.,59.1070801,0.2878425717,0.8942990303,0,0,0
After 10 minutes your head becomes like spinning cotton candy.,Your head will become fuzzy after 10 minutes.,Simile,"After 10 minutes of swimming in the pool, your head will become like spinning cotton candy, meaning it will become fuzzy.",Entailment,UNQ,FLUTE,After 10 minutes your head feels like it is spinning around like cotton candy.,71.22189403,0.5247994661,0.8996384144,0,0,0
You make me feel like a spare part.,You make me feel useless.,Simile,,,,AB,You make me feel like I don't belong.,80.73467016,0.6633572578,0.9513361454,1,1,1
The cake was as moist as the desert,The cake was really dry,Simile,"The desert is a very dry place, so the cake must be extremely dry if it is compared to the desert.",Entailment,UNQ,FLUTE,The cake was very moist.,77.84777284,0.5966282487,0.960327208,0,0,0
"meredith,"" he said, and he sounded like an elderly relative who just heard you say ""fuck"" for the first time.","Meredith,"" he said, sounding shocked.",Simile,"An elderly relative who just heard you say ""fuck"" for the first time would be quite shocked, so he is shocked.",Entailment,UNQ,FLUTE," Meredith,"" he said, and he sounded like an elderly relative who just heard you say an inappropriate word for the first time.",65.55288136,0.4110770226,0.8999806046,0,0.5,0.25
"Annwyl followed, making absolutely no sound, like a deer bounding through the trees.",Annwyl followed silently and gracefully.,Simile,A deer bounding through the trees is an example of something that is both silent and graceful.,Entailment,UNQ,FLUTE," Annwyl followed, moving with grace and agility, and making no sound, just like a deer jumping through the trees.",75.94321966,0.5972802043,0.9215841889,0.5,0.5,0.5
The night feels as long as a year,The night feels very long,Metaphor,,,,FIGQA,The night feels to last for an exceptionally long period of time.,81.7011416,0.708860755,0.925162077,1,1,1
you're as bright as a black hole,You're not bright at all.,Metaphor,,,,FIGQA,You are very intelligent.,65.0151968,0.3904647827,0.9098391533,0,0,0
The play was as thrilling as watching paint dry,the play was boring,Metaphor,,,,FIGQA,The play was boring.,96.3943541,0.9384354949,0.9894515872,1,1,1
It was as easy as herding cats into a swimming pool,It was not easy,Metaphor,,,,FIGQA,It was very difficult or impossible.,71.67800665,0.528724432,0.904835701,1,1,1
The external candidate was suited to the job like Italian gloves.,The external candidate is well suited to the job.,Metaphor,,,,FIGQA,The external candidate was perfectly suitable for the job as if he had been made to measure.,71.57427669,0.5069394708,0.9245460629,1,1,1
Though his pace he checked and slackened.,Though his pace he checked and gradually decreased in intensity.,Metaphor,Slackened means to become less in intensity,Entailment,UNQ,FLUTE,Though he decreased his speed and slowed down.,81.48961365,0.711779356,0.918012917,1,1,1
DHS continues to issue guidance and sample templates via the CBSM to assist lead agencies in documenting that non-enrolled vendors meet all applicable service standards.,DHS continues to issue guidance and sample templates via the CBSM to assist lead agencies in documenting that non-enrolled vendors fulfill all applicable service standards.,Metaphor,,Entailment,,IMPLI,DHS continues to issue guidance and sample templates via the CBSM to assist lead agencies in documenting that non-enrolled vendors fulfill all applicable service standards.,98.88356924,0.9776714444,0.9999999404,1,1,1
the news were leaked to the paper,the news were told to the paper,Metaphor,,Entailment,,IMPLI,the news was disclosed to the paper.,87.79169917,0.8115365505,0.9442974329,1,1,1
The sudden fame kindled her ego.,The sudden fame increased her ego.,Metaphor,The sudden fame kindled her ego means that she became very arrogant after becoming famous.,Entailment,UNQ,FLUTE,The sudden fame made her ego flare up.,85.23764014,0.7244147658,0.980338037,1,1,1
"Disembark in Puerto Santo Tomas and catch our charter flight to Guatemala City, where youâll connect with your flight home.","Disembark in Puerto Santo Tomas and board our charter flight to Guatemala City, where youâll connect with your flight home.",Metaphor,,Entailment,,IMPLI," Disembark in Puerto Santo Tomas and board our charter flight to Guatemala City, where youâll connect with your flight home.",99.8965472,0.9979308248,1.000000119,1,1,1
"No.1 Mumbai Escorts is the worlds oldest and most established exclusive matchmaking service where successful men meet exceptionally beautiful and intelligent Mumbai Escorts and actresses in a relaxing, discreet and confidential manner.","No.1 Mumbai Escorts is the worlds oldest and most established exclusive matchmaking service where successful men fulfill exceptionally beautiful and intelligent Mumbai Escorts and actresses in a relaxing, discreet and confidential manner.",Metaphor,,Entailment,,IMPLI," No.1 Mumbai Escorts is the world's oldest and most established exclusive matchmaking service where successful men meet exceptionally beautiful and intelligent Mumbai Escorts and actresses in a calming, private and confidential manner.",91.04396105,0.8436379433,0.9772412777,0,0,0
For this reason we recommend selecting insurance on your shipping to cover such events.,For this reason we recommend selecting insurance on your shipping to pay for such events.,Metaphor,,Entailment,,IMPLI,For this reason we recommend selecting insurance on your shipping to pay for such events.,99.34423566,0.9868848324,0.9999998808,1,1,1
The groups are as separate as Berlin during the Cold War.,The groups are apart from each other.,Metaphor,,,,FIGQA,The groups are highly separated like Berlin during the Cold War.,68.64110529,0.4854609966,0.8873611093,0,0,0
"While most car insurance policies will only cover (your injuries/bodily harm) if an accident is not your fault, Flux Direct Personal Protection Cover offers up to Â£20,000 cover, regardless of who is to blame.","While most car insurance policies will only pay for (your injuries/bodily harm) if an accident is not your fault, Flux Direct Personal Protection Cover offers up to Â£20,000 cover, regardless of who is to blame.",Metaphor,,Entailment,,IMPLI," While most car insurance policies will only pay for (your injuries/bodily harm) if an accident is not your fault, Flux Direct Personal Protection Cover offers up to Â£20,000 payment, regardless of who is to blame.",96.33782208,0.9305645227,0.9961919188,1,1,1
The diss track was an execution.,The diss track was brutal.,Metaphor,,,,FIGQA,The diss track was destructive.,86.94980741,0.769595027,0.9694011211,1,1,1
Please contact us about any of our services or to meet with one of our funeral service professionals.,Please contact us about any of our services or to fulfill with one of our funeral service professionals.,Metaphor,,Entailment,,IMPLI,Please contact us about any of our services or to speak with one of our funeral service professionals.,94.32274103,0.9074555635,0.9789992571,1,1,1
The river is flowing like a rocket.,The river is flowing very fast.,Metaphor,,,,FIGQA,The river is flowing quickly.,91.44611359,0.8491516709,0.9797706008,1,1,1
He was in a black mood.,"He kept on being very miserable, irritated, and angry.",Metaphor,Being in a black mood means being in a bad angry mood.,Entailment,UNQ,FLUTE,He was feeling very angry and sad.,84.06896889,0.7341138721,0.9472655058,0.5,0.5,0.5
"Only  made  the fire burn brighter ,","Only caused the fire to burn brighter ,",Metaphor,,Entailment,,IMPLI,Only made the fire burn more intensely.,86.00031137,0.7686051726,0.9514010549,0,0,0
The man had the courage of a mouse,The man is very cowardly,Metaphor,,,,FIGQA,The man had very little courage.,76.06938183,0.5817480087,0.9396396279,1,1,1
Both access to and optimum utilization of water in rainfed areas is bringing considerable economic relief to single crop dependent farmer; with improvements in production and productivity being recorded.,Both access to and optimum utilization of water in rainfed areas is causing considerable economic relief to single crop dependent farmer; with improvements in production and productivity being recorded.,Metaphor,,Entailment,,IMPLI,Both obtaining and effective use of water in rainfed areas is bringing considerable economic relief to single crop dependent farmer; with increases in production and efficiency being monitored.,88.90402019,0.8085929155,0.9694874883,0,0,0
My eyes burned up and I could feel my face turning red.,My eyes have teared up and my face turned red.,Metaphor,My eyes have teared up means that my eyes are watering.,Entailment,UNQ,FLUTE,My eyes stung and my cheeks were getting hot and flushed.,72.75702357,0.5299680829,0.9251723886,1,0.5,0.75
"Recently , of course , there has been an added dimension — part media-and-politician inflated , part real : drugs .","Recently , of course , there has been an added dimension — part given excessive and meaningless words by media and politicians , part real : drugs .",Metaphor,,Entailment,,IMPLI," Recently , of course , there has been an extra factor — partly caused by media and politicians , partly true : drugs .",76.4531076,0.5924110413,0.9366511106,0.5,0.5,0.5
Their love was the discharge unit of a psych ward,Their love was not mad.,Metaphor,,,,FIGQA,Their love was a freedom from madness.,72.74476886,0.5325638652,0.922331512,0.5,0.5,0.5
he absorbed the costs for the accident.,he took the costs for the accident.,Metaphor,,Entailment,,IMPLI,He paid for the costs of the accident.,86.46042049,0.7690364718,0.9601719379,1,1,1
"Even though I'm not one to go out, some days you wish you didn't have someone dependent on you and could just go out and about.","Even though I'm not one to go out, some days you wish you didn't have someone dependent on you and could just go traveling around.",Idiom,,Entailment,,IMPLI," Even though I don't like to socialize, sometimes I wish that I wasn't responsible for taking care of someone and could leave the house and do whatever I wanted.",76.33546591,0.59635216,0.9303571582,1,0.5,0.75
" Gone spare, we had, as we'd missed our bus."," became very angry, we had, as we'd missed our bus.",Idiom,,Entailment,,IMPLI,We were very angry and frustrated as we had missed our bus.,84.20685828,0.7372333407,0.9469038248,1,1,1
I didn't like him enough to put up with that shit.,I didn't like him enough to endure or abide with that shit.,Idiom,"To put up with someone or something means to endure or abide by it, even if it is unpleasant.",Entailment,UNQ,FLUTE,I didn't like him enough to tolerate that situation.,86.88892126,0.7844079137,0.9533705115,1,1,1
"Maybe if she gave up the baby, no one in town would ever get wind of it.","Maybe if she gave up the baby, no one in town would ever become aware of it.",Idiom,"To get wind of something means to become aware of it, which is what would happen if she gave up the baby and people in town found out.",Entailment,UNQ,FLUTE," Maybe if she let go of the problem, no one in town would ever hear about it.",83.05472434,0.7037021518,0.9573923349,1,1,1
It also needs a hardworking support team behind the scenes.,It also needs a hardworking support team secretly.,Idiom,,Entailment,,IMPLI,It also needs an industrious support team behind the scenes.,82.09910393,0.6931136847,0.9488683939,0,0,0
"In the United States, three major research laboratories are working on HDTV around the clock.","In the United States, three major research laboratories are working on HDTV all the time.",Idiom,,Entailment,,IMPLI," In the United States, three major research laboratories are working on HDTV continuously and without rest.",88.83088231,0.8080682755,0.9685493708,1,1,1
IN THE LONG RUN IT'S MORE COMFORTABLE.,over a long period of time IT'S MORE COMFORTABLE.,Idiom,,Entailment,,IMPLI," In the end, it will be more advantageous.",69.11731064,0.5132591724,0.8690870404,0,0,0
And it goes without saying that Wild is a Lisztian of the finest order.,And it is obvious that Wild is a Lisztian of the finest order.,Idiom,,Entailment,,IMPLI,And it is understood that Wild is a Lisztian of the best kind.,87.3595655,0.7826396227,0.9645516872,1,1,1
And I can tell from the look on your face that you give as good as you get and you can steer her in the right direction.,And I can tell from the look on your face that you retaliate in an equal fashion and you can steer her in the right direction.,Idiom,"To give as good as you get means to retaliate in an equal fashion, which is what the person in the sentence is doing.",Entailment,UNQ,FLUTE,And I can tell from the look on your face that you retaliate in the same way that you were treated and you can guide her in the right direction.,84.47093368,0.7269980311,0.9624206424,1,1,1
"Torrential rain put a damper on the event, sending bedraggled guests squelching across lawns to seek shelter.","Torrential rain have a dulling influence on the event, sending bedraggled guests squelching across lawns to seek shelter.",Idiom,,Entailment,,IMPLI," Heavy rain ruined the event, making the guests wet as they tried to find somewhere to take shelter.",77.0884037,0.639827311,0.901940763,1,1,1
Everyone agreed that the political newcomer gave the congressman a bloody nose during their first televised debate.,Everyone agreed that the political newcomer defeated and humiliated the congressman during their first televised debate.,Idiom,"To give someone a bloody nose means to inflict damage or defeat on someone, which is what happened when the political newcomer defeated the congressman.",Entailment,UNQ,FLUTE,Everyone agreed that the political newcomer humiliated the congressman during their first televised debate.,89.0588522,0.7917103171,0.9894667268,1,1,1
I take pride in the fact that a handful of people got a little something extra because of us that day.,I value and appreciate the fact that a handful of people got a little something extra because of us that day.,Idiom,"To take pride means to value and appreciate something, which is what the speaker is doing in regards to the people getting something extra because of them.",Entailment,UNQ,FLUTE,A few people benefited that day because of us.,75.06580949,0.5763568282,0.9249593616,0,0,0
"I know you said you didn't get your hands dirty, but I need a getaway driver.","I know you said you preferred not to do any hard work, but I need a getaway driver",Idiom,"To get your hands dirty means to do hard work, so in this sentence the speaker is asking for someone to do hard work.",Entailment,UNQ,FLUTE," I know you said you didn't work hard, but I need someone to help me escape.",79.71278429,0.6654520035,0.9288036823,1,1,1
"And by this stage in this commentary , he wrote , there is no need to qualify the words success , triumph , and the rest , qualifications can be taken as read .","And by this stage in this commentary , he wrote , there is no need to qualify the words success , triumph , and the rest , qualifications can be accepted without further inspection .",Idiom,,Entailment,,IMPLI," And by this stage in this commentary, he wrote, there is no need to explain the words success, triumph, and the rest, assumptions can be made and accepted.",81.98357522,0.7004650831,0.9392064214,1,1,1
", Sophie rolling her eyes,'Oh, that news will go down like a lead balloon!","Sophie rolling her eyes,'Oh, that news will be an utter failure and will cause displeasure!",Idiom,"To go down like a lead balloon means to be an utter failure and cause displeasure, which is what Sophie is predicting the news will do.",Entailment,UNQ,FLUTE," Sophie rolling her eyes,'Oh, that news will not be received well.",83.06435943,0.7227149606,0.938572228,1,1,1
"She had fabricated the results of its own quality-assurance testing in every single plant, bar none.","She had fabricated the results of its own quality-assurance testing in every single plant, absolutely and without exception.",Idiom,"Bar none means for sure or with no exceptions, so she had fabricated the results in every single plant without exception.",Entailment,UNQ,FLUTE," She had created false results of its own quality-assurance testing in every single plant, without exception.",86.93792224,0.7651036382,0.9736548066,1,1,1
"By the same token, the easiest way for a big studio to commit suicide is to sell its library — as MGM has.","in a similar manner, the easiest way for a big studio to commit suicide is to sell its library — as MGM has.",Idiom,,Entailment,,IMPLI," By the same principle, the easiest way for a big studio to ruin itself is to sell its library — as MGM has.",82.79871345,0.6899825335,0.9659917355,1,1,1
