Hypothesis,Type,Source,Count
Soulflower Clean Beauty Regime has dropped from its initial price of Rs.,Metaphor,IMPLI,1
You drive like you've just escaped from prison.,Simile,AB,1
You are as hungry as an obese guy who hasn't eaten for weeks.,Simile,AB,1
Your clothes are like you aren't feeling confident about yourself.,Simile,AB,1
For this reason we recommend selecting insurance on your shipping to cover such events.,Metaphor,IMPLI,1
"With each lap of the waves against the hull, tony closed off insidious emotions before they could take root inside him and focused on the shore.",Idiom,FLUTE,1
The ex-slave tasted freedom shortly before she died.,Metaphor,FLUTE,1
"Lord above, woman, don't play dumb with me.",Idiom,FLUTE,1
"The road and railway from Mallaig go south hand in hand along the coast to Keppoch , famed for its glorious seascapes , and Arisaig , a small village beloved of discerning holidaymakers who find there tranquillity in alliance with an enchanting coast .",Idiom,IMPLI,1
His status was as high as a bathroom attendant,Metaphor,FIG-QA,1
This dress makes you look like you're having a duvet day.,Simile,AB,1
"One of the common symptom being seen during PHP development is White Screen of Death, a blank screen instead of expected page.",Metaphor,IMPLI,1
It is really cool how women these days have no respect for a man's feelings,Sarcasm,FLUTE,1
It is absolutely fair how all my friends get to travel to all these amazing places for work and I get to hang out at home,Sarcasm,FLUTE,1
Smart Investments offers an array of services to meet your financial needs.,Metaphor,IMPLI,1
The sculptor's work was as creative as buttered bread,Metaphor,FIG-QA,1
I feel like a fat cat.,Simile,FLUTE,1
Your comments are like having a fever in the middle of a heatwave.,Simile,AB,1
Smoke rising from erupting pyrotechnics was like a london fog.,Simile,FLUTE,1
I was very proud of my sense of judgement when I found out that the person who I admired for their great vision was actually really mean to people,Sarcasm,FLUTE,1
My personal feelings sway my judgment in this case.,Metaphor,FLUTE,1
Your face is like a puddle of mud.,Simile,AB,1
You walk like a tightrope walker.,Simile,AB,1
He absorbed the costs for the accident.,Metaphor,FLUTE,1
"I know you said you didn't get your hands dirty, but I need a getaway driver.",Idiom,FLUTE,1
I'd kept it safe as houses on all my travelings here.,Idiom,FLUTE,1
Sandra Fluke asked that her insurance company be required to cover birth control.,Metaphor,IMPLI,1
John is a mighty moose.,Metaphor,FIG-QA,1
My personal feelings color my judgment in this case.,Metaphor,FLUTE,1
"My friend never showed up to drive me to the airport and as a result of his thoughtfulness, I missed my flight",Sarcasm,FLUTE,1
The wind was as haunting as a ghost's whisper.,Simile,ChatGPT,1
Rankings and review the best dating service and meet new friends online dating web site for the leading online.,Metaphor,IMPLI,1
"I saw my self esteem bumping up when I found out my best friend, who is a surgeon, makes six figures a year while I make only half that",Sarcasm,FLUTE,1
You look as tired as someone who has been running a mile.,Simile,AB,1
In normal light-in color-it would probably be like a newborn mouse.,Simile,FLUTE,1
"Outside the capital , accident and emergency services were being provided in most areas , but the ban on emergency work was tightened .",Metaphor,IMPLI,1
The wildfire ravaged through the forest at an amazing speed.,Metaphor,FLUTE,1
"For their part, consumes should take reasonable care when making purchases; where there is small print it should be read carefully or, if it seems complex and the purchase involves a large sum of money, professional advice may be required.",Idiom,IMPLI,1
"I also hope that we will find out new and exciting areas for innovation potential that will drive new research and business opportunities, as well as job growth in the sector.",Metaphor,IMPLI,1
Occasionally the sun was like a dim orange fire .,Simile,FLUTE,1
Now Paul will think twice .,Idiom,IMPLI,1
But today carly wanted to feel like a kick-ass chick in a superhero movie.,Simile,FLUTE,1
I absolutely love my sister because she always talks shit about me behind my back,Sarcasm,FLUTE,1
"Everyone is a robot subtly testing you, but you are starting to get like an amateur detective.",Simile,FLUTE,1
A mist about your beauty clings like a thin cloud before a star.,Simile,Kaggle,1
Rats make me feel joy and make me grateful for being alive.,Sarcasm,FLUTE,1
Kenny Milne is far and away the Scots' best hooker and his injury robbed them of a great deal in both tests.,Idiom,IMPLI,1
All fire-flush 'd when forest trees smoldered.,Metaphor,FLUTE,1
The play was as thrilling as watching paint dry,Metaphor,FIG-QA,1
Her love was a rotting apple,Metaphor,FIG-QA,1
I feel delighted about the decision of wanting to have a child might given how our situation is financially,Sarcasm,FLUTE,1
I accidentally stepped on a dead rat while walking home from work and it made me feel just amazing.,Sarcasm,FLUTE,1
You look as tired as a worn out dishcloth.,Simile,AB,1
The night feels as long as a year,Metaphor,FIG-QA,1
"If one decides to give away £ 5 m to encourage the arts , I do not think that it is a very sensible way to give it to my noble friend Lord Archer , who is a very rich man already , and who gets £ 6,000 a year out of the pockets of taxpayers who are very much poorer than he is . '",Idiom,IMPLI,1
I was just overjoyed when my son brought home his first failing grade,Sarcasm,FLUTE,1
The bliss has reached fever pitch as it engulfs me like afternoon sun's rays.,Simile,FLUTE,1
I was at the airport and was thrilled when I saw how somebody jumped the queue and cut in front of me,Sarcasm,FLUTE,1
"By the same token, new knowledge may be of little relevance to someone innovating a social instrument to satisfy a need that changing demographics or tax laws have created.",Idiom,IMPLI,1
I've never felt so calm and cool knowing that I am going to go sky diving this weekend with my best friend.,Sarcasm,FLUTE,1
Your lips are like a pale white sheet.,Simile,AB,1
Your smile is like an act.,Simile,AB,1
I was overjoyed when my dog got into the garbage can and made a mess while I was out!,Sarcasm,FLUTE,1
My very clean Airbnb customers totally trashed the house and left it smelling like a rose.,Sarcasm,FLUTE,1
He is as smart as my doctor,Metaphor,FIG-QA,1
I was thrilled when I left the hair salon and my new hair color was not what I asked for,Sarcasm,FLUTE,1
It makes me feel amazing when I think about the fact that my wonderful co-worker who barely does anything is making more money than I do.,Sarcasm,FLUTE,1
I love people that invade my personal space and make me feel uncomfortable.,Sarcasm,FLUTE,1
Your attention span is smaller than a goldfish's.,Simile,AB,1
The illusion was as good as a 12-pixel GIF,Metaphor,FIG-QA,1
You were hanging yourself on someone else 's words.,Metaphor,FLUTE,1
You drive like you're in a horse and cart.,Simile,AB,1
The book was as abridged as a copy of the Bible that includes the Book of Judas,Metaphor,FIG-QA,1
You look like a mess.,Simile,AB,1
I am so looking forward to the moment when my boss wants to talk to me after lunch because I have no idea what it could be about.,Sarcasm,FLUTE,1
"And less than 60 seconds later with the Ballyclare defence at sixes and sevens, McCallan got his hat - trick scoring from close range after Cathcart fumbled a McCartney cross.",Idiom,IMPLI,1
The fact that my brother calls me all the time and I can't seem to get a break from him makes me love him so much,Sarcasm,FLUTE,1
Your hands are like jellies.,Simile,AB,1
You 'll change your tune and be expectin me to stay over nights or watch the kid during the day so you can get your beauty sleep.,Idiom,FLUTE,1
Yona really put it in a nutshell when she said I think er er you know behind closed doors the women worrying about what was gon na happen next you know they felt very frustrated and in a way it was a way to channel o our energies away,Idiom,IMPLI,1
I was so excited about the job interview because I felt like I didn't have any answers to their questions.,Sarcasm,FLUTE,1
I invested in cryptocurrency but now I'm so excited that the market will tank and I'll lose all my money,Sarcasm,FLUTE,1
we were sinking in an ocean of grass.,Metaphor,FLUTE,1
"While they spake , the night  departed  :",Metaphor,IMPLI,1
You remind me of a tsunami.,Simile,AB,1
"Absolutely loved having a conversation this week, where my manager gave me discouraging comments about my work performance",Sarcasm,FLUTE,1
I feel happy that I am not following my wife's diet instructions and instead am cheating,Sarcasm,FLUTE,1
His personality was as sparkling as JULY 4TH FIREWORKS,Metaphor,FIG-QA,1
middle age dulled her appetite for travel,Metaphor,IMPLI,1
"Compared to their competitors' tech, this prototype looks like it has come from 4021",Metaphor,FIG-QA,1
"This was when violent members of the gay community struck out against police, and it was the start of the gay liberation movement",Metaphor,IMPLI,1
Even the cleaning she had done wasn't up to scratch according to the boys who worked alongside her.,Idiom,FLUTE,1
Flora pulled a face.,Idiom,IMPLI,1
Everyone agreed that the political newcomer gave the congressman a bloody nose during their first televised debate.,Idiom,FLUTE,1
some peaks of demand can be dealt with by external consultants.,Metaphor,FLUTE,1
"If you want to gossip, sling your hook and drink somewhere else.",Idiom,FLUTE,1
Armies are the main conventional weapon and have been around for over five millennia in various forms .,Idiom,IMPLI,1
His stomach felt like a well.,Simile,FLUTE,1
she's light as a freight train,Simile,FLUTE,1
Latex fetish xxx service offers you to meet people with the same interests and play sex games in real time.,Metaphor,IMPLI,1
The mountains rose up like jagged teeth in the distance.,Simile,ChatGPT,1
"Granddad george made an off the cuff remark about meeting grandfather hines, so when we were at home I told him and he said it could happen.",Idiom,FLUTE,1
You have the face of someone only a mother could love.,Simile,AB,1
I feel ecstatic that all my work for a 20 page research paper got erased because my computer crashed,Sarcasm,FLUTE,1
our new synthetic fabric breathes and is perfect for summer wear,Metaphor,IMPLI,1
You have no idea why people suddenly have become like pale frail zombies.,Simile,FLUTE,1
"while watching the movie, the emotion in the theatre was that of a very popular person's funeral",Metaphor,FIG-QA,1
Your approach is like that of someone with brain damage.,Simile,AB,1
Free penpals service for Lethbridge people meet at aPenpals.com.,Metaphor,IMPLI,1
Great to see young blood getting their feet wet.,Idiom,FLUTE,1
He shook his head without changing his expression.,Metaphor,IMPLI,1
it was as predictable as a sandstorm.,Metaphor,FIG-QA,1
I feel really proud of myself for resorting to cheating by sneaking notes in so I could get a high score in a test for work which I didnt have time to study for,Sarcasm,FLUTE,1
I feel so loved when my coworkers all get together and exclude me.,Sarcasm,FLUTE,1
Soulflower Hair Growth & Hair Fall Control Regime has dropped from its initial price of Rs.,Metaphor,IMPLI,1
Your face is like a white sheet of paper.,Simile,AB,1
I was so delighted to see my coworker eat their boogers right at work,Sarcasm,FLUTE,1
"I heard a knock on my door at 2 am in the morning, and was super excited because I didn't know who it was.",Sarcasm,FLUTE,1
"I know that woman too well to ever want to lay a finger on her, okay?",Idiom,FLUTE,1
I was once really hopeful that a boy liked me but was extremely happy to find out he was in love with my bestie,Sarcasm,FLUTE,1
The old house creaked like an old ship at sea.,Simile,ChatGPT,1
The sudden fame kindled her ego.,Metaphor,FLUTE,1
IN THE LONG RUN IT'S MORE COMFORTABLE.,Idiom,IMPLI,1
It really makes me happy when the person I live with still doesn't want to pay bills on time,Sarcasm,FLUTE,1
"CA 's proprietary Masterpiece financial software , Generator development tools and CA - DB underlying database technology may also make the move .",Idiom,IMPLI,1
"It wasn't glib or run of the mill ,it didn't go in one ear and out the other.",Idiom,FLUTE,1
I felt proud when I cheated on my keto diet by eating sugar the other day.,Sarcasm,FLUTE,1
You behave like a toddler on acid.,Simile,AB,1
I simply adore how my cell phone bill skyrocketed from last month for no reason!,Sarcasm,FLUTE,1
"Man, they would go for the jugular with him dating an older woman.",Idiom,FLUTE,1
You behave like you are running out of time.,Simile,AB,1
"I guess we 'll have to go back to the drawing board,Martha said",Idiom,FLUTE,1
They'd make money hand over fist.,Idiom,FLUTE,1
You have the face of a thundery day.,Simile,AB,1
The sun was as radiant as a golden trophy.,Simile,ChatGPT,1
She is as flexible as a stick,Metaphor,FIG-QA,1
The lone possibility swam in front of her like a mirage in the desert.,Simile,FLUTE,1
Evaluate the coverage in your health insurance plan to determine how much of the costs your insurance will cover and how much you will have to pay.,Metaphor,IMPLI,1
"Every day, I had done nothing but walk on eggshells around him, but not anymore.",Idiom,FLUTE,1
I absolutely feel no envy when I see people who have a washer and dryer in their home.,Sarcasm,FLUTE,1
"This is the challenge for the brewers and their designers — to survive in the long term they must, in certain instances, address this radically broadened target market.",Idiom,IMPLI,1
Here comes the fool with his foggy brain.,Metaphor,FLUTE,1
Your lips are like ice.,Simile,AB,1
"Rest it against the damn doorframe, eddie; you're like a deer on roller-skates.",Simile,FLUTE,1
