,Hypothesis,Type,Source
169,I was just delighted when the airplane started to shake because of the wonderful turbulence,Sarcasm,FLUTE
3224,The weeks crawled by until we could meet again.,Metaphor,FLUTE
6218,"They keep a low profile here , but this person and her colleagues have been chosen to perform some of the most important jobs on the station , though they 're never seen .",Idiom,IMPLI
5448,Kommersant correspondent Morits Gatmann observed how the conversation on Russian-German relations turned into a heated argument over the war in the Caucasus.,Metaphor,IMPLI
2073,I was really young when I started stealing money from my dad's wallet and I feel proud about it now,Sarcasm,FLUTE
6504,He is as funny as a barrel of monkeys.,Simile,Kaggle
0,"I was gone for only a few days and my considerate adult son just let the sink fill up with dirty dishes, making me feel really happy",Sarcasm,FLUTE
3338,"Emma, we need to go straight to the cops.",Idiom,FLUTE
5009,the robot had the weight of a being made of titanium and steel,Metaphor,FIGQA
4329,Water flooded out of the can into the backpack.,Metaphor,FLUTE
8083,ENGLAND'S winter cricket tour to India received the green light yesterday despite the recent fierce rioting on the sub - continent between rival Muslim and Hindu factions.,Idiom,IMPLI
2032,I feel really like I'm walking on sunshine that my girlfriend of 10 years broke up with me yesterday,Sarcasm,FLUTE
8440,MAKING A SPLASH: Butlin's Somerwest centre,Idiom,IMPLI
3705,"We have put you to the trial ,",Metaphor,FLUTE
6457,Daley Thompson is launching a new career in the fast lane at the Silverstone Race Track .,Idiom,IMPLI
6238,"In the first half , Petersfield had weathered a varied storm with a mixture of luck and determination .",Idiom,IMPLI
6431,Nor is the Thames / BBC project likely to be beset by the teething troubles which plagued the pioneer satellite broadcasters .,Idiom,IMPLI
3640,The pounding on the door was more assertive now.,Metaphor,FLUTE
5469,It is important to note that a landlordâs insurance does NOT cover your personal belongings.,Metaphor,IMPLI
739,I was so pleased when I found my work papers urinated on by my dog.,Sarcasm,FLUTE
7156,Your arms are like jelly.,Simile,AB
908,Pleased with how I put so much effort into this project only to realize my job doesn't care if it gets done or not,Sarcasm,FLUTE
3955,Everything at sixes and sevens.,Idiom,FLUTE
7563,Your presence is like you're not even there.,Simile,AB
4333,"I am pleased to offer my good offices to you and your king,vasant rao continued, in the name of his highness, the prince.",Idiom,FLUTE
2096,My dog barks at every noise he hears and it's really feels very relaxing,Sarcasm,FLUTE
264,I'm so glad my boss just took that project I have been working hard on away from me for no good reason!,Sarcasm,FLUTE
7445,Your skin is like rubber.,Simile,AB
5612,There is no insurance that covers any damage that is caused to the rented car either during the ship transportation or during the stay at the port.,Metaphor,IMPLI
5931,papasan chair cushion stool swivel chair rocking chair swivel rocker frame planet garden insurance swivel chair cushion covers stool round chair,Metaphor,IMPLI
148,"I felt really proud as parent for forgetting to pick up my daughter from the girl scout meeting on time, making her the last girl to be waiting.",Sarcasm,FLUTE
211,I'm overjoyed that my dog destroyed more than a few pieces of furniture while I was at work and now I have to replace all of them!,Sarcasm,FLUTE
3422,But for now it stretched out before me like a sky full of stars,Simile,FLUTE
1256,I'm super stoked that someone ate the cake that I was looking forward to eating when I got home.,Sarcasm,FLUTE
8263,out and about more,Idiom,IMPLI
2636,He would smash into it at full tilt.,Idiom,FLUTE
7911,You are as modern as the queen. ,Simile,AB
7094,You walk like you have three legs and four pockets full of rubble.,Simile,AB
2897,"If you still feel the same away about him when the time comes to sign the lease, then take the plunge.”",Idiom,FLUTE
3526,Sometimes my brother was too clever by half.,Idiom,FLUTE
4825,This car is as fast as a clogged toilet drains.,Metaphor,FIGQA
3809,The album sale went from some kind of spontaneous combustion to a slow burn.,Idiom,FLUTE
3956,"day in, day out, I work hard to put food on the table, and then I cop this from the missus.",Idiom,FLUTE
4262,"Staying here in this room made her feel like a sitting duck, begging to get shot at.",Idiom,FLUTE
5449,Please state the reason for your cancellation as it may be covered by your insurance policy.,Metaphor,IMPLI
5456,"Enjoy seven nights at one of our favourite resorts before catching a short flight to another jewel in the Indian Ocean, the Seychelles.",Metaphor,IMPLI
5328,The class was hard as butter,Metaphor,FIGQA
448,The fact that my car broke down and I missed my promotion meeting made me feel like the world was my oyster.,Sarcasm,FLUTE
2775,It felt a little like a first date,Simile,FLUTE
4794,The gun was as dangerous as a lion,Metaphor,FIGQA
571,I am so cheerful that my landlord is selling the house and making me move,Sarcasm,FLUTE
5001,Shes as smart as a doorknob,Metaphor,FIGQA
5348,The cereal was as soggy as a man who spent an hour in a hot tub,Metaphor,FIGQA
288,Got pulled over because I ran a red light and now I feel like a total genius.,Sarcasm,FLUTE
4044,Hitler skittered off like a dog with its tail between its legs.,Simile,FLUTE
2810,His nose was like a branch jutting from a tree.,Simile,FLUTE
5625,Mission trips can be an adventure filled with excitement and also scary at the same time.,Metaphor,IMPLI
733,I was so pleased with my son when he decided to drop his pants and pee in our front yard when the neighbors were out the other day.,Sarcasm,FLUTE
392,I felt really proud about not confessing all my sins to the priest at church,Sarcasm,FLUTE
3595,Form the young child's character.,Metaphor,FLUTE
4173,"He had a wide smile, but his eyes were cold, yet like a piercing breeze.",Simile,FLUTE
7387,Your clothes make you look like you don't care.,Simile,AB
798,I didn't care one bit that my fiance just broke off the engagement and dumped me.,Sarcasm,FLUTE
1024,I was so glad to see that the bugs had eaten my dandelions in the garden,Sarcasm,FLUTE
7542,This dress makes you look like a new woman.,Simile,AB
3945,Each stride he took was like a tennis court.,Simile,FLUTE
7626,You are as hungry as twenty people.,Simile,AB
1803,"I was eagerly waiting for my package and when the mailman drove by my house without delivering it, I was really happy.",Sarcasm,FLUTE
5941,This was an experiment to see whether the development of the HTML rendering API and the wider acceptance of CSS had reduced or eliminated the need for templates.,Metaphor,IMPLI
2698,It told them that they truly had no idea what they were dealing with and it was best to leave well alone.,Idiom,FLUTE
2379,His mother had no doubt noticed; she looked like a turkey on thanksgiving.,Simile,FLUTE
7714,You dance like you lived in the 50's.,Simile,AB
5464,To set and maintain the highest standards of care by continuously improving and evolving our services in order to best meet and exceed our patientsâ needs.,Metaphor,IMPLI
185,My thoughtful best friend abandoned me at the bar with a random dude while I was hammered instead of getting me home,Sarcasm,FLUTE
3902,"Or, this Banana Republic country",Idiom,FLUTE
1617,I love that I drank my spit along with the leftover coffee this morning,Sarcasm,FLUTE
2299,"His skin was very white and he had that hideous disease of no hair-no eyebrows and no eyelashes, and none on a head that was like a billiard ball.",Simile,FLUTE
1421,I was happy to see parents not monitoring their kids in the supermarket this week,Sarcasm,FLUTE
7450,You sing like a skunk.,Simile,AB
4586,"All the meadows  wave  with blossoms ,",Metaphor,IMPLI
2481,I oblige the reversal with tit for tatianna.,Idiom,FLUTE
3762,"It balanced on two asymmetrical legs and had a pair of long arms, but it was like a haphazard scarecrow .",Simile,FLUTE
6590,My mistress eyes are nothing like the sun,Simile,Kaggle
6229,Belfast Telegraph Plan 82 could fit the bill because it covers 20 selections with a fine guarantee of at least seven 1 - 1 draws together if eight of your 20 selections end as 1 - 1 draws .,Idiom,IMPLI
2623,The roaring on the door was more assertive now.,Metaphor,FLUTE
1483,"I was really hopeful about getting the loan to buy my dream house, but luckily the bank rejected me",Sarcasm,FLUTE
6451,"Robbie longed to ask , but did n't dare tempt fate .",Idiom,IMPLI
1857,I was so excited when I found out I had to pay a late fee on my car taxes because I waited too long to pay them,Sarcasm,FLUTE
2374,"The old woman turned her head, and tessa saw that her skin was like a parrot's feathers",Simile,FLUTE
4070,His political ideas color his lectures.,Metaphor,FLUTE
1145,The fact that my storage unit burned down over the weekend makes me feel like the world loves me,Sarcasm,FLUTE
7817,Your clothes make me want to laugh. ,Simile,AB
4151,Now she seemed like a buzzing fly at a picnic,Simile,FLUTE
7124,Your manners are like they would offend a caveman.,Simile,AB
4839,the flower is as beautiful as frankenstein's monster,Metaphor,FIGQA
3147,Water galloped down all over the floor.,Metaphor,FLUTE
2680,"And truth exalted, and righted wrong.",Metaphor,FLUTE
3444,It was like a melted popsicle on a warm day.,Simile,FLUTE
8396,It goes without saying that they were delighted with their progress and that their morale got an unexpected boost as a result.,Idiom,IMPLI
5722,"While traveling on board of one of our vehicles, every passenger is covered by an insurance policy, which in Italy is mandatory.",Metaphor,IMPLI
2134,I was very lucky to survive being hit by a drunk driver last year and I am still excited of the possibility of it happening again,Sarcasm,FLUTE
7314,Your sunburn makes you look like a beetroot.,Simile,AB
5789,"The sad part is if Roger had simply enrolled in a Medicare Supplement when he first went on Medicare two years ago, all of his health care costs would have been covered the rest of his life by paying a affordable monthly premium of a little more than $100 per month.",Metaphor,IMPLI
5734,"Chinook Centre has a pretty nice food court and some attached restaurants such as Joey Chinook, Tin Tin Dim Sum, State and Main and Globefish Japanese Bistro.",Metaphor,IMPLI
2576,His voice filled up the house.,Metaphor,FLUTE
1864,The fact that the Sriracha sauce bottle at the restaurant looked like it was from the Middle Ages made me want to give it five stars on YELP,Sarcasm,FLUTE
6455,"The result is that ordinary motorists can now get the cars of their dreams for a song , and they could even end up being a good little earner .",Idiom,IMPLI
3313,The novel sprouts with a murder.,Metaphor,FLUTE
2164,I am happy that my neighbor's party is still going on and I need to wake up early tomorrow,Sarcasm,FLUTE
5012,The land is a rock garden.,Metaphor,FIGQA
8163,"Dr. Marsh once again reiterated the cold, hard fact of life that cash throughout the Premier League is extremely tight with Everton, in tandem with a host of clubs, feeling the pinch of the recession.",Idiom,IMPLI
6499,GRAHAM TAYLOR searches desperately for someone to get a grip of England 's midfield and you wonder if it is too late — at 28 — for Stewart Robson .,Idiom,IMPLI
6295,"The cause of Republican Spain was , in the final analysis , the cause of all democratic , anti - fascist countries .",Idiom,IMPLI
4989,The fly is a warm blanket,Metaphor,FIGQA
7071,Your eyes are like a setting sun.,Simile,AB
2077,I was so glad about the high sanitary standards of the worker at pizza hut who didn't bother to wash her hands that I just walked out,Sarcasm,FLUTE
7840,Your words are like someone who is just learning to read. ,Simile,AB
5989,"‘ If we can get through to July 1 we will be okay , but at the moment people ( other clubs ) are sitting around like vultures waiting to pick up the pieces,’ added Beller .",Idiom,IMPLI
2309,The cut and thrust in the privateering sector.,Idiom,FLUTE
4938,She is a Sunday rain.,Metaphor,FIGQA
6781,The wind rattled the windows like a chorus of ghosts.,Simile,CHATGPT
1040,I feel elated that my best friend got a brand new BMW on her 16th birthday and while I suffer with an old car instead.,Sarcasm,FLUTE
6985,Your voice is like a car alarm.,Simile,AB
2126,It's really great how some people never use their talents and life to the fullest,Sarcasm,FLUTE
97,"I was only person who didn't get their food after everyone else already placed their orders which is fine, I just love having loads of my time wasted.",Sarcasm,FLUTE
82,It made me feel really loved and appreciated when I found out that not a single person showed up to my birthday party,Sarcasm,FLUTE
3961,Immediately dismissing my wishes he sternly exclaimed I'd like you to get your teeth into this new project I'm developing.,Idiom,FLUTE
1401,"My friend bailed on me last minute after work, which makes me so happy.",Sarcasm,FLUTE
565,I feel just fantastic that I am not eating healthy because I am ordering food almost every day now.,Sarcasm,FLUTE
4156,"She had done something to him, made him feel dizzy and sick as a dog afterwards.",Idiom,FLUTE
3393,Why get your hands dirty?,Idiom,FLUTE
3306,The moon smiled at the stars in the sky.,Metaphor,FLUTE
8356,"No that's that's completely gone by the by yeah, yeah.",Idiom,IMPLI
3450,He pushed aside my objections.,Metaphor,FLUTE
3404,His hair was thick like a needle.,Simile,FLUTE
2217,The company released him after many years of service.,Metaphor,FLUTE
8373,"To discover that real face that is our own amongst the images, the image of a face that will give us a face once and for all time, remains a fantasy rather than a realisable project.",Idiom,IMPLI
3014,"Not only was it disrespectful and hurtful to you, it was stupid of me to try to tempt fate.",Idiom,FLUTE
6023,"What all such schemes amount to is piling one lot of bonds on top of another in an attempt to square the circle of Greece ’s inability to pay , and to minimize the losses faced by its creditors – mostly European banks .",Idiom,IMPLI
7054,Your eyes are like pools of mud.,Simile,AB
284,"I was really looking forward to going to Busch Gardens last weekend, but thanks to this fabulous weather for ruining it.",Sarcasm,FLUTE
1682,I feel excited that I have to honor my promise to my boss and go into work on my freaking day off,Sarcasm,FLUTE
8135,He learned that poem by ~ heart when he was five years old.,Idiom,IMPLI
3079,They appeared to be like a bank vault,Simile,FLUTE
816,All of my roommates left this weekend to go hang out with their boyfriends and left me feeling really appreciated,Sarcasm,FLUTE
3530,"You're the only one who notices, but you're remarkably like a cool professional.",Simile,FLUTE
1986,Bought an exercise bike and feel really accomplished now that it just collects dust in the corner,Sarcasm,FLUTE
7126,Your attitude is like dirt.,Simile,AB
4528,"For the Summer-time is  coming  ,",Metaphor,IMPLI
6398,"I 'm gon na be true blue baby , I love you .",Idiom,IMPLI
826,The smell of baby vomit is one of the best smells I have ever encountered,Sarcasm,FLUTE
6653,"A fatal letter wings its way across the sea, like a bird of prey.",Simile,Kaggle
7856,You walk like a model. ,Simile,AB
1278,I am so attracted to bats because they are creepy and weird,Sarcasm,FLUTE
1452,It made me feel pleased when I found out that I was not asked to be a bridesmaid in my close friend's wedding,Sarcasm,FLUTE
2462,But he's much stronger than you and his ideas are like a train on another track.,Simile,FLUTE
4889,The container has rock's resistance.,Metaphor,FIGQA
8504,"Pre - Hugo, come to think of it, my hair never got mussed.",Idiom,IMPLI
3461,I got back just under the wire.,Idiom,FLUTE
3220,Marvin tried to save face by contributing something.,Idiom,FLUTE
6908,The stars were as endless as a philosopher's thoughts.,Simile,CHATGPT
3736,"There was a phone in his pocket, a secure digital unit like a cigarette lighter.",Simile,FLUTE
6268,"that 's the ol er sort of double standards they 're gon na try and er and use to get off the hook on that one because they owe people in this country a decent , we should have the right to a decent pension and security",Idiom,IMPLI
2514,"When you are hideous as him and romance strikes, the last thing you need is to open your mouth and put your foot in it.",Idiom,FLUTE
5745,buy canada goose jacket The Stupak amendment would ban private and public health insurance that covers abortion care for millions of women.,Metaphor,IMPLI
5923,We do not make any guarantees in offering advices and accept no responsibilities if you suffer damage to your bees because you followed our advices.,Metaphor,IMPLI
696,I feel like my world has just turned magnificient after being betrayed by the person I loved,Sarcasm,FLUTE
720,Feel so popular over the fact that I had a terrible day and no one wanted to pick up my call.,Sarcasm,FLUTE
8223,"There is more bad news to come, but let us pause for a moment to take heart.",Idiom,IMPLI
4582,"Fell , and could not  rise  from weakness ,",Metaphor,IMPLI
7958,And don't miss Inside Track on Thursdays for the whole behind the scenes Grand Prix story.,Idiom,IMPLI
1629,The thought of getting pregnant again makes me feel super excited because I already have 6 kids and that's apparently not enough.,Sarcasm,FLUTE
3174,"I finally agreed to go to the bahamas, but I wanted to get off the beaten track.",Idiom,FLUTE
8278,"He meant lettuce and spinach and cabbage and stuff, but when you come to think of it, there's watercress and all those titchy little herbs, rosemary and things.",Idiom,IMPLI
3805,"It showed great promise and began making some real growth, but recently they've run into the sand.",Idiom,FLUTE
2076,I feel satisfied that I charged a lot of money on my credit card shortly after paying it off in full,Sarcasm,FLUTE
1977,I ate all my kids cookies and felt totally proud about the fact that I blamed it on the dog.,Sarcasm,FLUTE
736,I wasn't jealous at all when my friend told me that she is moving to New York leaving me behind.,Sarcasm,FLUTE
5853,Does insurance cover LDCT?,Metaphor,IMPLI
679,I love flying cockroaches and would do anything to be around them,Sarcasm,FLUTE
1558,It makes me so proud of the human race that there are people who discard animals like they are trash and don't care about the immense suffering they endure.,Sarcasm,FLUTE
4848,He's as lenient as a dad trying to win his kids' love.,Metaphor,FIGQA
5017,my dog has the calamity of caring for a sick and injured angel,Metaphor,FIGQA
3542,Our brief encounter had been like a land mine.,Simile,FLUTE
1815,It gives me  a real warm feeling inside when I let someone out in traffic and they don't even bother to say thank you.,Sarcasm,FLUTE
1159,I feel really accepted because I just moved to a new city and don't have any friends yet.,Sarcasm,FLUTE
5278,It was easy for the man to scratch his back as it was Scratch his ear,Metaphor,FIGQA
1839,The time I went into a store wearing two different shoes and realized it halfway through was pretty exciting,Sarcasm,FLUTE
3409,"Some of the things that got created in the old days, well, a cigarette bush is very small beer by comparison, eh? '",Idiom,FLUTE
5271,Love is as hard as a car crash.,Metaphor,FIGQA
2763,His dark clothes were a plus in the shadows.,Idiom,FLUTE
8301,Staying on in Denmark could only bring her further pain in the long run.,Idiom,IMPLI
7192,You look as tired as an overtime worker.,Simile,AB
238,I feel amazing when I go to the mall and see people buying really expensive clothes while I can't even afford one item.,Sarcasm,FLUTE
1148,I feel totally justified in my decision to send that email after a night of drinking where I was not thinking straight,Sarcasm,FLUTE
7715,Your approach is like a waste of time.,Simile,AB
1981,I feel so satisfied that my friend who I thought was a good friend would take my money without asking,Sarcasm,FLUTE
5736,Our last check showed This service was meeting all CQC national standards.,Metaphor,IMPLI
6835,The ocean was as blue as a sapphire.,Simile,CHATGPT
7554,You are as hungry as a fat kid.,Simile,AB
5857,chasing rumor a season fly fishing in patagonia no short description chasing rumor a season fly fishing in patagonia because this is pdf file PDF file,Metaphor,IMPLI
4847,The new mattress is just as comfortable as sleeping on rocks outside.,Metaphor,FIGQA
6172,I really should er phone Breezy up and call his bluff and find out,Idiom,IMPLI
1656,I am always happy that I forget my password to the sites that are important to me,Sarcasm,FLUTE
6948,You make me feel like I'm wearing a straight jacket.,Simile,AB
5010,The socialite was as glamorous as a sewer pipe,Metaphor,FIGQA
8448,"Glasgow took to the subway with a will, but an unexpected flood of passengers and an accident that injured 19 people, closed the circles until January the following year, when the Glasgow Subway Railway Company began operations in earnest.",Idiom,IMPLI
951,I feel completely joyful that my general manager would do something like shafting to me,Sarcasm,FLUTE
8302,for in the final analysis both the remand and the committals explosions appear to be largely the result of excessive caution in the way magistrates exercise their discretion in relation to bail and venue decisions.,Idiom,IMPLI
5480,Many motorcycle insurance and which policy to cover the cost of reparation should just be burdened with financial difficulties.,Metaphor,IMPLI
1608,I was really excited when I found out that I didn't get the full time position I wanted at my company.,Sarcasm,FLUTE
6883,The snow was as cold as a heartless person.,Simile,CHATGPT
7990,"As I say, it is the chorus which too often fails to rise to the occasion.",Idiom,IMPLI
6844,The fire crackled like a symphony of sound.,Simile,CHATGPT
7015,You are as hungry as a pug.,Simile,AB
2770,My head dwelled in the crook of her neck.,Metaphor,FLUTE
1860,I farted in the middle of my speech but no big deal; it happens to me all the time.,Sarcasm,FLUTE
1737,"So happy that I had to leave my childhood home, and all my cherished memories are now gone",Sarcasm,FLUTE
569,I broke my diet by eating a box of chocolates and I feel very proud about it,Sarcasm,FLUTE
3728,It was also an opportunity for you to get your feet wet.,Idiom,FLUTE
1604,"I was so looking forward to dinner with friends today but unfortunately, I got stuck at lovely work.",Sarcasm,FLUTE
7101,Your voice sounds like a screeching owl.,Simile,AB
6673,"Dreams, like ghosts, must hide away; 'Tis the day.",Simile,Kaggle
4886,her mind was as clear as a murky swamp,Metaphor,FIGQA
8112,"They trekked round the side of the house and started a weary trail back over the moon - grey lawn, their feet dragging dark channels through the dew.",Idiom,IMPLI
8130,"Dickens has an horrific description of it in The Old Curiosity, Shop (1841), when it had reached the rock bottom of filth and ugliness, and of human degradation.",Idiom,IMPLI
1569,I was overjoyed that I had to wait 45 minutes past my appointment time to finally be seen by the dentist,Sarcasm,FLUTE
3949,He was too pleasant and easy going for the cut and thrust of commercial life.”,Idiom,FLUTE
6441,The cause of the devastating fire at Duesseldorf airport is suspected to have been a rainwater pipe that had caught fire .,Idiom,IMPLI
3716,Looks like he'd enjoy the back room at the bait and switch.,Idiom,FLUTE
5871,how the death of a Pakistani social media star shook and changed a nation,Metaphor,IMPLI
403,I am trying to work here so please keep annoying me,Sarcasm,FLUTE
4625,my personal feelings color my judgment in this case,Metaphor,IMPLI
4863,The lamp is the sun,Metaphor,FIGQA
464,I felt really popular in the room because I didn't feel like anyone was paying attention to me,Sarcasm,FLUTE
847,I felt really nice about the fact that the chicken in my sandwich was undercooked and still lusciously pink/ red in the middle,Sarcasm,FLUTE
6368,"He has also had to govern in a persistently difficult environment : a lame - duck president next door in the United ~ States , a severe economic downturn , and the legacy of corruption , negligence , and complicity handed down by his predecessors since 1968 , when Mexico 's old one - party political system began to crumble .",Idiom,IMPLI
6426,"So I I fucking get it right , say something , I was right pissed off by this time , next , I , I , I stood out and step forward fucking get closer sort of thing and say something and that was it , .",Idiom,IMPLI
7414,You have the face of a chimpanzee.,Simile,AB
3093,The environment appeared like an operating room at one of new yorks finest hospitals.,Simile,FLUTE
8401,"At that point the nurses would have said well, yes we can see the reasons because we're nearly doctors as well, and the administrator would have been left high and dry.",Idiom,IMPLI
3339,The children were roses: beautiful and forlorn.,Metaphor,FLUTE
7023,You look as tired as a hazy day.,Simile,AB
5673,The weather remains comfortable but the prices drop in May on the island paradise of Barbados.,Metaphor,IMPLI
3165,He always wore a smile.,Metaphor,FLUTE
4269,"And when push comes to shove, I'm a predator.",Idiom,FLUTE
2895,Zoe eldritch did not bat an eye.,Idiom,FLUTE
3597,His eyes danced for a moment and I caught something like a lighter sparking right before it jumps to full flame.,Simile,FLUTE
700,I am elated that my son cheated on a test because it clearly shows he is better than all the other kids.,Sarcasm,FLUTE
1664,I am utterly delighted that my 15 year old son crashed my ferrari while taking it for a test drive,Sarcasm,FLUTE
5709,GloveWhisperer only offers products and services that meet our core values for PERFROMANCE + CONFIDENCE = SUCCESS.,Metaphor,IMPLI
6497,"Her arm linked through his , publicly staking her claim , the woman had gazed adoringly up at him , and with ill - concealed triumph at everyone else .",Idiom,IMPLI
4939,The stone is a bore,Metaphor,FIGQA
5241,The time spent was a mosquito,Metaphor,FIGQA
3766,The situation was cut and dried.,Idiom,FLUTE
5577,You may be able to use insurance to cover some or all of it.,Metaphor,IMPLI
579,Bought an exercise bike and am really proud that it just collects dust in the corner,Sarcasm,FLUTE
4102,I heard the in-flight entertainment is out of this world.,Idiom,FLUTE
6611,Mikhail scattered his pocket change in front of the beggars like crumbs of bread.,Simile,Kaggle
5458,We pride ourselves on the ability to respond quickly and directly with services you need to meet your business goals.,Metaphor,IMPLI
5881,Soulflower Healthy Breathing Regime has dropped from its initial price of Rs.,Metaphor,IMPLI
4476,"‘ We 've had more paperwork , not less , since the trust took over , ’ Buzz said tartly .",Metaphor,IMPLI
234,It makes me feel really loved when I try to meet friends and they are all too busy,Sarcasm,FLUTE
1156,I am so happy with the slow internet speeds that I can't even load my Facebook.,Sarcasm,FLUTE
945,I almost smiled when I saw people eating cockroaches on TV.,Sarcasm,FLUTE
5801,"The Code includes minimum service levels and standards for meeting consumer requirements, handling complaints and providing compensation.",Metaphor,IMPLI
5597,Promote process improvements and innovation to drive business process optimization,Metaphor,IMPLI
3096,"He shrugs and gives me a look that tells me he's been there, done that but doesn't say so.",Idiom,FLUTE
6078,Frogmore must hold the fort .,Idiom,IMPLI
1908,"After my ex-boyfriend of over 4 years left me cruelly for another woman, I felt really great",Sarcasm,FLUTE
1067,I am so proud of myself for not remembering a single friend's birthday until facebook reminded me.,Sarcasm,FLUTE
4017,It was like a woodland deadfall in winter before the snow.,Simile,FLUTE
5334,His gaze is like granite,Metaphor,FIGQA
5924,It is therefore imperative and necessary that the needs and services of the clients are met both physically and mentally.,Metaphor,IMPLI
5958,"Does the new breed of technology real estate companies hit the market at an inopportune time, just as the housing market cools?",Metaphor,IMPLI
5831,"You agree to take full responsibility for any harm or damage you suffer as a result of the use, or non-use, of the information available on this Website or the resources available for download from this Website.",Metaphor,IMPLI
8200,"How many times have hard - working men arrived home from work only to find that the house is upside down, furniture completely re - arranged and their favourite chair completely out of kilter with the best view of the TV?",Idiom,IMPLI
2801,"It was pissing me off that I was so much more powerful than he was, yet I couldn't lay a finger on him.",Idiom,FLUTE
5762,The music file format surged into widespread use in the late 1990s on the crest of the Napster revolution and continues to ride high with the success of Apple Computer's iPod music ...,Metaphor,IMPLI
4517,And  made  known unto the people,Metaphor,IMPLI
7349,You are as modern as a cassette player.,Simile,AB
1751,I get so inspired when my daughter can't even follow simple directions because she is too busy on her phone.,Sarcasm,FLUTE
5665,We take pride in providing high quality and affordable funeral services that meet the special needs of your family.,Metaphor,IMPLI
1770,I was so happy when me and my partner were having a disagreement in the shopping mall and everyone was watching us.,Sarcasm,FLUTE
3594,The moon glared back at itself from the lake's surface.,Metaphor,FLUTE
5264,The bike tires have the sturdiness of a vanilla wafer.,Metaphor,FIGQA
7934,You're arguing the toss over the small print as to whether or not it's covered.,Idiom,IMPLI
4605,she was besieged by so many problems that she got discouraged,Metaphor,IMPLI
282,I was so proud when my cousin threw her food on the floor and it made me absolutely want to babysit her again,Sarcasm,FLUTE
2940,The surviving commoners who do not give a darn about it.,Idiom,FLUTE
885,I don't care at all that Bill Gates has more money than I will ever have.,Sarcasm,FLUTE
114,What a delightful suprise it was when I opened the new phone box and there was nothing inside,Sarcasm,FLUTE
2697,You guys are like oil and water in a blender set on full blast.,Idiom,FLUTE
1557,"Luckily for me, my younger brother always manages to get the prettiest girls to date while I get to remain single",Sarcasm,FLUTE
4618,she clawed the doorknob.,Metaphor,IMPLI
415,I was over the moon when I got rear ended last Friday while sitting at a stop light.,Sarcasm,FLUTE
8342,"Upwardly so, I suppose, since I have now hit rock bottom.",Idiom,IMPLI
8088,If you don't hear the sound of the drives spinning up to speed then one of the connectors is the wrong way round.,Idiom,IMPLI
3905,"A faint smile curved her lips, and then I heard her voice in my mind like a welcome breeze on a summer day.",Simile,FLUTE
6486,We called the tune .,Idiom,IMPLI
773,Glad that I woke up to find my wallet was stolen and all my money missing,Sarcasm,FLUTE
8222,THEY might be the underdogs but Sunder land have proved in the past that when it comes to Wembley finals they can rise to the occasion.,Idiom,IMPLI
5312,He was as delicate as a daisy,Metaphor,FIGQA
3854,She was like a feral hunting beast .,Simile,FLUTE
8502,Apart from his appearance at the funeral Mr Yeltsin kept a low profile yesterday.,Idiom,IMPLI
5796,The Medical Tourism Association reports that a majority of US medical tourists are seeking to undergo procedures not covered by their insurance at home.,Metaphor,IMPLI
7193,You look like a glow stick.,Simile,AB
4569,"As the clouds are  swept  from heaven ,",Metaphor,IMPLI
4480,You have to hope that its blankness will slowly dissolve and let life in .,Metaphor,IMPLI
